songId,songIdx,displayTitle,titleLocalized,artist,packId,version,date,sideRaw,assetDirectoryKey,artworkRoleCandidate,difficultyClassCandidate,numericSuffixRaw,jacketOverrideRaw,songJacketOverrideClasses,jacketNightRaw,titleOverride,audioOverride,apkPath,apkSha256,fileSha256,sizeBytes,width,height,mime,imageCategory,resolutionRole,semanticSlotKey,rawFilenameStem,rawSuffix,isLowResolution,evidence,confidence
arcahv,161,Arcahv,"{""en"":""Arcahv""}",Feryquitous,vs,,1590537606,0,arcahv,default,,,,,,,,assets/songs/arcahv/1080_base.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,95390acfe500657e41cc2d287130ac9b9c66e93fe6ad85e8d9c8d10e4a180217,280662,768,768,image/jpeg,song-jacket,primary-resolution candidate,arcaea:arcahv:default,1080_base,,false,filename base/1080_base; _256 retained as APK rendition candidate,high
arcahv,161,Arcahv,"{""en"":""Arcahv""}",Feryquitous,vs,,1590537606,0,arcahv,default,,,,,,,,assets/songs/arcahv/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,2c41e7dd425e85b17218ba7f9b2afc4567c7f6cdfdfeb386060e715711445ec7,78418,384,384,image/jpeg,song-jacket,low-resolution/derived candidate,arcaea:arcahv:default,1080_base,,true,filename base/1080_base; _256 retained as APK rendition candidate,high
brandnewworld,28,Brand new world,"{""en"":""Brand new world""}",U-ske,base,,1494547200,0,brandnewworld,default,,,,,,,,assets/songs/brandnewworld/1080_base.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,2648a793db4b23d2c03e358ed6c8c0624f1e77199f05bc4dfcfdd5da817baab0,325320,768,768,image/jpeg,song-jacket,primary-resolution candidate,arcaea:brandnewworld:default,1080_base,,false,filename base/1080_base; _256 retained as APK rendition candidate,high
brandnewworld,28,Brand new world,"{""en"":""Brand new world""}",U-ske,base,,1494547200,0,brandnewworld,default,,,,,,,,assets/songs/brandnewworld/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,56194c808479aed509f74d07808e288c368e8416de5a288258f85677a7db5d40,94030,384,384,image/jpeg,song-jacket,low-resolution/derived candidate,arcaea:brandnewworld:default,1080_base,,true,filename base/1080_base; _256 retained as APK rendition candidate,high
caramelpop,519,Gimme Caramel Popcorn!,"{""en"":""Gimme Caramel Popcorn!"",""ja"":""キャラメルポップコーンたべたいよ〜""}",ヤミナベレコーズ feat. 繭糸,base,,1771459200,0,caramelpop,default,,,,,,,,assets/songs/caramelpop/1080_base.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,6df83e0913ef20f46ddd0a5c3e4e6cc9b263130684f57a3a1f69b3433d0d4cc7,541283,768,768,image/jpeg,song-jacket,primary-resolution candidate,arcaea:caramelpop:default,1080_base,,false,filename base/1080_base; _256 retained as APK rendition candidate,high
caramelpop,519,Gimme Caramel Popcorn!,"{""en"":""Gimme Caramel Popcorn!"",""ja"":""キャラメルポップコーンたべたいよ〜""}",ヤミナベレコーズ feat. 繭糸,base,,1771459200,0,caramelpop,default,,,,,,,,assets/songs/caramelpop/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,f4663636b2a5d80f956b1f382a3b913514d5dbbf83f95f5a1b25e17ec4b29314,157546,384,384,image/jpeg,song-jacket,low-resolution/derived candidate,arcaea:caramelpop:default,1080_base,,true,filename base/1080_base; _256 retained as APK rendition candidate,high
chronostasis,32,Chronostasis,"{""en"":""Chronostasis""}",黒皇帝,base,,1496188800,1,chronostasis,default,,,,,,,,assets/songs/chronostasis/1080_base.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,83d54b032989aeb822582402d9111ddc78428465dacc94191cfdaf74888bb9da,193527,768,768,image/jpeg,song-jacket,primary-resolution candidate,arcaea:chronostasis:default,1080_base,,false,filename base/1080_base; _256 retained as APK rendition candidate,high
chronostasis,32,Chronostasis,"{""en"":""Chronostasis""}",黒皇帝,base,,1496188800,1,chronostasis,default,,,,,,,,assets/songs/chronostasis/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,163a143e2a5add3904bde74421c4c97b7d9074f711fdaa2946d2989e189b8c77,50092,384,384,image/jpeg,song-jacket,low-resolution/derived candidate,arcaea:chronostasis:default,1080_base,,true,filename base/1080_base; _256 retained as APK rendition candidate,high
clotho,39,Clotho and the stargazer,"{""en"":""Clotho and the stargazer"",""ja"":""クロートーと星の観測者""}",しーけー,base,,1498176000,0,clotho,default,,,,,,,,assets/songs/clotho/1080_base.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,4ed0eabb16027456989fdba15706645e9912b20444168914eee63c4ea9370a9a,278122,768,768,image/jpeg,song-jacket,primary-resolution candidate,arcaea:clotho:default,1080_base,,false,filename base/1080_base; _256 retained as APK rendition candidate,high
clotho,39,Clotho and the stargazer,"{""en"":""Clotho and the stargazer"",""ja"":""クロートーと星の観測者""}",しーけー,base,,1498176000,0,clotho,default,,,,,,,,assets/songs/clotho/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,b6cf41928be6d6934f6dfadd6544f125b897bfecb1e95071a9c765d51feaf37f,81045,384,384,image/jpeg,song-jacket,low-resolution/derived candidate,arcaea:clotho:default,1080_base,,true,filename base/1080_base; _256 retained as APK rendition candidate,high
dandelion,20,Dandelion,"{""en"":""Dandelion""}",Farhan,base,,1489968000,0,dandelion,default,,,,,,,,assets/songs/dandelion/1080_base.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,f399ec7904fcfad3cbc13a5ba8e5da50cba4c44a83fe280a5850282b0a6e5979,183331,768,768,image/jpeg,song-jacket,primary-resolution candidate,arcaea:dandelion:default,1080_base,,false,filename base/1080_base; _256 retained as APK rendition candidate,high
dandelion,20,Dandelion,"{""en"":""Dandelion""}",Farhan,base,,1489968000,0,dandelion,default,,,,,,,,assets/songs/dandelion/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,122a16e25e26967a2b82df86c6fa974eeb21df303a7749ce89c517633b5a971d,46095,384,384,image/jpeg,song-jacket,low-resolution/derived candidate,arcaea:dandelion:default,1080_base,,true,filename base/1080_base; _256 retained as APK rendition candidate,high
dematerialized,472,Dematerialized,"{""en"":""Dematerialized""}",In Love With A Ghost,base,,1753315200,1,dematerialized,default,,,,,,,,assets/songs/dematerialized/1080_base.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,f340bbabb58f9784ace26d178fef629d6935f9ebd28dcbe926948117a3dddedc,305675,768,768,image/jpeg,song-jacket,primary-resolution candidate,arcaea:dematerialized:default,1080_base,,false,filename base/1080_base; _256 retained as APK rendition candidate,high
dematerialized,472,Dematerialized,"{""en"":""Dematerialized""}",In Love With A Ghost,base,,1753315200,1,dematerialized,default,,,,,,,,assets/songs/dematerialized/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,6ec133b3540d8311757303bd4219c5149d87a8168cf1cead5106f30c25eb92fa,91267,384,384,image/jpeg,song-jacket,low-resolution/derived candidate,arcaea:dematerialized:default,1080_base,,true,filename base/1080_base; _256 retained as APK rendition candidate,high
dement,19,Dement ~after legend~,"{""en"":""Dement ~after legend~""}",Cosmograph,base,,1489968000,1,dement,difficulty-specific,BYD,3,True,BYD,,,,assets/songs/dement/1080_3.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,9fb1785b2150ea4dfb69c5388e963a426f6ad1c408a6f0b7d500adbd2fcc0c08,394381,768,768,image/jpeg,song-jacket,primary-resolution candidate,arcaea:dement:difficulty:BYD,1080_3,,false,numeric suffix=3; filename-to-ratingClass mapping is a candidate; jacketOverride=True,high
dement,19,Dement ~after legend~,"{""en"":""Dement ~after legend~""}",Cosmograph,base,,1489968000,1,dement,difficulty-specific,BYD,3,True,BYD,,,,assets/songs/dement/1080_3_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,cf0fa54b032fad386081f13028d5cdc9a8b728bb4fffd3e55017a60716554ac4,92811,384,384,image/jpeg,song-jacket,low-resolution/derived candidate,arcaea:dement:difficulty:BYD,1080_3,,true,numeric suffix=3; filename-to-ratingClass mapping is a candidate; jacketOverride=True,high
dement,19,Dement ~after legend~,"{""en"":""Dement ~after legend~""}",Cosmograph,base,,1489968000,1,dement,default,,,,BYD,,,,assets/songs/dement/1080_base.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,880e3b136bf37b3b4e1d80b137e0506c2ac65b4bf4db0b0dc8659578b88d13a5,362058,768,768,image/jpeg,song-jacket,primary-resolution candidate,arcaea:dement:default,1080_base,,false,filename base/1080_base; _256 retained as APK rendition candidate,high
