semanticSlotKey,songId,songIdx,displayTitle,titleLocalized,artist,packId,version,date,sideRaw,artworkRole,difficultyClass,numericSuffixRaw,jacketOverrideRaw,songJacketOverrideClasses,jacketNightRaw,titleOverride,audioOverride,primaryPath,primarySha256,physicalFileCount,apkPaths,apkSha256,widths,heights,mimes,fileSha256s,currentSongArtwork,evidence,confidence,catalogResourceIds,catalogVariantIds,coverageStatus,matchStatus
arcaea:abstrusedilemma:default,abstrusedilemma,341,Abstruse Dilemma,"{""en"":""Abstruse Dilemma""}",Ashrount vs. 打打だいず,eden,,1692230406,0,default,,,,,,,,assets/songs/dl_abstrusedilemma/1080_base.jpg,153249c53e297383c81657628686f9c92546a59439e268a06b95a21116051332,2,assets/songs/dl_abstrusedilemma/1080_base.jpg;assets/songs/dl_abstrusedilemma/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,384;768,384;768,image/jpeg,025c1012ff52f71f3e53d16428c48ddf3bbad7c7c10fc35b1cbf3d74bba46bc1;153249c53e297383c81657628686f9c92546a59439e268a06b95a21116051332,true,original object SHA-256=153249c53e297383c81657628686f9c92546a59439e268a06b95a21116051332 equals APK image SHA; legacy filename IDX=341 maps to songlist.idx,confirmed,01a00090-6eab-719d-9b7a-d0928a4c8225,01a00090-6eab-7484-9469-cc6f2ae95faa,covered,confirmed
arcaea:acheron:default,acheron,484,Acheron,"{""en"":""Acheron""}",KARUT,single,,1756944000,1,default,,,,,,,,assets/songs/dl_acheron/1080_base.jpg,c88eaa1604e0f00dc1a1ab5289674f6458f0c37943bd5ef257b646c65c139567,2,assets/songs/dl_acheron/1080_base.jpg;assets/songs/dl_acheron/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,384;768,384;768,image/jpeg,61441e3b998bac28ec2ac60b17e70cb1cbb2d594c5746934edb1d8c23d7e770b;c88eaa1604e0f00dc1a1ab5289674f6458f0c37943bd5ef257b646c65c139567,true,original object SHA-256=c88eaa1604e0f00dc1a1ab5289674f6458f0c37943bd5ef257b646c65c139567 equals APK image SHA; legacy filename IDX=484 maps to songlist.idx,confirmed,01a00090-6fbd-7798-a640-e0e378290d67,01a00090-6fbd-7aa5-9a28-f8af6bf140d8,covered,confirmed
arcaea:acidgod:default,acidgod,543,Acid God,"{""en"":""Acid God""}",Yuta Imai,single,,1785369601,1,default,,,,,,,,assets/songs/dl_acidgod/1080_base.jpg,fa80a68c1fef5324ed701d1390ba4b965533237ef14ae5ea6c9e9d051199fd11,2,assets/songs/dl_acidgod/1080_base.jpg;assets/songs/dl_acidgod/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,384;768,384;768,image/jpeg,7b57803b66fd5d3642d22e9d14b2cd6179e32781df2c33c15294fc416399bf32;fa80a68c1fef5324ed701d1390ba4b965533237ef14ae5ea6c9e9d051199fd11,true,Current song-linked semantic slot has no Catalog Resource match,unknown,,,missing-from-catalog,unmatched
arcaea:aegleseeker:default,aegleseeker,213,Aegleseeker,"{""en"":""Aegleseeker""}",Silentroom vs Frums,observer,,1620691204,0,default,,,,,,,,assets/songs/dl_aegleseeker/1080_base.jpg,18ea41e3350a061120555ce73b11a449ac2bde7d95b3930b585e54b069fe671f,2,assets/songs/dl_aegleseeker/1080_base.jpg;assets/songs/dl_aegleseeker/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,384;768,384;768,image/jpeg,18ea41e3350a061120555ce73b11a449ac2bde7d95b3930b585e54b069fe671f;bfe1a14e995e2d6553164037590d26424931c006a94b7274a9fa4488bd6f91fe,true,original object SHA-256=18ea41e3350a061120555ce73b11a449ac2bde7d95b3930b585e54b069fe671f equals APK image SHA; legacy filename IDX=213 maps to songlist.idx,confirmed,01a00090-70c7-72ed-aba9-6cd321c0c836,01a00090-70c7-72c2-8b88-031646de9aff,covered,confirmed
arcaea:aethercrest:default,aethercrest,443,Aether Crest: Astral,"{""en"":""Aether Crest: Astral""}",void (Mournfinale) × 水野健治,chunithm_append_3,,1740700800,0,default,,,,,,,,assets/songs/dl_aethercrest/1080_base.jpg,2990b2ca337ce1eb311f48f21e3b8b8fcd57a5881eae5ce8721ea1a0a3f88f83,2,assets/songs/dl_aethercrest/1080_base.jpg;assets/songs/dl_aethercrest/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,384;768,384;768,image/jpeg,2990b2ca337ce1eb311f48f21e3b8b8fcd57a5881eae5ce8721ea1a0a3f88f83;ed3aa18c9a45aaf0b2e8c2a3771729f580a31043176bd27414c13955886cfee9,true,original object SHA-256=2990b2ca337ce1eb311f48f21e3b8b8fcd57a5881eae5ce8721ea1a0a3f88f83 equals APK image SHA; legacy filename IDX=443 maps to songlist.idx,confirmed,01a00090-71cb-7ea8-a381-37951c7df18c,01a00090-71cb-752c-ae65-4d48621bae10,covered,confirmed
arcaea:aidrew:default,aidrew,286,Ai Drew,"{""en"":""Ai Drew""}",Feryquitous,ongeki_append_1,,1664409601,1,default,,,,,,,,assets/songs/dl_aidrew/base.jpg,68e729dfa7ea6a22e15210e1b00ab2beee528f49cd9f9db8cbcb288f5c0815bd,2,assets/songs/dl_aidrew/base.jpg;assets/songs/dl_aidrew/base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,256;512,256;512,image/jpeg,68e729dfa7ea6a22e15210e1b00ab2beee528f49cd9f9db8cbcb288f5c0815bd;f7e4ab9336a9e5a510d5039db4ee4ad6f518ed0d682d209ca0072bfd3c345122,true,original object SHA-256=68e729dfa7ea6a22e15210e1b00ab2beee528f49cd9f9db8cbcb288f5c0815bd equals APK image SHA; legacy filename IDX=286 maps to songlist.idx,confirmed,01a00090-72e8-78dd-a940-5dc7c87c63e2,01a00090-72e8-7b4b-ae45-51c643f0fefd,covered,confirmed
arcaea:aishite:default,aishite,541,"Love me, Love me, Love me","{""en"":""Love me, Love me, Love me"",""ja"":""愛して愛して愛して""}",きくお,virtualsingers,,1782345605,1,default,,,,,,,,assets/songs/dl_aishite/1080_base.jpg,157acc6f4ecd84710ca329b15112ae927fb39619efea1e81f99991465bc53ee3,2,assets/songs/dl_aishite/1080_base.jpg;assets/songs/dl_aishite/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,384;768,384;768,image/jpeg,157acc6f4ecd84710ca329b15112ae927fb39619efea1e81f99991465bc53ee3;4985a9be190ab325cd1ade79f22043de40b84f0982600bc220a9dd15c42a9f4a,true,Current song-linked semantic slot has no Catalog Resource match,unknown,,,missing-from-catalog,unmatched
arcaea:aiueoon:default,aiueoon,132,AI[UE]OON,"{""en"":""AI[UE]OON""}",MYUKKE.,omatsuri,,1566432001,0,default,,,,,,,,assets/songs/dl_aiueoon/1080_base.jpg,b89fd22ee1c31633ac94f405aec6893f4a81997f2da18e85a1e5300927f50a63,2,assets/songs/dl_aiueoon/1080_base.jpg;assets/songs/dl_aiueoon/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,384;768,384;768,image/jpeg,4e8c015d687e75db825e3df7591ed6d467ea00158f35dba641748a56cdb468dc;b89fd22ee1c31633ac94f405aec6893f4a81997f2da18e85a1e5300927f50a63,true,original object SHA-256=b89fd22ee1c31633ac94f405aec6893f4a81997f2da18e85a1e5300927f50a63 equals APK image SHA; legacy filename IDX=132 maps to songlist.idx,confirmed,01a00090-73be-7ad6-8035-9b9cf5f806b2,01a00090-73bf-7b0e-bb95-1fb5876a6282,covered,confirmed
arcaea:akinokagerou:default,akinokagerou,251,Haze of Autumn,"{""en"":""Haze of Autumn"",""ja"":""秋の陽炎""}",karatoPαnchii feat.はるの,musedash,,1640304000,0,default,,,,,,,,assets/songs/dl_akinokagerou/1080_base.jpg,a9ffa1ec0ab169e87afde6cba19f3e456ba3bc5f56fa6d19330c962159d7040d,2,assets/songs/dl_akinokagerou/1080_base.jpg;assets/songs/dl_akinokagerou/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,384;768,384;768,image/jpeg,a9ffa1ec0ab169e87afde6cba19f3e456ba3bc5f56fa6d19330c962159d7040d;ccf34fd695d5d80dd501517a241dfd5215a821125c0615c9b8f3a118db2bba11,true,original object SHA-256=a9ffa1ec0ab169e87afde6cba19f3e456ba3bc5f56fa6d19330c962159d7040d equals APK image SHA; legacy filename IDX=251 maps to songlist.idx,confirmed,01a00090-5370-74d5-8996-c57cbedeaccf,01a00090-5370-7ffd-a625-b60916884945,covered,confirmed
arcaea:alephzero:default,alephzero,374,Aleph-0,"{""en"":""Aleph-0""}",LeaF,extend_2,,1709856006,1,default,,,,,,,,assets/songs/dl_alephzero/1080_base.jpg,fc6bc7b3bd4a50096d091f74a062419375ca7fc4cf0049d3d23bd7ce2a799091,2,assets/songs/dl_alephzero/1080_base.jpg;assets/songs/dl_alephzero/1080_base_256.jpg,c2b58dcad54203645057a859524789f59cfd5ca13613b610d04ad087b58aac90,384;768,384;768,image/jpeg,89c23e547107d71c5e2c836aee008f83d4ef3c0d4bbfac7be375cde20a054916;fc6bc7b3bd4a50096d091f74a062419375ca7fc4cf0049d3d23bd7ce2a799091,true,original object SHA-256=fc6bc7b3bd4a50096d091f74a062419375ca7fc4cf0049d3d23bd7ce2a799091 equals APK image SHA; legacy filename IDX=374 maps to songlist.idx,confirmed,01a00090-74d6-7b17-ae18-fe0ce7793405,01a00090-74d6-73a3-9a31-8973552351cd,covered,confirmed
