songId,songIdx,title,ratingClass,difficultyLabel,rating,ratingPlus,displayLevel,isPlayableChart,playabilityEvidence,recordRole,chartDesigner,jacketDesigner,jacketOverride,jacketNight,titleOverride,audioOverride,bpm,bpmBase,date,version,bg,bgInverse,chartBodyPath,chartFilePresent
sayonarahatsukoi,0,"{""en"":""Sayonara Hatsukoi""}",0,PST,1,,1,True,rating=1;hidden_until=none;chartDesigner=present;chartBodyBundled=true;chartPath=0.aff,normal-slot,Nitro,,,,,,,,,,,,0.aff,True
sayonarahatsukoi,0,"{""en"":""Sayonara Hatsukoi""}",1,PRS,4,,4,True,rating=4;hidden_until=none;chartDesigner=present;chartBodyBundled=true;chartPath=1.aff,normal-slot,Nitro,,,,,,,,,,,,1.aff,True
sayonarahatsukoi,0,"{""en"":""Sayonara Hatsukoi""}",2,FTR,7,,7,True,rating=7;hidden_until=none;chartDesigner=present;chartBodyBundled=true;chartPath=2.aff,normal-slot,Toaster,,,,,,,,,,,,2.aff,True
sayonarahatsukoi,0,"{""en"":""Sayonara Hatsukoi""}",4,ETR,8,,8,True,rating=8;hidden_until=none;chartDesigner=present;chartBodyBundled=true;chartPath=4.aff,normal-slot,Luxance + Exschwasion,,,,,,,,1709856000,5.4,,,4.aff,True
lostcivilization,1,"{""en"":""Lost Civilization""}",0,PST,4,,4,True,rating=4;hidden_until=none;chartDesigner=present;chartBodyBundled=true;chartPath=0.aff,normal-slot,Toaster,,,,,,,,,,,,0.aff,True
lostcivilization,1,"{""en"":""Lost Civilization""}",1,PRS,7,,7,True,rating=7;hidden_until=none;chartDesigner=present;chartBodyBundled=true;chartPath=1.aff,normal-slot,Toaster,,,,,,,,,,,,1.aff,True
lostcivilization,1,"{""en"":""Lost Civilization""}",2,FTR,9,,9,True,rating=9;hidden_until=none;chartDesigner=present;chartBodyBundled=true;chartPath=2.aff,normal-slot,Toaster,,,,,,,,,,,,2.aff,True
lostcivilization,1,"{""en"":""Lost Civilization""}",3,BYD,9,True,9+,True,rating=9;hidden_until=none;chartDesigner=present;chartBodyBundled=false;chartPath=3.aff,normal-slot,Nitro affected by Nitro,みしゃも + yoshimo,True,,,,,,1620691201,3.6,,,3.aff,False
goodtek,2,"{""en"":""GOODTEK (Arcaea Edit)""}",0,PST,4,,4,True,rating=4;hidden_until=none;chartDesigner=present;chartBodyBundled=false;chartPath=0.aff,normal-slot,Nitro,Koyama Mai,,,,,,,,,,,0.aff,False
goodtek,2,"{""en"":""GOODTEK (Arcaea Edit)""}",1,PRS,6,,6,True,rating=6;hidden_until=none;chartDesigner=present;chartBodyBundled=false;chartPath=1.aff,normal-slot,Nitro,Koyama Mai,,,,,,,,,,,1.aff,False
goodtek,2,"{""en"":""GOODTEK (Arcaea Edit)""}",2,FTR,9,,9,True,rating=9;hidden_until=none;chartDesigner=present;chartBodyBundled=false;chartPath=2.aff,normal-slot,Nitro,Koyama Mai,,,,,,,,,,,2.aff,False
goodtek,2,"{""en"":""GOODTEK (Arcaea Edit)""}",3,BYD,9,True,9+,True,rating=9;hidden_until=none;chartDesigner=present;chartBodyBundled=false;chartPath=3.aff,normal-slot,GOODTOAST,出前,True,,,,,,1590537603,3.0,,,3.aff,False
viyella,3,"{""en"":""cry of viyella""}",0,PST,3,,3,True,rating=3;hidden_until=none;chartDesigner=present;chartBodyBundled=false;chartPath=0.aff,normal-slot,Toaster,Khronetic,,,,,,,,,,,0.aff,False
viyella,3,"{""en"":""cry of viyella""}",1,PRS,6,,6,True,rating=6;hidden_until=none;chartDesigner=present;chartBodyBundled=false;chartPath=1.aff,normal-slot,Toaster,Khronetic,,,,,,,,,,,1.aff,False
viyella,3,"{""en"":""cry of viyella""}",2,FTR,8,True,8+,True,rating=8;hidden_until=none;chartDesigner=present;chartBodyBundled=false;chartPath=2.aff,normal-slot,Toaster,Khronetic,,,,,,,,,,,2.aff,False
rise,4,"{""en"":""Rise""}",0,PST,2,,2,True,rating=2;hidden_until=none;chartDesigner=present;chartBodyBundled=true;chartPath=0.aff,normal-slot,Nitro,,,,,,,,,,,,0.aff,True
rise,4,"{""en"":""Rise""}",1,PRS,4,,4,True,rating=4;hidden_until=none;chartDesigner=present;chartBodyBundled=true;chartPath=1.aff,normal-slot,Nitro,,,,,,,,,,,,1.aff,True
rise,4,"{""en"":""Rise""}",2,FTR,7,True,7+,True,rating=7;hidden_until=none;chartDesigner=present;chartBodyBundled=true;chartPath=2.aff,normal-slot,Nitro,,,,,,,,,,,,2.aff,True
lucifer,5,"{""en"":""Lucifer""}",0,PST,3,,3,True,rating=3;hidden_until=none;chartDesigner=present;chartBodyBundled=false;chartPath=0.aff,normal-slot,Nitro,,,,,,,,,,,,0.aff,False
lucifer,5,"{""en"":""Lucifer""}",1,PRS,5,,5,True,rating=5;hidden_until=none;chartDesigner=present;chartBodyBundled=false;chartPath=1.aff,normal-slot,Nitro,,,,,,,,,,,,1.aff,False
