path,fileCount,totalSizeBytes,totalCompressedSizeBytes
.,7320,1910651029,1865928462
META-INF,44,807,748
assets,6791,1842438024,1834050703
kotlin,7,29924,10463
lib,16,50415500,24710254
res,420,742216,631466
META-INF/com,1,56,52
META-INF/services,2,106,99
assets/Default,6,15014,11646
assets/Fonts,18,9200424,7250840
assets/app-data,345,127706916,125050426
assets/audio,136,179282904,179282904
assets/char,421,339391134,339337275
assets/dexopt,2,1325,1325
assets/img,2009,411859705,411827417
assets/layouts,1674,86644494,85769013
assets/models,20,190299,173437
assets/particle,11,8094658,8088492
assets/songs,2075,662980396,660546978
assets/startup,55,15696267,15657695
assets/tl,4,533119,211886
assets/voice,14,841300,841300
kotlin/annotation,1,928,561
kotlin/collections,1,3685,1521
kotlin/coroutines,1,200,157
kotlin/internal,1,646,394
kotlin/ranges,1,3399,1292
kotlin/reflect,1,2426,1286
lib/arm64-v8a,8,30811448,14570702
lib/armeabi-v7a,8,19604052,10139552
res/color,16,8252,3843
res/color-v23,9,5788,2475
res/color-v26,1,464,226
META-INF/com/android,1,56,52
assets/app-data/story,332,127478194,125008642
assets/app-data/story2,13,228722,41784
assets/audio/bgm,43,96053712,96053712
assets/char/1080,139,231159448,231159448
assets/img/1080,261,34356158,34356158
assets/img/account,4,76822,76822
assets/img/aegleseeker,6,2404548,2404548
assets/img/bg,293,231076155,231076155
assets/img/breached,3,386000,386000
assets/img/clear_type,6,39903,39903
assets/img/course,136,14149026,14149026
assets/img/credits,32,8850656,8850656
assets/img/dialog_v2,59,676011,676011
assets/img/epilogue,16,796696,796696
assets/img/favorite,19,2958980,2958980
assets/img/finale,45,4709797,4709797
assets/img/gamescene,16,1177016,1177016
assets/img/grade,15,114338,114338
assets/img/multiplayer,220,20185374,20185257
assets/img/ranking,8,154433,154433
assets/img/results,37,4521246,4521246
assets/img/scenery,22,3211553,3211553
assets/img/skills,25,72287,72287
assets/img/songselect,91,3604100,3604100
assets/img/story,180,9222021,9222021
assets/img/tutorial_v2,30,1412488,1412488
assets/img/world,91,35006509,35006509
assets/layouts/1080,470,45012443,45012443
assets/layouts/character,164,2460544,2447706
assets/layouts/course,6,26673,16666
assets/layouts/dialog,17,1498969,1491536
assets/layouts/download,12,211950,209055
assets/layouts/epilogue,29,1599081,1592083
assets/layouts/finale,196,6285312,6154432
assets/layouts/ingame,39,2451454,2432655
assets/layouts/mainmenu,140,3963272,3786312
assets/layouts/multiplayer,135,5997527,5891517
assets/layouts/results,100,6288967,6232688
assets/layouts/songselect,136,3940542,3769137
assets/layouts/story,65,2982150,2935541
assets/layouts/topbar,7,94345,87984
assets/layouts/vn,4,76936,75474
assets/layouts/world,154,3754329,3633784
assets/songs/arcahv,6,4500575,4407556
assets/songs/brandnewworld,6,3959721,3942323
assets/songs/caramelpop,7,4332728,4246740
assets/songs/chronostasis,6,3520624,3491140
assets/songs/clotho,7,3796960,3751643
assets/songs/dandelion,6,4114099,4084501
assets/songs/dematerialized,7,3484056,3442223
assets/songs/dement,8,4103077,4077994
assets/songs/dialnote,6,3151588,3086587
assets/songs/dl_abstrusedilemma,3,966382,966382
assets/songs/dl_acheron,3,1022848,1022848
assets/songs/dl_acidgod,3,1202653,1202653
assets/songs/dl_aegleseeker,3,733158,733158
assets/songs/dl_aethercrest,3,1133343,1133343
assets/songs/dl_aidrew,3,713318,713318
assets/songs/dl_aishite,3,725694,725694
assets/songs/dl_aiueoon,3,879348,879348
assets/songs/dl_akinokagerou,3,878435,878435
assets/songs/dl_alephzero,3,640781,640781
assets/songs/dl_alexandrite,3,765909,765909
