category,fileCount,totalSizeBytes
character-portrait-or-full-art,139,231159448
background,293,231076155
song-jacket,1172,228216199
ui-or-game-image,1419,136504348
character-art,151,99676378
ui-layout,1497,85390150
pack-cover-or-song-pack-art,195,49407355
story-vn-resource,116,43467071
world-mode,91,35006509
story-cg,57,32760657
startup,51,15641849
story-ui-or-texture,180,9222021
character-avatar-or-icon,130,8492506
other-image,22,8260862
song-directory-image,36,2115276
android-resource,213,553840
