category,width,height,fileCount
song-jacket,384,384,562
song-jacket,768,768,561
background,1920,1440,163
character-art,895,873,148
character-portrait-or-full-art,1800,1800,132
story-ui-or-texture,193,193,107
ui-or-game-image,347,347,99
character-avatar-or-icon,169,170,72
pack-cover-or-song-pack-art,361,314,64
character-avatar-or-icon,170,170,58
story-cg,1920,1080,56
background,1920,720,41
pack-cover-or-song-pack-art,374,750,40
ui-or-game-image,564,74,40
song-directory-image,256,256,36
pack-cover-or-song-pack-art,1003,178,34
song-jacket,512,512,32
ui-or-game-image,740,960,25
ui-or-game-image,149,52,24
ui-or-game-image,344,139,22
ui-layout,281,61,21
ui-layout,78,78,21
ui-layout,404,113,20
ui-or-game-image,128,128,20
pack-cover-or-song-pack-art,752,178,19
ui-or-game-image,1200,400,18
background,1920,400,17
pack-cover-or-song-pack-art,360,314,16
story-ui-or-texture,307,134,16
ui-layout,456,131,16
ui-or-game-image,404,113,16
android-resource,48,48,14
world-mode,1280,960,14
world-mode,543,545,14
story-vn-resource,1,1,13
ui-or-game-image,110,110,13
ui-or-game-image,39,487,13
startup,801,147,12
ui-or-game-image,1,52,12
ui-or-game-image,1024,256,12
ui-or-game-image,164,35,12
ui-or-game-image,1681,78,12
ui-or-game-image,190,190,12
ui-or-game-image,384,384,12
android-resource,96,96,11
ui-or-game-image,289,777,11
android-resource,12,12,10
android-resource,18,18,10
ui-layout,149,180,10
ui-layout,66,66,10
ui-or-game-image,1137,74,10
ui-or-game-image,539,102,10
background,128,512,9
ui-layout,177,257,9
ui-layout,283,283,9
ui-layout,527,130,9
ui-or-game-image,256,256,9
ui-or-game-image,349,135,9
ui-or-game-image,78,78,9
ui-or-game-image,84,84,9
android-resource,36,36,8
background,1920,716,8
story-ui-or-texture,288,579,8
story-vn-resource,1560,877,8
ui-layout,119,120,8
ui-layout,150,67,8
ui-layout,218,124,8
ui-layout,233,117,8
ui-layout,264,201,8
ui-or-game-image,1920,1440,8
ui-or-game-image,196,196,8
ui-or-game-image,303,188,8
ui-or-game-image,303,247,8
ui-or-game-image,819,184,8
story-vn-resource,2048,1152,7
ui-layout,209,124,7
ui-layout,255,120,7
ui-layout,83,43,7
ui-or-game-image,119,119,7
world-mode,940,167,7
android-resource,24,24,6
android-resource,32,32,6
background,1920,540,6
pack-cover-or-song-pack-art,442,525,6
story-vn-resource,1920,1080,6
story-vn-resource,2000,960,6
ui-layout,106,106,6
ui-layout,190,108,6
ui-layout,1920,1440,6
ui-layout,20,20,6
ui-layout,249,223,6
ui-layout,429,130,6
ui-layout,431,1440,6
ui-layout,448,410,6
ui-layout,80,80,6
ui-layout,96,96,6
ui-or-game-image,110,457,6
ui-or-game-image,121,90,6
ui-or-game-image,1280,960,6
ui-or-game-image,229,111,6
ui-or-game-image,247,379,6
ui-or-game-image,261,141,6
ui-or-game-image,407,113,6
ui-or-game-image,55,52,6
ui-or-game-image,65,52,6
world-mode,1920,3072,6
world-mode,2000,2000,6
android-resource,128,128,5
android-resource,16,16,5
android-resource,27,27,5
android-resource,54,54,5
android-resource,64,64,5
android-resource,72,72,5
other-image,1024,1024,5
pack-cover-or-song-pack-art,403,717,5
story-vn-resource,2048,1672,5
ui-layout,147,74,5
ui-layout,162,160,5
ui-layout,266,69,5
ui-layout,391,110,5
ui-layout,439,173,5
ui-layout,63,63,5
ui-or-game-image,1,27,5
ui-or-game-image,1279,344,5
ui-or-game-image,1428,70,5
ui-or-game-image,143,142,5
ui-or-game-image,1561,418,5
ui-or-game-image,167,105,5
ui-or-game-image,167,44,5
ui-or-game-image,174,67,5
ui-or-game-image,20,29,5
ui-or-game-image,280,56,5
ui-or-game-image,438,185,5
ui-or-game-image,512,512,5
ui-or-game-image,53,22,5
ui-or-game-image,89,29,5
android-resource,6,6,4
android-resource,8,8,4
android-resource,9,9,4
background,1920,717,4
character-portrait-or-full-art,62,48,4
pack-cover-or-song-pack-art,1003,179,4
song-jacket,500,500,4
story-ui-or-texture,116,116,4
story-ui-or-texture,321,136,4
story-ui-or-texture,412,412,4
ui-layout,105,288,4
ui-layout,147,44,4
ui-layout,148,70,4
ui-layout,150,94,4
ui-layout,178,103,4
ui-layout,190,113,4
ui-layout,208,208,4
ui-layout,231,231,4
ui-layout,247,92,4
ui-layout,248,246,4
ui-layout,272,127,4
ui-layout,293,124,4
ui-layout,309,559,4
ui-layout,324,97,4
ui-layout,394,577,4
ui-layout,408,128,4
ui-layout,422,102,4
ui-layout,463,464,4
ui-layout,490,30,4
ui-layout,492,129,4
ui-layout,62,62,4
ui-layout,69,68,4
ui-layout,690,203,4
ui-layout,726,175,4
ui-layout,87,85,4
ui-layout,87,86,4
ui-layout,91,75,4
ui-layout,92,95,4
ui-or-game-image,1,1,4
ui-or-game-image,1,303,4
ui-or-game-image,1049,1049,4
ui-or-game-image,107,65,4
ui-or-game-image,115,115,4
ui-or-game-image,116,61,4
ui-or-game-image,117,45,4
ui-or-game-image,1281,1387,4
ui-or-game-image,130,131,4
ui-or-game-image,130,89,4
ui-or-game-image,1574,78,4
ui-or-game-image,162,77,4
ui-or-game-image,180,71,4
ui-or-game-image,190,110,4
ui-or-game-image,224,90,4
ui-or-game-image,226,49,4
ui-or-game-image,249,133,4
ui-or-game-image,253,253,4
ui-or-game-image,29,29,4
ui-or-game-image,31,31,4
ui-or-game-image,37,49,4
ui-or-game-image,522,523,4
ui-or-game-image,523,265,4
ui-or-game-image,578,97,4
ui-or-game-image,61,61,4
ui-or-game-image,73,22,4
ui-or-game-image,77,60,4
ui-or-game-image,99,93,4
world-mode,63,145,4
android-resource,1,1,3
android-resource,108,108,3
android-resource,144,144,3
android-resource,20,24,3
android-resource,30,36,3
background,1920,699,3
background,1920,700,3
character-art,1200,1200,3
other-image,247,340,3
other-image,46,36,3
song-jacket,384,379,3
song-jacket,768,758,3
startup,900,147,3
story-ui-or-texture,89,89,3
story-vn-resource,1177,662,3
story-vn-resource,1391,729,3
story-vn-resource,1636,729,3
story-vn-resource,940,551,3
ui-layout,111,111,3
ui-layout,115,115,3
ui-layout,125,102,3
ui-layout,127,66,3
ui-layout,1286,1,3
ui-layout,129,85,3
ui-layout,148,74,3
ui-layout,156,55,3
ui-layout,158,158,3
ui-layout,1620,557,3
ui-layout,182,99,3
ui-layout,203,41,3
ui-layout,2048,2048,3
ui-layout,225,225,3
ui-layout,236,237,3
ui-layout,239,122,3
ui-layout,241,99,3
ui-layout,257,132,3
ui-layout,27,131,3
ui-layout,273,137,3
ui-layout,326,2,3
ui-layout,36,36,3
ui-layout,367,39,3
ui-layout,371,157,3
ui-layout,372,165,3
ui-layout,38,15,3
ui-layout,381,174,3
ui-layout,384,57,3
ui-layout,395,58,3
ui-layout,402,85,3
ui-layout,406,174,3
ui-layout,422,103,3
ui-layout,442,525,3
ui-layout,445,135,3
ui-layout,483,165,3
ui-layout,492,150,3
ui-layout,545,50,3
ui-layout,60,464,3
ui-layout,627,117,3
ui-layout,633,154,3
ui-layout,635,175,3
ui-layout,691,394,3
ui-layout,72,72,3
ui-layout,73,22,3
ui-layout,74,45,3
ui-layout,748,185,3
ui-layout,75,46,3
ui-layout,788,58,3
ui-layout,833,413,3
ui-layout,873,174,3
ui-layout,910,161,3
ui-or-game-image,1136,74,3
ui-or-game-image,1139,132,3
ui-or-game-image,114,108,3
ui-or-game-image,13,285,3
ui-or-game-image,143,143,3
ui-or-game-image,1536,2687,3
ui-or-game-image,1920,3072,3
ui-or-game-image,201,201,3
ui-or-game-image,23,79,3
ui-or-game-image,238,220,3
ui-or-game-image,247,64,3
ui-or-game-image,2560,1202,3
ui-or-game-image,33,115,3
ui-or-game-image,349,91,3
ui-or-game-image,350,173,3
ui-or-game-image,350,219,3
ui-or-game-image,384,57,3
ui-or-game-image,4,11,3
ui-or-game-image,4,6,3
ui-or-game-image,400,400,3
ui-or-game-image,456,965,3
ui-or-game-image,58,730,3
ui-or-game-image,6,6,3
ui-or-game-image,601,105,3
ui-or-game-image,61,52,3
ui-or-game-image,62,52,3
ui-or-game-image,66,93,3
ui-or-game-image,71,369,3
