songId,assetDirectoryKey,title,artist,packId,side,songVersion,jacketOverrideDifficulties,defaultJacketFiles,numericJacketFiles,jacketVariantSuffixes,allJacketFiles,chartFiles,audioFiles
sayonarahatsukoi,sayonarahatsukoi,en=Sayonara Hatsukoi,REDSHiFT,base,0,1.0,,1080_base.jpg;1080_base_256.jpg,,base,1080_base.jpg;1080_base_256.jpg,0.aff;1.aff;2.aff;4.aff,base.ogg
lostcivilization,lostcivilization,en=Lost Civilization,Laur vs CK,base,1,1.0,BYD,base.jpg;base_256.jpg,1080_3.jpg;1080_3_256.jpg,3;base,1080_3.jpg;1080_3_256.jpg;base.jpg;base_256.jpg,0.aff;1.aff;2.aff,base.ogg
goodtek,dl_goodtek,en=GOODTEK (Arcaea Edit),EBIMAYO,base,0,1.0,BYD,1080_base.jpg;1080_base_256.jpg,1080_3.jpg;1080_3_256.jpg,3;base,1080_3.jpg;1080_3_256.jpg;1080_base.jpg;1080_base_256.jpg,,preview.ogg
viyella,dl_viyella,en=cry of viyella,Laur,core,1,1.0,,1080_base.jpg;1080_base_256.jpg,,base,1080_base.jpg;1080_base_256.jpg,,preview.ogg
rise,rise,en=Rise,Combatplayer,base,0,1.0,,1080_base.jpg;1080_base_256.jpg,,base,1080_base.jpg;1080_base_256.jpg,0.aff;1.aff;2.aff,base.ogg
lucifer,dl_lucifer,en=Lucifer,chitose,base,1,1.0,,base.jpg;base_256.jpg,,base,base.jpg;base_256.jpg,,preview.ogg
fairytale,fairytale,en=Fairytale,chitose,base,0,1.0,BYD,1080_base.jpg;1080_base_256.jpg,1080_3.jpg;1080_3_256.jpg,3;base,1080_3.jpg;1080_3_256.jpg;1080_base.jpg;1080_base_256.jpg,0.aff;1.aff;2.aff,base.ogg
hearditsaid,dl_hearditsaid,en=I've heard it said,Combatplayer,core,0,1.0,,1080_base.jpg;1080_base_256.jpg,,base,1080_base.jpg;1080_base_256.jpg,,preview.ogg
babaroque,dl_babaroque,en=Babaroque,cYsmix,base,0,1.0,,1080_base.jpg;1080_base_256.jpg,,base,1080_base.jpg;1080_base_256.jpg,,preview.ogg
memoryfactory,dl_memoryfactory,en=memoryfactory.lzh,Frums,core,0,1.0,,1080_base.jpg;1080_base_256.jpg,,base,1080_base.jpg;1080_base_256.jpg,,preview.ogg
snowwhite,snowwhite,en=Snow White,Puru,base,0,1.0,,base.jpg;base_256.jpg,,base,base.jpg;base_256.jpg,0.aff;1.aff;2.aff,base.ogg
relentless,dl_relentless,en=Relentless,Akira Complex,core,1,1.0,,1080_base.jpg;1080_base_256.jpg,,base,1080_base.jpg;1080_base_256.jpg,,preview.ogg
shadesoflight,shadesoflight,en=Shades of Light in a Transcendent Realm,ak+q,base,0,1.0,BYD,1080_base.jpg;1080_base_256.jpg,1080_3.jpg;1080_3_256.jpg,3;base,1080_3.jpg;1080_3_256.jpg;1080_base.jpg;1080_base_256.jpg,0.aff;1.aff;2.aff,base.ogg;preview.ogg
vexaria,vexaria,en=Vexaria,ak+q,base,0,1.0,BYD,1080_base.jpg;1080_base_256.jpg,1080_3.jpg;1080_3_256.jpg,3;base,1080_3.jpg;1080_3_256.jpg;1080_base.jpg;1080_base_256.jpg,0.aff;1.aff;2.aff,base.ogg
essenceoftwilight,dl_essenceoftwilight,en=Essence of Twilight,ak+q,core,1,1.0,,base.jpg;base_256.jpg,,base,base.jpg;base_256.jpg,,preview.ogg
qualia,dl_qualia,en=qualia -ideaesthesia-,nitro,base,1,1.0,BYD,base.jpg;base_256.jpg,1080_3.jpg;1080_3_256.jpg,3;base,1080_3.jpg;1080_3_256.jpg;base.jpg;base_256.jpg,,preview.ogg
pragmatism,dl_pragmatism,en=PRAGMATISM,Laur,core,0,1.0,BYD,1080_base.jpg;1080_base_256.jpg,1080_3.jpg;1080_3_256.jpg,3;base,1080_3.jpg;1080_3_256.jpg;1080_base.jpg;1080_base_256.jpg,,3.ogg;3_preview.ogg;preview.ogg
sheriruth,dl_sheriruth,en=Sheriruth,Team Grimoire,core,1,1.0,,1080_base.jpg;1080_base_256.jpg,,base,1080_base.jpg;1080_base_256.jpg,,preview.ogg
lumia,dl_lumia,en=Lumia,sky_delta,core,0,1.0,BYD,1080_base.jpg;1080_base_256.jpg,1080_3.jpg;1080_3_256.jpg,3;base,1080_3.jpg;1080_3_256.jpg;1080_base.jpg;1080_base_256.jpg,,preview.ogg
dement,dement,en=Dement ~after legend~,Cosmograph,base,1,1.0,BYD,1080_base.jpg;1080_base_256.jpg,1080_3.jpg;1080_3_256.jpg,3;base,1080_3.jpg;1080_3_256.jpg;1080_base.jpg;1080_base_256.jpg,0.aff;1.aff;2.aff,base.ogg
