assetPath,resourceFamily,localeSuffix,rawLocaleSuffix,normalizedLocale,assetRole,evidence,confidence,note
assets/img/multiplayer/stickers/alice_en.png,alice,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/alice_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/alice_jp.png,alice,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/alice_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/alice_kr.png,alice,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/alice_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/alice_sc_tc.png,alice,sc_tc,sc_tc,sc_tc,multiplayer-sticker,assets/img/multiplayer/stickers/alice_sc_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/amane_en.png,amane,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/amane_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/amane_jp.png,amane,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/amane_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/amane_kr.png,amane,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/amane_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/amane_sc.png,amane,sc,sc,sc,multiplayer-sticker,assets/img/multiplayer/stickers/amane_sc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/amane_tc.png,amane,tc,tc,tc,multiplayer-sticker,assets/img/multiplayer/stickers/amane_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/ayu.png,ayu,unsuffixed,,,multiplayer-sticker,assets/img/multiplayer/stickers/ayu.png,High,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/eto_en.png,eto,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/eto_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/eto_jp.png,eto,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/eto_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/eto_kr.png,eto,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/eto_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/eto_sc_tc.png,eto,sc_tc,sc_tc,sc_tc,multiplayer-sticker,assets/img/multiplayer/stickers/eto_sc_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/etoluna_en.png,etoluna,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/etoluna_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/etoluna_jp.png,etoluna,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/etoluna_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/etoluna_kr.png,etoluna,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/etoluna_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/etoluna_sc.png,etoluna,sc,sc,sc,multiplayer-sticker,assets/img/multiplayer/stickers/etoluna_sc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/etoluna_tc.png,etoluna,tc,tc,tc,multiplayer-sticker,assets/img/multiplayer/stickers/etoluna_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/hikari2_en.png,hikari2,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/hikari2_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/hikari2_jp.png,hikari2,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/hikari2_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/hikari2_kr.png,hikari2,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/hikari2_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/hikari2_sc.png,hikari2,sc,sc,sc,multiplayer-sticker,assets/img/multiplayer/stickers/hikari2_sc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/hikari2_tc.png,hikari2,tc,tc,tc,multiplayer-sticker,assets/img/multiplayer/stickers/hikari2_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/hikari_en.png,hikari,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/hikari_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/hikari_jp.png,hikari,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/hikari_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/hikari_kr.png,hikari,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/hikari_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/hikari_sc_tc.png,hikari,sc_tc,sc_tc,sc_tc,multiplayer-sticker,assets/img/multiplayer/stickers/hikari_sc_tc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/ilith_en.png,ilith,en,en,en,multiplayer-sticker,assets/img/multiplayer/stickers/ilith_en.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/ilith_jp.png,ilith,jp,jp,ja,multiplayer-sticker,assets/img/multiplayer/stickers/ilith_jp.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/ilith_kr.png,ilith,kr,kr,ko,multiplayer-sticker,assets/img/multiplayer/stickers/ilith_kr.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
assets/img/multiplayer/stickers/ilith_sc.png,ilith,sc,sc,sc,multiplayer-sticker,assets/img/multiplayer/stickers/ilith_sc.png,Confirmed,raw APK suffix is retained; normalizedLocale is an audit-derived search label; suffix is not an independent song/artwork identity
