packId,packOrder,nameLocalized,descriptionLocalized,section,packParent,isExtendPack,isActiveExtendPack,customBanner,smallPackImage,cutoutPackImage,assetPath,coverRole,variant,evidence,confidence
base,0,en=Arcaea,en=;ja=,arcaea,,,,True,,True,assets/songs/pack/1080_select_base.png,pack-cover,main-select,assets/songs/packlist; assets/songs/pack/1080_select_base.png,Confirmed
extend_4,1,en=World Extend 4,"en=Unlock this pack to obtain all ""World Extend""
songs.

Future songs added to ""World Extend 4: Emanations""
will be instantly unlocked at no cost. Limited-time
maps may still be played for other rewards.;ja=本楽曲パックを一括解禁すると、
『World Extend 4: Emanations』の
すべての楽曲が入手できます。
解禁対象は、今後の配信曲すべてです。

解禁後でも楽曲以外のマップ報酬を目的に、
期間限定マップで遊ぶことが出来ます。;ko=해당 팩을 구매하면
World Extend 내 악곡이 모두 해금됩니다.

""World Extend 4: Emanations""에
추후 추가될 악곡들도 무료로 해금됩니다.
한정 맵을 플레이하여
다른 보상을 얻는 것도 가능합니다.;zh-Hans=World Extend中的全部曲目
将在解锁该曲包后立即开放。

未来加入""World Extend 4: Emanations""的曲目
也会立即解锁，无需再次购买。
对应曲目的限时地图仍可游玩，
取得进度后可获得地图中的其他奖励。;zh-Hant=World Extend中的全部曲目
將在解鎖該曲包後立即開放。

未來加入「World Extend 4: Emanations」的曲目
也會立即解鎖，無需再次購買。
對應曲目的限時地圖仍可遊玩，
取得進度後可獲得地圖中的其他獎勵。",arcaea,,True,True,True,,True,assets/songs/pack/1080_select_extend_4.png,pack-cover,main-select,assets/songs/packlist; assets/songs/pack/1080_select_extend_4.png,Confirmed
extend_3,2,en=Extend Archive 3,"en=The third collection of Arcaea's extended
history across 20 songs.

The price of this Pack is adjusted if you
have previously obtained the majority
of songs within it in the past.
;ja=ここに系譜を継ぐ、更なる20曲。

3代目のWorld Extendパックです。
過去に獲得期間中だった時期のあいだに
無料解禁を達成した楽曲数に応じて、
本パックの値段は変動します。;ko=Arcaea의 긴 역사를
20개의 악곡에 담은 세번째 콜렉션입니다.

해당 팩 내 악곡 보유수에 따라
가격이 조정됩니다.;zh-Hans=20首歌曲，归档了属于Arcaea的
第三批更广阔的回忆……

若此前已通过其他方式获取大部分收录曲目，
曲包售价会在结算时自动做出相应调整。;zh-Hant=20首歌曲，歸檔了屬於Arcaea的
第三批更廣闊的回憶……

若此前已通過其他方式獲取大部分收錄曲目，
曲包售價會在結算時自動做出相應調整。",arcaea,,True,False,True,True,,assets/songs/pack/1080_select_extend_3.png,pack-cover,main-select,assets/songs/packlist; assets/songs/pack/1080_select_extend_3.png,Confirmed
extend_3,2,en=Extend Archive 3,"en=The third collection of Arcaea's extended
history across 20 songs.

The price of this Pack is adjusted if you
have previously obtained the majority
of songs within it in the past.
;ja=ここに系譜を継ぐ、更なる20曲。

3代目のWorld Extendパックです。
過去に獲得期間中だった時期のあいだに
無料解禁を達成した楽曲数に応じて、
本パックの値段は変動します。;ko=Arcaea의 긴 역사를
20개의 악곡에 담은 세번째 콜렉션입니다.

해당 팩 내 악곡 보유수에 따라
가격이 조정됩니다.;zh-Hans=20首歌曲，归档了属于Arcaea的
第三批更广阔的回忆……

若此前已通过其他方式获取大部分收录曲目，
曲包售价会在结算时自动做出相应调整。;zh-Hant=20首歌曲，歸檔了屬於Arcaea的
第三批更廣闊的回憶……

若此前已通過其他方式獲取大部分收錄曲目，
曲包售價會在結算時自動做出相應調整。",arcaea,,True,False,True,True,,assets/songs/pack/1080_small_extend_3.png,pack-cover,small-select,assets/songs/packlist; assets/songs/pack/1080_small_extend_3.png,Confirmed
extend_2,3,en=Extend Archive 2,"en=The second collection of Arcaea's extended
history across 20 songs.

The price of this Pack is adjusted if you
have previously obtained the majority
of songs within it in the past.
;ja=ここに系譜を継ぐ、更なる20曲。

2代目のWorld Extendパックです。
かつて獲得期間中だった時期のあいだ、
無料解禁を達成した楽曲数に応じて、
本パックの値段は変動します。;ko=Arcaea의 긴 역사를
20개의 악곡에 담은 두번째 콜렉션입니다.

해당 팩 내 악곡 보유수에 따라
가격이 조정됩니다.;zh-Hans=20首歌曲，归档了属于Arcaea的
第二批更广阔的回忆……

若此前已通过其他方式获取大部分收录曲目，
曲包售价会在结算时自动做出相应调整。;zh-Hant=20首歌曲，歸檔了屬於Arcaea的
第二批更廣闊的回憶……

若此前已通過其他方式獲取大部分收錄曲目，
曲包售價會在結算時自動做出相應調整。",arcaea,,True,False,True,True,,assets/songs/pack/1080_select_extend_2.png,pack-cover,main-select,assets/songs/packlist; assets/songs/pack/1080_select_extend_2.png,Confirmed
extend_2,3,en=Extend Archive 2,"en=The second collection of Arcaea's extended
history across 20 songs.

The price of this Pack is adjusted if you
have previously obtained the majority
of songs within it in the past.
;ja=ここに系譜を継ぐ、更なる20曲。

2代目のWorld Extendパックです。
かつて獲得期間中だった時期のあいだ、
無料解禁を達成した楽曲数に応じて、
本パックの値段は変動します。;ko=Arcaea의 긴 역사를
20개의 악곡에 담은 두번째 콜렉션입니다.

해당 팩 내 악곡 보유수에 따라
가격이 조정됩니다.;zh-Hans=20首歌曲，归档了属于Arcaea的
第二批更广阔的回忆……

若此前已通过其他方式获取大部分收录曲目，
曲包售价会在结算时自动做出相应调整。;zh-Hant=20首歌曲，歸檔了屬於Arcaea的
第二批更廣闊的回憶……

若此前已通過其他方式獲取大部分收錄曲目，
曲包售價會在結算時自動做出相應調整。",arcaea,,True,False,True,True,,assets/songs/pack/1080_small_extend_2.png,pack-cover,small-select,assets/songs/packlist; assets/songs/pack/1080_small_extend_2.png,Confirmed
extend,4,en=Extend Archive 1,"en=The first collection of Arcaea's extended
history across 20 songs.

The price of this Pack is adjusted if you
have previously obtained the majority
of songs within it in the past.
;ja=ここに聳える、始まりの20曲。

初代World Extendパックです。
かつて獲得期間中だった時期のあいだ、
無料解禁を達成した楽曲数に応じて、
本パックの値段は変動します。;ko=Arcaea의 긴 역사를
20개의 악곡에 담은 첫번째 콜렉션입니다.

해당 팩 내 악곡 보유수에 따라
가격이 조정됩니다.;zh-Hans=20首歌曲，归档了属于Arcaea的
第一批更广阔的回忆……

若此前已通过其他方式获取大部分收录曲目，
曲包售价会在结算时自动做出相应调整。;zh-Hant=20首歌曲，歸檔了屬於Arcaea的
第一批更廣闊的回憶……

若此前已通過其他方式獲取大部分收錄曲目，
曲包售價會在結算時自動做出相應調整。",arcaea,,True,False,True,True,,assets/songs/pack/1080_select_extend.png,pack-cover,main-select,assets/songs/packlist; assets/songs/pack/1080_select_extend.png,Confirmed
extend,4,en=Extend Archive 1,"en=The first collection of Arcaea's extended
history across 20 songs.

The price of this Pack is adjusted if you
have previously obtained the majority
of songs within it in the past.
;ja=ここに聳える、始まりの20曲。

初代World Extendパックです。
かつて獲得期間中だった時期のあいだ、
無料解禁を達成した楽曲数に応じて、
本パックの値段は変動します。;ko=Arcaea의 긴 역사를
20개의 악곡에 담은 첫번째 콜렉션입니다.

해당 팩 내 악곡 보유수에 따라
가격이 조정됩니다.;zh-Hans=20首歌曲，归档了属于Arcaea的
第一批更广阔的回忆……

若此前已通过其他方式获取大部分收录曲目，
曲包售价会在结算时自动做出相应调整。;zh-Hant=20首歌曲，歸檔了屬於Arcaea的
第一批更廣闊的回憶……

若此前已通過其他方式獲取大部分收錄曲目，
曲包售價會在結算時自動做出相應調整。",arcaea,,True,False,True,True,,assets/songs/pack/1080_small_extend.png,pack-cover,small-select,assets/songs/packlist; assets/songs/pack/1080_small_extend.png,Confirmed
eclipse,5,en=Liminal Eclipse,"en=Across these many worlds, you have been brought
to perfection. Open your strange eyes to a world
of beauty beneath new and gorgeous stars.

5 songs trace the last words and steps of Maya
as she explores the halls of an unknown god. Until
she can forget, and until eclipsed she is remembered.;ja=数多の世界を超え、導かれしは万全の世界。
その異色の瞳を、真新しく豪奢な美の世界へと向けて。

未知なる神の回廊を探るマヤ、
その最期の言葉と足跡を辿る、5つの楽曲。
日に日に蝕む忘却に、残る少女の足跡。;ko=여러 세계를 거치며 너는 완벽해졌어.
그 두 색의 눈을 떠 낯설고 찬란한 별들 아래 펼쳐진
아름다운 세계를 담으렴.

정체불명의 신이 만들어낸 저택을 탐험하는
마야의 마지막 발자취를 5개의 악곡이 기록합니다.
모든 것을 잊을 때까지. 일식이 되어, 기억될 때까지.;zh-Hans=跨越这众多世界，你已抵达完美。
睁开你奇异的双眼，探寻崭新绚丽星辰下的美丽世界。

五首歌曲追溯摩耶的足迹和她最后的话语。
她探索着一位未知神明的殿堂，
直到她能够遗忘，直到她黯然失色……她将仍被铭记。;zh-Hant=跨越這眾多世界，妳已抵達完美。
睜開妳奇異的雙眼，探索嶄新絢麗星辰下的美麗世界。

五首歌曲追溯摩耶的足跡和她最後的話語。
她探索著一位未知神明的殿堂，
直到她能夠遺忘，直到她黯然失色……她將仍被銘記。",mainstory2,,,,True,,,assets/songs/pack/1080_select_eclipse.png,pack-cover,main-select,assets/songs/packlist; assets/songs/pack/1080_select_eclipse.png,Confirmed
lephon,6,en=Lucent Historia,"en=An old history and world has been brought up.
A tale of guidance and insight that another must tell.
Uncover that past, and see into the soul of God...

""Lucent Historia"" details a world apart from Arcaea,
its story unfolding across 5 new songs. And within, you
may find the Ascendant - 8th Seeker: ""Compassion""...;ja=旧き地に纏わる歴史が、いま甦る。
ここに啓くは、導きと天啓の物語。
神の御霊の一端に触れ、過去を明かせ──。

異なる世界を巡る異譚『Lucent Historia』
5つの新曲が示す、とある神の始まり。
それは、天賦第八究明者『慈哀』と──。;ko=아주 오래 전 존재했던 세계와 그 역사가, 다시금.
또 다른 이가 전해야만 할, 인도와 혜안의 이야기.
과거를 드러내어, 신의 영혼을 보아라.

""Lucent Historia""에서는 아르케아가 아닌
또다른 세계의 이야기가 펼쳐집니다.
다섯 개의 악곡에 걸쳐 펼쳐지는 서사시.
그 주인공은 초월자 - 여덟 번째 추적자...
""연민"".;zh-Hans=一段远古的往事被再次提起，
快被遗忘的世界再度落入世人视野。
引路人与洞察者的过往，须由另一位来讲述。
揭开那过去的面纱，看向祂灵魂的深处吧……

《Lucent Historia》为你揭开Arcaea世界之外的篇章。
随五首歌曲寻找“至高：第八探索者 - 慈悲”的过往。;zh-Hant=一段遠古的往事被再次提起，
快被遺忘的世界再度落入世人視野。
引路人與洞察者的過往，須由另一位來講述。
揭開那過去的面紗，看向祂靈魂的深處吧……

《Lucent Historia》為你揭開Arcaea世界之外的篇章。
隨五首歌曲尋找「至高：第八探索者 - 慈悲」的過往。",mainstory2,,,,True,,,assets/songs/pack/1080_select_lephon.png,pack-cover,main-select,assets/songs/packlist; assets/songs/pack/1080_select_lephon.png,Confirmed
epilogue,7,en=Silent Answer,en=;ja=;ko=;zh-Hans=;zh-Hant=,mainstory,finale,,,,,,assets/songs/pack/1080/divider_epilogue.png,pack-ui,divider,assets/songs/packlist; assets/songs/pack/1080/divider_epilogue.png,Confirmed
epilogue,7,en=Silent Answer,en=;ja=;ko=;zh-Hans=;zh-Hant=,mainstory,finale,,,,,,assets/songs/pack/1080_select_epilogue.png,pack-cover,main-select,assets/songs/packlist; assets/songs/pack/1080_select_epilogue.png,Confirmed
finale,8,en=Final Verdict,"en=The final Main Story Pack of Arcaea.
With this, bring about the story's end.

In addition to 4 hidden songs, Final Verdict
requires connection between yourself and other
players to fully unlock. Like Light, like Conflict,
here you stand to face truly unfathomable ordeals.;ja=Arcaeaのメインストーリー、その最終章。
斯くして迎える、物語の終末。

隠された4曲に加えて、『Final Verdict』パック
では、全てを解禁するために他プレイヤーとの
協同が必須となります。光と対立に待つような、
底知れぬ試練がこの先、あなたを待つでしょう。;ko=Arcaea 마지막 메인 스토리 팩.
이것으로 이야기의 끝을 맞이한다.

4개의 숨은 곡을 포함해 Final Verdict은 완전히
언락하기 위하여 자신과 타 플레이어 간의 연결을
필요시 합니다. Light와 Conflict처럼 당신은
상상할 수 없는 시련에 맞설 것이다.;zh-Hans=Arcaea 最后的主线剧情曲包。
在这里，一切都将走向终结。

除了四首隐藏歌曲外，你需要和其他玩家
一起行动才能完全解锁 Final Verdict 曲包。
就像光与对立一样，
你将面临真正深不可测的考验。;zh-Hant=Arcaea 最後的主線劇情曲包。
在這裡，一切都將走向終結。

除了四首隱藏歌曲外，你需要和其他玩家
一起行動才能完全解鎖 Final Verdict 曲包。
就像光與對立一樣，
你將面臨真正深不可測的考驗。",mainstory,,,,,,,assets/songs/pack/1080_select_finale.png,pack-cover,main-select,assets/songs/packlist; assets/songs/pack/1080_select_finale.png,Confirmed
vs,9,en=Black Fate,"en=A storm fast approaches.
Reconciliation may not be possible.
Is this the only destiny afforded them?
What truth will they find at the end of their paths?

A continuation of the main story of Arcaea.
It's suggested to play other main story packs first.;ja=嵐は来る──すぐに近くまで。
和解はきっと、できないかもしれない。
これが唯一、許される運命なのだろうか。
選んだ道の先、二人が見出す真実とは──。

Arcaeaメインストーリーの続編です。
ここまでの物語をクリアの後、購入を推奨します。;ko=빠르게 다가오는 폭풍.
아마도 불가능해 보이는 화해.
이것이 그들에게 주어진 유일한 운명인가?
그 여정의 끝자락에서 발견하게 될 진리는 무엇인가?

이어지는 아르케아의 메인 스토리.
다른 메인 스토리 팩을 먼저 플레이 해보시길 추천드립니다.;zh-Hans=一场暴风雨正呼啸而来。
妥协的可能性，或许并不存在。
一切，真的只是命中注定吗？
在终点站等待着少女们的，究竟是怎样的真理？

韵律源点主线故事的下一篇章。
在此之前，强烈建议先游玩过去的故事包。;zh-Hant=一場暴風雨正呼嘯而來。
妥協的可能性，或許並不存在。
一切，真的只是命中註定嗎？
在終點站等待著少女們的，究竟是怎樣的真理？

韻律源點主線故事的下一篇章。
在此之前，強烈建議先遊玩過去的故事包。",mainstory,,,,,,,assets/songs/pack/1080_select_vs.png,pack-cover,main-select,assets/songs/packlist; assets/songs/pack/1080_select_vs.png,Confirmed
prelude,10,en=Adverse Prelude,"en=A meandering journey,
an impossible meeting.
One is of light, the other conflict—
and now their fates intertwine.

Five new monumental songs stand ready,
wherever this meeting may lead...;ja=果てなき旅路の最中、
叶い得なかった邂逅。
一方は白き少女、もう一方には黒き少女。
─────そして今、2つの宿命が1つに交わる。

ここに在りしは不朽の楽曲が5つ、
邂逅が導くのはいずこなりや？;ko=정처없는 여정,
있을 수 없는 만남.
하나의 빛과, 또 다른 대립,
그리고 지금, 뒤얽히는 그들의 운명.

새롭게 준비된 상징적인 5곡들,
이 만남이 이끌어가는 곳 어디든..;zh-Hans=一段蜿蜒曲折的旅途，
一场不可思议的邂逅。
一由光芒环抱，一则缠绕纷争——
少女们的命运，将于此刻交织。

五首重量级的全新乐曲，
将随这场相遇席卷而来……;zh-Hant=一段蜿蜒曲折的旅途，
一場不可思議的邂逅。
一由光芒環抱，一則纏繞紛爭——
少女們的命運，將於此刻交織。

五首重量級的全新樂曲，
將隨這場相遇席捲而來……",mainstory,,,,,,,assets/songs/pack/1080_select_prelude.png,pack-cover,main-select,assets/songs/packlist; assets/songs/pack/1080_select_prelude.png,Confirmed
