path,type,semanticRole,confidence,evidence,relatedFiles,rhythmArchiveRelevance
META-INF/com/android/build/gradle/app-metadata.properties,Text-like,APK signing/provenance metadata,confirmed,META-INF path and ZIP entry role,AndroidManifest.xml,audit provenance only; never publish
META-INF/version-control-info.textproto,Text-like,APK signing/provenance metadata,confirmed,META-INF path and ZIP entry role,AndroidManifest.xml,audit provenance only; never publish
assets/dexopt/baseline.prof,Binary,Android runtime profile,confirmed,assets/dexopt baseline profile path,classes.dex;AndroidManifest.xml,build/runtime support only
assets/dexopt/baseline.profm,Binary,Android runtime profile,confirmed,assets/dexopt baseline profile path,classes.dex;AndroidManifest.xml,build/runtime support only
classes.dex,DEX,Android/Dalvik bytecode,confirmed,DEX magic and classes*.dex path,AndroidManifest.xml;lib/*,code-layer reference only; no direct gallery data
classes2.dex,DEX,Android/Dalvik bytecode,confirmed,DEX magic and classes*.dex path,AndroidManifest.xml;lib/*,code-layer reference only; no direct gallery data
lib/arm64-v8a/libcocos2dcpp.so,ELF,Cocos2d-x game native library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/arm64-v8a/libcrashlytics-common.so,ELF,native game/runtime library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/arm64-v8a/libcrashlytics-handler.so,ELF,native game/runtime library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/arm64-v8a/libcrashlytics-trampoline.so,ELF,native game/runtime library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/arm64-v8a/libcrashlytics.so,ELF,native game/runtime library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/arm64-v8a/libdatastore_shared_counter.so,ELF,native game/runtime library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/arm64-v8a/libfmod.so,ELF,FMOD audio native library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/arm64-v8a/libfmodProvider.so,ELF,FMOD audio native library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/armeabi-v7a/libcocos2dcpp.so,ELF,Cocos2d-x game native library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/armeabi-v7a/libcrashlytics-common.so,ELF,native game/runtime library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/armeabi-v7a/libcrashlytics-handler.so,ELF,native game/runtime library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
lib/armeabi-v7a/libcrashlytics-trampoline.so,ELF,native game/runtime library,confirmed,ELF magic plus lib ABI path; filename identifies Cocos2d-x or FMOD where applicable,AndroidManifest.xml;assets/*,runtime context; no direct gallery ingestion
