idx,songId,titleLocalized,titleLanguages,artist,bpm,bpmBase,side,set,version,date,difficultyCount,difficultyRatingClasses,difficultyLabels,assetDirectoryPresent,assetDirectoryKey,assetDirectoryPrefix,assetFileCount,chartFileCount,chartFiles,jacketFileCount,jacketFiles,assetFileNames,remoteDl,deleted,songlistHidden,jacketLocalized,bg,bgInverse
0,sayonarahatsukoi,"{""en"":""Sayonara Hatsukoi""}",en,REDSHiFT,178,178,0,base,1.0,1487980800,4,0;1;2;4,PST;PRS;FTR;ETR,True,sayonarahatsukoi,exact,7,4,0.aff;1.aff;2.aff;4.aff,2,1080_base.jpg;1080_base_256.jpg,0.aff;1.aff;1080_base.jpg;1080_base_256.jpg;2.aff;4.aff;base.ogg,,,,,base_light,base_conflict
1,lostcivilization,"{""en"":""Lost Civilization""}",en,Laur vs CK,75 - 210,210,1,base,1.0,1487980808,4,0;1;2;3,PST;PRS;FTR;BYD,True,lostcivilization,exact,8,3,0.aff;1.aff;2.aff,4,1080_3.jpg;1080_3_256.jpg;base.jpg;base_256.jpg,0.aff;1.aff;1080_3.jpg;1080_3_256.jpg;2.aff;base.jpg;base.ogg;base_256.jpg,,,,,base_conflict,base_light
2,goodtek,"{""en"":""GOODTEK (Arcaea Edit)""}",en,EBIMAYO,190,190,0,base,1.0,1487980809,4,0;1;2;3,PST;PRS;FTR;BYD,True,dl_goodtek,dl_,5,0,,4,1080_3.jpg;1080_3_256.jpg;1080_base.jpg;1080_base_256.jpg,1080_3.jpg;1080_3_256.jpg;1080_base.jpg;1080_base_256.jpg;preview.ogg,True,,,,base_light,base_conflict
3,viyella,"{""en"":""cry of viyella""}",en,Laur,75 - 180,180,1,core,1.0,1487980811,3,0;1;2,PST;PRS;FTR,True,dl_viyella,dl_,3,0,,2,1080_base.jpg;1080_base_256.jpg,1080_base.jpg;1080_base_256.jpg;preview.ogg,True,,,,base_conflict,base_light
4,rise,"{""en"":""Rise""}",en,Combatplayer,140,140,0,base,1.0,1487980803,3,0;1;2,PST;PRS;FTR,True,rise,exact,6,3,0.aff;1.aff;2.aff,2,1080_base.jpg;1080_base_256.jpg,0.aff;1.aff;1080_base.jpg;1080_base_256.jpg;2.aff;base.ogg,,,,,base_light,base_conflict
5,lucifer,"{""en"":""Lucifer""}",en,chitose,165,165,1,base,1.0,1487980804,3,0;1;2,PST;PRS;FTR,True,dl_lucifer,dl_,3,0,,2,base.jpg;base_256.jpg,base.jpg;base_256.jpg;preview.ogg,True,,,,base_conflict,base_light
6,fairytale,"{""en"":""Fairytale""}",en,chitose,189,189,0,base,1.0,1487980801,4,0;1;2;3,PST;PRS;FTR;BYD,True,fairytale,exact,8,3,0.aff;1.aff;2.aff,4,1080_3.jpg;1080_3_256.jpg;1080_base.jpg;1080_base_256.jpg,0.aff;1.aff;1080_3.jpg;1080_3_256.jpg;1080_base.jpg;1080_base_256.jpg;2.aff;base.ogg,,,,,base_light,base_conflict
7,hearditsaid,"{""en"":""I've heard it said""}",en,Combatplayer,165,165,0,core,1.0,1487980812,3,0;1;2,PST;PRS;FTR,True,dl_hearditsaid,dl_,3,0,,2,1080_base.jpg;1080_base_256.jpg,1080_base.jpg;1080_base_256.jpg;preview.ogg,True,,,,base_light,base_conflict
8,babaroque,"{""en"":""Babaroque""}",en,cYsmix,136,136,0,base,1.0,1487980807,3,0;1;2,PST;PRS;FTR,True,dl_babaroque,dl_,3,0,,2,1080_base.jpg;1080_base_256.jpg,1080_base.jpg;1080_base_256.jpg;preview.ogg,True,,,,base_light,base_conflict
9,memoryfactory,"{""en"":""memoryfactory.lzh""}",en,Frums,100,180,0,core,1.0,1487980813,3,0;1;2,PST;PRS;FTR,True,dl_memoryfactory,dl_,3,0,,2,1080_base.jpg;1080_base_256.jpg,1080_base.jpg;1080_base_256.jpg;preview.ogg,True,,,,base_light,base_conflict
