songId,relatedSongId,songIdx,title,artist,caseType,difficulty,displayLevel,rawRating,rawRatingPlus,evidence,externalReference,confidence
lostcivilization,,1,en=Lost Civilization,Laur vs CK,difficulty-specific-jacket,BYD,9+,9,True,assets/songs/songlist:jacketOverride=true; assets/songs/lostcivilization/difficulties,,Confirmed
goodtek,,2,en=GOODTEK (Arcaea Edit),EBIMAYO,difficulty-specific-jacket,BYD,9+,9,True,assets/songs/songlist:jacketOverride=true; assets/songs/goodtek/difficulties,,Confirmed
fairytale,,6,en=Fairytale,chitose,difficulty-specific-jacket,BYD,9,9,,assets/songs/songlist:jacketOverride=true; assets/songs/fairytale/difficulties,,Confirmed
shadesoflight,,12,en=Shades of Light in a Transcendent Realm,ak+q,difficulty-specific-jacket,BYD,9,9,,assets/songs/songlist:jacketOverride=true; assets/songs/shadesoflight/difficulties,,Confirmed
vexaria,,13,en=Vexaria,ak+q,difficulty-specific-jacket,BYD,9,9,,assets/songs/songlist:jacketOverride=true; assets/songs/vexaria/difficulties,,Confirmed
qualia,,15,en=qualia -ideaesthesia-,nitro,difficulty-specific-jacket,BYD,9+,9,True,assets/songs/songlist:jacketOverride=true; assets/songs/qualia/difficulties,,Confirmed
pragmatism,,16,en=PRAGMATISM,Laur,difficulty-specific-title,BYD,11,11,,assets/songs/songlist:title_localized; assets/songs/pragmatism/difficulties,,Confirmed
pragmatism,,16,en=PRAGMATISM,Laur,difficulty-specific-audio,BYD,11,11,,assets/songs/songlist:audioOverride=true; assets/songs/pragmatism/difficulties,,Confirmed
pragmatism,,16,en=PRAGMATISM,Laur,difficulty-specific-jacket,BYD,11,11,,assets/songs/songlist:jacketOverride=true; assets/songs/pragmatism/difficulties,,Confirmed
lumia,,18,en=Lumia,sky_delta,difficulty-specific-jacket,BYD,9,9,,assets/songs/songlist:jacketOverride=true; assets/songs/lumia/difficulties,,Confirmed
dement,,19,en=Dement ~after legend~,Cosmograph,difficulty-specific-jacket,BYD,9+,9,True,assets/songs/songlist:jacketOverride=true; assets/songs/dement/difficulties,,Confirmed
infinityheaven,,22,en=Infinity Heaven,HyuN,difficulty-specific-jacket,BYD,9,9,,assets/songs/songlist:jacketOverride=true; assets/songs/infinityheaven/difficulties,,Confirmed
partyvinyl,,23,en=Party Vinyl,モリモリあつし,difficulty-specific-jacket,BYD,10,10,,assets/songs/songlist:jacketOverride=true; assets/songs/partyvinyl/difficulties,,Confirmed
kanagawa,,33,en=Kanagawa Cyber Culvert;ja=神奈川電脳暗渠,南ゆに,difficulty-specific-jacket,BYD,9+,9,True,assets/songs/songlist:jacketOverride=true; assets/songs/kanagawa/difficulties,,Confirmed
ignotus,,41,en=Ignotus,ak+q,difficulty-specific-title,BYD,9+,9,True,assets/songs/songlist:title_localized; assets/songs/ignotus/difficulties,,Confirmed
ignotus,,41,en=Ignotus,ak+q,difficulty-specific-audio,BYD,9+,9,True,assets/songs/songlist:audioOverride=true; assets/songs/ignotus/difficulties,,Confirmed
ignotus,,41,en=Ignotus,ak+q,difficulty-specific-jacket,BYD,9+,9,True,assets/songs/songlist:jacketOverride=true; assets/songs/ignotus/difficulties,,Confirmed
ignotus,,41,en=Ignotus,ak+q,difficulty-specific-artist,BYD,9+,9,True,assets/songs/songlist:artist; assets/songs/ignotus/difficulties,,Confirmed
moonheart,,45,en=Moonheart,翡乃イスカ,difficulty-specific-jacket,BYD,9+,9,True,assets/songs/songlist:jacketOverride=true; assets/songs/moonheart/difficulties,,Confirmed
trappola,,52,en=trappola bewitching;ja=妖艶魔女 -trappola bewitching-,gmtn.,difficulty-specific-jacket,BYD,10,10,,assets/songs/songlist:jacketOverride=true; assets/songs/trappola/difficulties,,Confirmed
axiumcrisis,,55,en=Axium Crisis,ak+q,difficulty-specific-title,BYD,11,11,,assets/songs/songlist:title_localized; assets/songs/axiumcrisis/difficulties,,Confirmed
axiumcrisis,,55,en=Axium Crisis,ak+q,difficulty-specific-audio,BYD,11,11,,assets/songs/songlist:audioOverride=true; assets/songs/axiumcrisis/difficulties,,Confirmed
axiumcrisis,,55,en=Axium Crisis,ak+q,difficulty-specific-jacket,BYD,11,11,,assets/songs/songlist:jacketOverride=true; assets/songs/axiumcrisis/difficulties,,Confirmed
axiumcrisis,,55,en=Axium Crisis,ak+q,difficulty-specific-bpm,BYD,11,11,,assets/songs/songlist:bpm/bpm_base; assets/songs/axiumcrisis/difficulties,,Confirmed
axiumcrisis,,55,en=Axium Crisis,ak+q,difficulty-specific-artist,BYD,11,11,,assets/songs/songlist:artist; assets/songs/axiumcrisis/difficulties,,Confirmed
redandblue,,58,en=Red and Blue,Silentroom,difficulty-specific-title,BYD,10,10,,assets/songs/songlist:title_localized; assets/songs/redandblue/difficulties,,Confirmed
redandblue,,58,en=Red and Blue,Silentroom,difficulty-specific-audio,BYD,10,10,,assets/songs/songlist:audioOverride=true; assets/songs/redandblue/difficulties,,Confirmed
redandblue,,58,en=Red and Blue,Silentroom,difficulty-specific-jacket,BYD,10,10,,assets/songs/songlist:jacketOverride=true; assets/songs/redandblue/difficulties,,Confirmed
redandblue,,58,en=Red and Blue,Silentroom,difficulty-specific-bpm,BYD,10,10,,assets/songs/songlist:bpm/bpm_base; assets/songs/redandblue/difficulties,,Confirmed
redandblue,,58,en=Red and Blue,Silentroom,difficulty-specific-artist,BYD,10,10,,assets/songs/songlist:artist; assets/songs/redandblue/difficulties,,Confirmed
singularity,,70,en=Singularity,ETIA.,difficulty-specific-title,BYD,10,10,,assets/songs/songlist:title_localized; assets/songs/singularity/difficulties,,Confirmed
singularity,,70,en=Singularity,ETIA.,difficulty-specific-audio,BYD,10,10,,assets/songs/songlist:audioOverride=true; assets/songs/singularity/difficulties,,Confirmed
singularity,,70,en=Singularity,ETIA.,difficulty-specific-jacket,BYD,10,10,,assets/songs/songlist:jacketOverride=true; assets/songs/singularity/difficulties,,Confirmed
singularity,,70,en=Singularity,ETIA.,difficulty-specific-artist,BYD,10,10,,assets/songs/songlist:artist; assets/songs/singularity/difficulties,,Confirmed
nexttoyou,,73,en=next to you,uma feat. 橘花音,difficulty-specific-jacket,BYD,9,9,,assets/songs/songlist:jacketOverride=true; assets/songs/nexttoyou/difficulties,,Confirmed
bethere,,78,en=Be There,PSYQUI,difficulty-specific-jacket,BYD,10,10,,assets/songs/songlist:jacketOverride=true; assets/songs/bethere/difficulties,,Confirmed
cyberneciacatharsis,,79,en=Cybernecia Catharsis,Tanchiky,difficulty-specific-jacket,BYD,9+,9,True,assets/songs/songlist:jacketOverride=true; assets/songs/cyberneciacatharsis/difficulties,,Confirmed
inkarusi,,81,en=inkar-usi,DIA,difficulty-specific-jacket,BYD,9,9,,assets/songs/songlist:jacketOverride=true; assets/songs/inkarusi/difficulties,,Confirmed
bookmaker,,89,en=Bookmaker (2D Version),Kobaryo,difficulty-specific-jacket,BYD,10,10,,assets/songs/songlist:jacketOverride=true; assets/songs/bookmaker/difficulties,,Confirmed
dropdead,,91,en=dropdead,Frums,difficulty-specific-title,BYD,10,10,,assets/songs/songlist:title_localized; assets/songs/dropdead/difficulties,,Confirmed
dropdead,,91,en=dropdead,Frums,difficulty-specific-audio,BYD,10,10,,assets/songs/songlist:audioOverride=true; assets/songs/dropdead/difficulties,,Confirmed
dropdead,,91,en=dropdead,Frums,difficulty-specific-jacket,BYD,10,10,,assets/songs/songlist:jacketOverride=true; assets/songs/dropdead/difficulties,,Confirmed
dropdead,,91,en=dropdead,Frums,difficulty-specific-bpm,BYD,10,10,,assets/songs/songlist:bpm/bpm_base; assets/songs/dropdead/difficulties,,Confirmed
dropdead,,91,en=dropdead,Frums,difficulty-specific-artist,BYD,10,10,,assets/songs/songlist:artist; assets/songs/dropdead/difficulties,,Confirmed
