status,path,olderType,newerType,olderSha256,newerSha256
added,assets/img/course/banner/online_banner_2026_09.png,,PNG,,e5f66c2ce689d75af4cebdbffc38bc60d60cb98dec4352facd21d53837eec5b5
added,assets/img/world/k/world-deco.png,,PNG,,ebc24132d3e36738b318e920b3df7e62070d8b6f18dc001cc9f06fcaa03df344
added,assets/img/world/k/world-infinity-swirl.png,,PNG,,0a564fb9d4e1890eeae887110471be912df028fd50457e06ec1f7a3ac771d2cd
added,assets/img/world/k/world-infinity.png,,PNG,,37488cd7adfe05348758424fd53c14e0335b3bb23ad86e37fb2c4d4d35a63a5c
added,play-services-games-v2.properties,,Text-like,,d127d53600b29d0a33f6b119267b2995ac38bafbfe886fa39b4274a986ad936b
removed,META-INF/CERT.RSA,Binary,,884b3172e1d844a9b8ab92c60fbe26b1c774fc9e54013570b60ab1db456b3ebf,
removed,META-INF/CERT.SF,Text-like,,8c292df8e5f532f12200fac954a4df725578244a1986230b3bd5893d1770fc7e,
removed,META-INF/MANIFEST.MF,Text-like,,ca65d9f3e5bd0aa72e82fb6d7f6e4415ccfe757f22ceca31b914b60efd67d8ea,
removed,play-services-drive.properties,Text-like,,ddd035f6afd4e58ef0f51e9f85bc136bd9f70934a49e9b9ba2895c6518286593,
removed,play-services-games.properties,Text-like,,f5d06cc6424402a98dcc97ab04b471fa328a65f14f1569a89b4814321228d7ad,
removed,res/color-v21/abc_btn_colored_borderless_text_material.xml,AndroidBinaryXML,,181f8c96d3efc99fd789440dc8c939a747723fc36f451168bcb77cc900dfde88,
removed,res/color/abc_btn_colored_text_material.xml,AndroidBinaryXML,,60e62f4c24e1a6b9f7935f3b54a4cb872639d63623fd8a64c8a84163019a8c99,
removed,res/color/abc_tint_btn_checkable.xml,AndroidBinaryXML,,18afdac4ea9bba8acde885167577f2eb3fde82515b3d1f92c5ed3e42479ace16,
removed,res/color/abc_tint_default.xml,AndroidBinaryXML,,8a3e829a2ae3f7228706b3628f6b838fa253a18edee7ff151ea42784510521a4,
removed,res/color/abc_tint_edittext.xml,AndroidBinaryXML,,7bfe85b2210311e294c25b615391979b396a027ee3ab28cd5f383ec9272a2109,
removed,res/color/abc_tint_seek_thumb.xml,AndroidBinaryXML,,a320d54a018a2ef72793efb6e2259d06270ea9238ad56a1a270e8d930fe70204,
removed,res/color/abc_tint_spinner.xml,AndroidBinaryXML,,b9de545f097996b6abf331a8e1b25da31fbe15f46018a9b2285f6025bdbcc076,
removed,res/color/abc_tint_switch_track.xml,AndroidBinaryXML,,a584ddcaa2220257e44252de26546d135cf785f7092f6419ac20b14c17899c35,
