assetPath,basename,assetRole,width,height,format,evidence,confidence,publicArchiveSuitability
assets/img/world/0_b.jpg,0_b,world-map-background-candidate,1280,960,JPEG,assets/img/world/0_b.jpg,Medium,Low
assets/img/world/0_d.png,0_d,world-map-decoration-candidate,543,545,PNG,assets/img/world/0_d.png,Medium,Low
assets/img/world/0_t.png,0_t,world-map-tile-candidate,318,167,PNG,assets/img/world/0_t.png,Medium,Low
assets/img/world/1001_b.jpg,1001_b,world-map-background-candidate,2048,2048,JPEG,assets/img/world/1001_b.jpg,Medium,Low
assets/img/world/1001_d.png,1001_d,world-map-decoration-candidate,543,545,PNG,assets/img/world/1001_d.png,Medium,Low
assets/img/world/1001_t.png,1001_t,world-map-tile-candidate,318,167,PNG,assets/img/world/1001_t.png,Medium,Low
assets/img/world/1080/0.jpg,0,world-mode-main-art-or-ui,1920,2297,JPEG,assets/img/world/1080/0.jpg,High,Medium
assets/img/world/1080/1.jpg,1,world-mode-main-art-or-ui,1920,3072,JPEG,assets/img/world/1080/1.jpg,High,Medium
assets/img/world/1080/10.jpg,10,world-mode-main-art-or-ui,2106,3744,JPEG,assets/img/world/1080/10.jpg,High,Medium
assets/img/world/1080/1001.jpg,1001,world-mode-main-art-or-ui,3072,3072,JPEG,assets/img/world/1080/1001.jpg,High,Medium
assets/img/world/1080/2.jpg,2,world-mode-main-art-or-ui,1920,3072,JPEG,assets/img/world/1080/2.jpg,High,Medium
assets/img/world/1080/2001.jpg,2001,world-mode-main-art-or-ui,2022,3425,JPEG,assets/img/world/1080/2001.jpg,High,Medium
assets/img/world/1080/2002.jpg,2002,world-mode-main-art-or-ui,1920,1440,JPEG,assets/img/world/1080/2002.jpg,High,Medium
assets/img/world/1080/2003.jpg,2003,world-mode-main-art-or-ui,1920,1440,JPEG,assets/img/world/1080/2003.jpg,High,Medium
assets/img/world/1080/3.jpg,3,world-mode-main-art-or-ui,1920,3072,JPEG,assets/img/world/1080/3.jpg,High,Medium
