trackFolder,trackPath,trackKey,sourceIdentityCandidate,identityConfidence,sourceTitle,sourceArtist,indexRaw,artworkRoleCandidate,trackArtworkStatus,IllustrationPath,IllustrationBundle,IllustrationSourceBundlePath,IllustrationObjectPathId,IllustrationObjectName,IllustrationWidth,IllustrationHeight,IllustrationFormat,IllustrationDecodedPixelSha256,IllustrationNormalizedRGBHash,IllustrationReadStatus,IllustrationReadError,IllustrationBlurPath,IllustrationBlurBundle,IllustrationBlurSourceBundlePath,IllustrationBlurObjectPathId,IllustrationBlurObjectName,IllustrationBlurWidth,IllustrationBlurHeight,IllustrationBlurFormat,IllustrationBlurDecodedPixelSha256,IllustrationBlurNormalizedRGBHash,IllustrationBlurReadStatus,IllustrationBlurReadError,IllustrationLowResPath,IllustrationLowResBundle,IllustrationLowResSourceBundlePath,IllustrationLowResObjectPathId,IllustrationLowResObjectName,IllustrationLowResWidth,IllustrationLowResHeight,IllustrationLowResFormat,IllustrationLowResDecodedPixelSha256,IllustrationLowResNormalizedRGBHash,IllustrationLowResReadStatus,IllustrationLowResReadError,musicKey,chartEZKey,chartEZStatus,chartEZErrorVariant,chartHDKey,chartHDStatus,chartHDErrorVariant,chartINKey,chartINStatus,chartINErrorVariant,chartATKey,chartATStatus,chartATErrorVariant,chartLegacyKey,chartLegacyStatus,chartLegacyErrorVariant,specialEvidence
000AinSophAur.Yumeji.0,Assets/Tracks/000AinSophAur.Yumeji.0/,Assets/Tracks/000AinSophAur.Yumeji.0/Illustration.jpg,phigros:trackpath=Assets/Tracks/000AinSophAur.Yumeji.0/,medium,000AinSophAur,Yumeji,0,regular-track,current-primary-illustration,Assets/Tracks/000AinSophAur.Yumeji.0/Illustration.jpg,102662f35eb0cf69a35cae34bdeb4689.bundle,assets/aa/Android/102662f35eb0cf69a35cae34bdeb4689.bundle,3060292038631149458,Illustration,2048,1080,Texture2D-decoded-RGB,7bccecb9309b704d7ad32427364418e4b777ae72e2c0d68a4abb02f13fa60497,7a826308893f4a45ad21972fc7d8a161acc55236748f6e322ad60205b3bbbe78,read,,Assets/Tracks/000AinSophAur.Yumeji.0/IllustrationBlur.jpg,d47ddc5d655b199cbff96d6222779fc1.bundle,assets/aa/Android/d47ddc5d655b199cbff96d6222779fc1.bundle,4697707147815448820,IllustrationBlur,256,135,Texture2D-decoded-RGB,2a2ddf734e65b414f12e9dd97b7824a8ec32a7e771ba4b8684444d6305a3195c,39e9c3fa85de35156c4469c7590cd500220192156b712804fb31d4fb6a4b8de5,read,,Assets/Tracks/000AinSophAur.Yumeji.0/IllustrationLowRes.jpg,41a28724ab6175afc9e16ee81555e9da.bundle,assets/aa/Android/41a28724ab6175afc9e16ee81555e9da.bundle,1388085658656234431,IllustrationLowRes,512,270,Texture2D-decoded-RGB,719fa5f8718f08225d738370793090ffbbfd946df05a7de5cbf9e216802ee3e3,84181f2c35ddba81aa653574e5d65f1584e9e7e4d5ccbc4d4a45d48715f3780b,read,,Assets/Tracks/000AinSophAur.Yumeji.0/music.wav,Assets/Tracks/000AinSophAur.Yumeji.0/Chart_EZ.json,structurally-nonempty,,Assets/Tracks/000AinSophAur.Yumeji.0/Chart_HD.json,structurally-nonempty,,Assets/Tracks/000AinSophAur.Yumeji.0/Chart_IN.json,structurally-nonempty,,,absent,,,absent,,
70MinutesFighters.かたぎり.0,Assets/Tracks/70MinutesFighters.かたぎり.0/,Assets/Tracks/70MinutesFighters.かたぎり.0/Illustration.jpg,phigros:trackpath=Assets/Tracks/70MinutesFighters.かたぎり.0/,medium,70MinutesFighters,かたぎり,0,regular-track,current-primary-illustration,Assets/Tracks/70MinutesFighters.かたぎり.0/Illustration.jpg,2e50d842d91feb0bc86fe8351099af84.bundle,assets/aa/Android/2e50d842d91feb0bc86fe8351099af84.bundle,8708905999097440313,Illustration,2048,1080,Texture2D-decoded-RGB,c5c53d158113177d6ecd84c13ca56f456808c09e51d33cccbdb7af487d942d33,0f66e34510b38557dd44bf4c069f76cb334f36c9b6e0adaeb3ee9ee42b68e24a,read,,Assets/Tracks/70MinutesFighters.かたぎり.0/IllustrationBlur.jpg,99bf1fc4061d3a331b98a6cae30f56ff.bundle,assets/aa/Android/99bf1fc4061d3a331b98a6cae30f56ff.bundle,5787063204916229808,IllustrationBlur,256,135,Texture2D-decoded-RGB,a4dc08870fd164591e8e716660a5f42ccfa3adf31f9923db1e06f377eefa1894,5f0f337f87265f39c7e6e2ceaaa4d9196e7f8d3960a06f933b0477b958552f6d,read,,Assets/Tracks/70MinutesFighters.かたぎり.0/IllustrationLowRes.jpg,381d29fcaeb3d80099b9cbbc1f93426a.bundle,assets/aa/Android/381d29fcaeb3d80099b9cbbc1f93426a.bundle,-5159788463007205038,IllustrationLowRes,512,270,Texture2D-decoded-RGB,043ae8737cd5bb6683f1b18c2739fad4660633997182876ae62610f0bbf62e52,cfde95eb38d2c2bf2f47a64492d5d7afa0b8e6d012a72f1fba1396d7e8c0a818,read,,Assets/Tracks/70MinutesFighters.かたぎり.0/music.wav,Assets/Tracks/70MinutesFighters.かたぎり.0/Chart_EZ.json,structurally-nonempty,,Assets/Tracks/70MinutesFighters.かたぎり.0/Chart_HD.json,structurally-nonempty,,Assets/Tracks/70MinutesFighters.かたぎり.0/Chart_IN.json,structurally-nonempty,,,absent,,,absent,,
996.李化禹.0,Assets/Tracks/996.李化禹.0/,Assets/Tracks/996.李化禹.0/Illustration.jpg,phigros:trackpath=Assets/Tracks/996.李化禹.0/,medium,996,李化禹,0,regular-track,current-primary-illustration,Assets/Tracks/996.李化禹.0/Illustration.jpg,d253958b1c2168161944b89dfa393cc3.bundle,assets/aa/Android/d253958b1c2168161944b89dfa393cc3.bundle,6382919935700009084,Illustration,2048,1080,Texture2D-decoded-RGB,5ef49438bd4b7adc28e3a7a35e51e82c5493949a4bc04cbbf71e14f5264eb5d6,aff148a2603307e94849c66d4e61dbbe209a07183868fb81eb69480aa061ebaf,read,,Assets/Tracks/996.李化禹.0/IllustrationBlur.jpg,8bedc5379a8358dc4c22777fd70c88ce.bundle,assets/aa/Android/8bedc5379a8358dc4c22777fd70c88ce.bundle,2397501575286660319,IllustrationBlur,256,135,Texture2D-decoded-RGB,231223d54ec53933d7295db76bafe397c92f6f22c756ac7c937bac061611dddf,987a67082b93907e7837a6316fb82c2e72b3e9b359ae1706bacb81e921eabdb3,read,,Assets/Tracks/996.李化禹.0/IllustrationLowRes.jpg,524d007fbdbcd4c038bb8b408c6bf34f.bundle,assets/aa/Android/524d007fbdbcd4c038bb8b408c6bf34f.bundle,8038964378279647322,IllustrationLowRes,512,270,Texture2D-decoded-RGB,a07031d7929194293a254047d09f09fbdd25796edc337d1b96622eb50333b59f,057eb5deebaf8799c03cb0fcce11c0e522365535e6272455d07d501cf2df986d,read,,Assets/Tracks/996.李化禹.0/music.wav,Assets/Tracks/996.李化禹.0/Chart_EZ.json,structurally-nonempty,,Assets/Tracks/996.李化禹.0/Chart_HD.json,structurally-nonempty,,Assets/Tracks/996.李化禹.0/Chart_IN.json,structurally-nonempty,,,absent,,,absent,,
ABYSSMOTION192333.ariiolTSAR奏Sou.0,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/Illustration.jpg,phigros:trackpath=Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/,medium,ABYSSMOTION192333,ariiolTSAR奏Sou,0,regular-track,current-primary-illustration,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/Illustration.jpg,789c302d8caa024619a148aa98dd6b2e.bundle,assets/aa/Android/789c302d8caa024619a148aa98dd6b2e.bundle,9178470304366567924,Illustration,2048,1080,Texture2D-decoded-RGB,9bd2dd2878979f2b445d4f241357baeff51aef04c6a44260c806c07766b04337,3aa1a1b0c6e4da6d856b16cd4763005f8758274c0c1f183a8114d71cc238c448,read,,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/IllustrationBlur.jpg,b227a5c63755627b88b50d31480dcc49.bundle,assets/aa/Android/b227a5c63755627b88b50d31480dcc49.bundle,1476315490376707154,IllustrationBlur,256,135,Texture2D-decoded-RGB,d6fef143e5d27496dbec699cbd798a631d8f8728648dff984ffa5be95b60f536,a99afbeb7bde4824d92e8e5bf9b04dd2b194bc4b47d164a136f64fac50437b64,read,,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/IllustrationLowRes.jpg,af5422e130a7ccd7c2229b8d9163bda4.bundle,assets/aa/Android/af5422e130a7ccd7c2229b8d9163bda4.bundle,8196332106029667916,IllustrationLowRes,512,270,Texture2D-decoded-RGB,0cac1f3e6875b5c79b69b9c75ebe9b6c6356a43805224be16cf5ec5382bb1436,928b407bab4d880cdfb120a033d51f6df0d24bf0adb0b76153a4a4ae70c5b2ff,read,,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/music.wav,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/Chart_EZ.json,structurally-nonempty,,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/Chart_HD.json,structurally-nonempty,,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/Chart_IN.json,structurally-nonempty,,,absent,,,absent,,
ATHAZA.LeaF.0,Assets/Tracks/ATHAZA.LeaF.0/,Assets/Tracks/ATHAZA.LeaF.0/Illustration.jpg,phigros:trackpath=Assets/Tracks/ATHAZA.LeaF.0/,medium,ATHAZA,LeaF,0,regular-track,current-primary-illustration,Assets/Tracks/ATHAZA.LeaF.0/Illustration.jpg,ab63736657b48f816e254bffc8d7ffa2.bundle,assets/aa/Android/ab63736657b48f816e254bffc8d7ffa2.bundle,2926777328354592376,Illustration,2048,1080,Texture2D-decoded-RGB,f6ce2bff90f86f2a4ea60336499dfbd14678e10265904cfe98f2573c12c72a7f,a19d62f4239f10ac01d1bbb290e7d0922b8154e2cecbc4cc00d1b17812efc3c9,read,,Assets/Tracks/ATHAZA.LeaF.0/IllustrationBlur.jpg,fb3058a69f53c7ffcb197498366a9220.bundle,assets/aa/Android/fb3058a69f53c7ffcb197498366a9220.bundle,7309921737082664819,IllustrationBlur,256,135,Texture2D-decoded-RGB,e77f59b35345954313f8db3e00d72947190465c24a929eb684330ffdb6ed8715,b9588b76b6c715a7d0af4b721bc1c2fa3dc0e79e9b80af18d70b638b9c8cbe67,read,,Assets/Tracks/ATHAZA.LeaF.0/IllustrationLowRes.jpg,cc8955f368181b31025529718326d073.bundle,assets/aa/Android/cc8955f368181b31025529718326d073.bundle,8657015353365615136,IllustrationLowRes,512,270,Texture2D-decoded-RGB,04dab46f65432d6ea647b1db3c7b1ff2240555545ec632bc92ef4c309ad4d21b,e63f4cee00ba2445c79acebe693a91eea3f73f9d1bc6c3438dc19659695ea141,read,,Assets/Tracks/ATHAZA.LeaF.0/music.wav,Assets/Tracks/ATHAZA.LeaF.0/Chart_EZ.json,structurally-nonempty,,Assets/Tracks/ATHAZA.LeaF.0/Chart_HD.json,structurally-nonempty,,Assets/Tracks/ATHAZA.LeaF.0/Chart_IN.json,structurally-nonempty,,Assets/Tracks/ATHAZA.LeaF.0/Chart_AT.json,structurally-nonempty,,,absent,,
AbsoluTedisoRdeR.AcuteDisarray.0,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Illustration.jpg,phigros:trackpath=Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/,medium,AbsoluTedisoRdeR,AcuteDisarray,0,regular-track,current-primary-illustration,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Illustration.jpg,d660dd260e78f03e02c6558f2534108d.bundle,assets/aa/Android/d660dd260e78f03e02c6558f2534108d.bundle,-3064642971710247378,Illustration,2048,1080,Texture2D-decoded-RGB,cb27f9cfb8b545992fe7705fe0d9b703127b5616c4f599156e718391bf0869ee,5e6d016d25b5a7b20dd21c460a0ac0a132731fb022a81117fcf0f1df3c6f764f,read,,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/IllustrationBlur.jpg,42fca7e42c3515e152589dec1ef4da6d.bundle,assets/aa/Android/42fca7e42c3515e152589dec1ef4da6d.bundle,4541302783872707046,IllustrationBlur,256,135,Texture2D-decoded-RGB,904317f708b1d6731d68068b2477ae0396240d8d53debfd8258ace531c66678a,165a2787c3559b29f034ea0fb59d6f8a5d6c6a11948f541ef4f62b27f7edf970,read,,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/IllustrationLowRes.jpg,aa4598448eae475ae6829e3411a14198.bundle,assets/aa/Android/aa4598448eae475ae6829e3411a14198.bundle,-7776418189151942416,IllustrationLowRes,512,270,Texture2D-decoded-RGB,601f743b517b5b27e9951fbe9a514e4dd679deb640137d291c7e8d5e407950db,3dfc5385881065ddc1cb5089678a0c7bba0e1938e91fdce8dde874f2875bac8d,read,,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/music.wav,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Chart_EZ.json,structurally-nonempty,,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Chart_HD.json,structurally-nonempty,,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Chart_IN.json,structurally-nonempty,,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Chart_AT.json,structurally-nonempty,,,absent,,
Adastraperaspera.RabbitHouse.0,Assets/Tracks/Adastraperaspera.RabbitHouse.0/,Assets/Tracks/Adastraperaspera.RabbitHouse.0/Illustration.jpg,phigros:trackpath=Assets/Tracks/Adastraperaspera.RabbitHouse.0/,medium,Adastraperaspera,RabbitHouse,0,regular-track,current-primary-illustration,Assets/Tracks/Adastraperaspera.RabbitHouse.0/Illustration.jpg,a0943b7a57974d1cf711658bae62ca61.bundle,assets/aa/Android/a0943b7a57974d1cf711658bae62ca61.bundle,225624652757653091,Illustration,2048,1080,Texture2D-decoded-RGB,15f39b433ce2513d8fe3081b6945a4e3e215fbe8806e45de0b178222fe53328c,6279d9fea6919646e643f1347f91ab639abc03c6513c788ae53a894ca54bac3d,read,,Assets/Tracks/Adastraperaspera.RabbitHouse.0/IllustrationBlur.jpg,84ad350738ce110d947da227ca665d8e.bundle,assets/aa/Android/84ad350738ce110d947da227ca665d8e.bundle,1461780776603012974,IllustrationBlur,256,135,Texture2D-decoded-RGB,6735bf0dc3eb3f4c7b5fbbfa9df1bf572605c7685c38566a68011eea9452acc8,66db389f23f86b1b788d5296a1d641b322b6ea0ea9be310e51a7e18af207d2b2,read,,Assets/Tracks/Adastraperaspera.RabbitHouse.0/IllustrationLowRes.jpg,9f962c710c8a3a2c48dfec1e920dd0e3.bundle,assets/aa/Android/9f962c710c8a3a2c48dfec1e920dd0e3.bundle,4657116163819062580,IllustrationLowRes,512,270,Texture2D-decoded-RGB,4475218ab496c810793cb8126b39f9f3f86f07c97fc3285f4713d7b3242eeff4,f3b72aa2cf5c54cb6a2dc139a8245d8eb0a04761be4eae3f8981cab752bd5dc3,read,,Assets/Tracks/Adastraperaspera.RabbitHouse.0/music.wav,Assets/Tracks/Adastraperaspera.RabbitHouse.0/Chart_EZ.json,structurally-nonempty,,Assets/Tracks/Adastraperaspera.RabbitHouse.0/Chart_HD.json,structurally-nonempty,,Assets/Tracks/Adastraperaspera.RabbitHouse.0/Chart_IN.json,structurally-nonempty,,,absent,,,absent,,
AfterDawn.S9ryne.0,Assets/Tracks/AfterDawn.S9ryne.0/,Assets/Tracks/AfterDawn.S9ryne.0/Illustration.jpg,phigros:trackpath=Assets/Tracks/AfterDawn.S9ryne.0/,medium,AfterDawn,S9ryne,0,regular-track,current-primary-illustration,Assets/Tracks/AfterDawn.S9ryne.0/Illustration.jpg,8ca18230647ba3b86d4f2b17c6845acb.bundle,assets/aa/Android/8ca18230647ba3b86d4f2b17c6845acb.bundle,-2894091992602094639,Illustration,2048,1080,Texture2D-decoded-RGB,bdfed3d2d98d2fe1e54c016ffde238e6e3e7e8823d79db1bc6d4caba9c4ad397,246cb08fa38396dddfef7bc0a727ca3c443e2a83f0b7c55c5be560bd967e48c9,read,,Assets/Tracks/AfterDawn.S9ryne.0/IllustrationBlur.jpg,2cd46fe78faa26042b68daab8d9f2fc3.bundle,assets/aa/Android/2cd46fe78faa26042b68daab8d9f2fc3.bundle,5944923887650969706,IllustrationBlur,256,135,Texture2D-decoded-RGB,777bf4aae74ea126f894840efa4ea1adb2c693279f9b920d491ea5fd43b06f69,cd06ee90067240fef358e4d768697ded1b96389c3e84c0bdf82432e5efe756b9,read,,Assets/Tracks/AfterDawn.S9ryne.0/IllustrationLowRes.jpg,fd945a7214e086a2bdfe6f1fdaa7ea2b.bundle,assets/aa/Android/fd945a7214e086a2bdfe6f1fdaa7ea2b.bundle,-266640219540492336,IllustrationLowRes,512,270,Texture2D-decoded-RGB,cb4ceb800a3de7510110a7d361a310c2543c4bff236a75324feaca56ef3750d6,99ea4144a89c2f562cec47c9e2734aea6999c902be6e616a038a6f4e96b48392,read,,Assets/Tracks/AfterDawn.S9ryne.0/music.wav,Assets/Tracks/AfterDawn.S9ryne.0/Chart_EZ.json,structurally-nonempty,,Assets/Tracks/AfterDawn.S9ryne.0/Chart_HD.json,structurally-nonempty,,Assets/Tracks/AfterDawn.S9ryne.0/Chart_IN.json,structurally-nonempty,,,absent,,,absent,,
AfterZABANIYAMUGEdit.Daily天利.0,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/Illustration.jpg,phigros:trackpath=Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/,medium,AfterZABANIYAMUGEdit,Daily天利,0,regular-track,current-primary-illustration,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/Illustration.jpg,96b69a9ba9178b6aba8c1a69368703cb.bundle,assets/aa/Android/96b69a9ba9178b6aba8c1a69368703cb.bundle,-3148979789451952476,Illustration,2048,1080,Texture2D-decoded-RGB,9ff73c51bb7fe113965cb05dab17ced265eca1b1788c8cf5133764da47a55807,6f02924063c5f4dc37af146d2ece60df2fd2d1635aa12f783d446028b30f11e6,read,,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/IllustrationBlur.jpg,0e8bcf7c745cb96f7d4bded261b7d812.bundle,assets/aa/Android/0e8bcf7c745cb96f7d4bded261b7d812.bundle,1065150478320106640,IllustrationBlur,256,135,Texture2D-decoded-RGB,50bcab5d14d0e058d7bb2cde490b9195e472a9f139e0486236f95b1745720254,09dd1d0458b3e07e67cfb834fa114bab336f4b939fad1e85ddd08ef488b992e4,read,,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/IllustrationLowRes.jpg,7c8f8947372953764defe7647236de1e.bundle,assets/aa/Android/7c8f8947372953764defe7647236de1e.bundle,-1288106503848169114,IllustrationLowRes,512,270,Texture2D-decoded-RGB,ee5d2dc9601f552616a0ff8a68986504bceb7ed2b98875ecca9b36d74efed974,2f7c7d3e465e9b80703210c2a4168d688120d4a214f48c2322080122f9c57a45,read,,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/music.wav,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/Chart_EZ.json,structurally-nonempty,,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/Chart_HD.json,structurally-nonempty,,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/Chart_IN.json,structurally-nonempty,,,absent,,,absent,,
Ajourneytothemoonlight.Yesod.0,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/Illustration.jpg,phigros:trackpath=Assets/Tracks/Ajourneytothemoonlight.Yesod.0/,medium,Ajourneytothemoonlight,Yesod,0,regular-track,current-primary-illustration,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/Illustration.jpg,a063a1ed43d53682af0d3c0adfc7b22a.bundle,assets/aa/Android/a063a1ed43d53682af0d3c0adfc7b22a.bundle,1713733735220957363,Illustration,2048,1080,Texture2D-decoded-RGB,3b81810d39b8a42d4c324654ed52d6d813749462cfbad6b60a65eccb0080c9d4,19c21d047bd7cb86a9c6eb5753d8a6524e21d5f65494e2e5fcb2a04c29744bca,read,,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/IllustrationBlur.jpg,7f25b1e333e85baf344c866358cc5f5f.bundle,assets/aa/Android/7f25b1e333e85baf344c866358cc5f5f.bundle,7616351468337162235,IllustrationBlur,256,135,Texture2D-decoded-RGB,d46815aa8ed9b946a18abee344fcf4b56dd4d22df7cdbd7fa411bb15afe051ad,b4ded590cbbc813460e542beaab589840f7b94d42d536070acd37bc32e183303,read,,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/IllustrationLowRes.jpg,328232321b66ea747b9cd1f16816bca9.bundle,assets/aa/Android/328232321b66ea747b9cd1f16816bca9.bundle,9142300418769341634,IllustrationLowRes,512,270,Texture2D-decoded-RGB,c8376e8d61ff57d2c0184ada40d256ead02bbd82daf198dcc419af9081686c30,ceb61c8b335fb81cbd5a1e7f9f34737426695a6d1860c50957ee5b68ae06ea27,read,,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/music.wav,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/Chart_EZ.json,structurally-nonempty,,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/Chart_HD.json,structurally-nonempty,,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/Chart_IN.json,structurally-nonempty,,,absent,,,absent,,
