trackFolder,trackPath,trackKey,sourceTitle,sourceArtist,IllustrationPath,IllustrationSourceBundlePath,coverageStatus,catalogResourceIds,catalogMatchStatuses,canonicalResourceId,evidence
000AinSophAur.Yumeji.0,Assets/Tracks/000AinSophAur.Yumeji.0/,Assets/Tracks/000AinSophAur.Yumeji.0/Illustration.jpg,000AinSophAur,Yumeji,Assets/Tracks/000AinSophAur.Yumeji.0/Illustration.jpg,assets/aa/Android/102662f35eb0cf69a35cae34bdeb4689.bundle,covered,01a00092-9f84-734e-bc57-b2275711f21d,high,01a00092-9f84-734e-bc57-b2275711f21d,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
70MinutesFighters.かたぎり.0,Assets/Tracks/70MinutesFighters.かたぎり.0/,Assets/Tracks/70MinutesFighters.かたぎり.0/Illustration.jpg,70MinutesFighters,かたぎり,Assets/Tracks/70MinutesFighters.かたぎり.0/Illustration.jpg,assets/aa/Android/2e50d842d91feb0bc86fe8351099af84.bundle,covered,01a00092-a089-7b0c-8782-48a06bde5202,confirmed,01a00092-a089-7b0c-8782-48a06bde5202,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
996.李化禹.0,Assets/Tracks/996.李化禹.0/,Assets/Tracks/996.李化禹.0/Illustration.jpg,996,李化禹,Assets/Tracks/996.李化禹.0/Illustration.jpg,assets/aa/Android/d253958b1c2168161944b89dfa393cc3.bundle,covered,01a00092-a155-7398-9b44-ff29c3e5d1c2,high,01a00092-a155-7398-9b44-ff29c3e5d1c2,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
ABYSSMOTION192333.ariiolTSAR奏Sou.0,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/Illustration.jpg,ABYSSMOTION192333,ariiolTSAR奏Sou,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/Illustration.jpg,assets/aa/Android/789c302d8caa024619a148aa98dd6b2e.bundle,covered,01a00092-d28b-72c2-974a-bf901532daec,confirmed,01a00092-d28b-72c2-974a-bf901532daec,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
ATHAZA.LeaF.0,Assets/Tracks/ATHAZA.LeaF.0/,Assets/Tracks/ATHAZA.LeaF.0/Illustration.jpg,ATHAZA,LeaF,Assets/Tracks/ATHAZA.LeaF.0/Illustration.jpg,assets/aa/Android/ab63736657b48f816e254bffc8d7ffa2.bundle,covered,01a00092-e39f-771b-924f-5dd767efbfee,high,01a00092-e39f-771b-924f-5dd767efbfee,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
AbsoluTedisoRdeR.AcuteDisarray.0,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Illustration.jpg,AbsoluTedisoRdeR,AcuteDisarray,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Illustration.jpg,assets/aa/Android/d660dd260e78f03e02c6558f2534108d.bundle,covered,01a00092-d176-7acb-8ac1-0f50e975874e,high,01a00092-d176-7acb-8ac1-0f50e975874e,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Adastraperaspera.RabbitHouse.0,Assets/Tracks/Adastraperaspera.RabbitHouse.0/,Assets/Tracks/Adastraperaspera.RabbitHouse.0/Illustration.jpg,Adastraperaspera,RabbitHouse,Assets/Tracks/Adastraperaspera.RabbitHouse.0/Illustration.jpg,assets/aa/Android/a0943b7a57974d1cf711658bae62ca61.bundle,covered,01a00092-d353-7995-b930-3da487d2c4c8,high,01a00092-d353-7995-b930-3da487d2c4c8,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
AfterDawn.S9ryne.0,Assets/Tracks/AfterDawn.S9ryne.0/,Assets/Tracks/AfterDawn.S9ryne.0/Illustration.jpg,AfterDawn,S9ryne,Assets/Tracks/AfterDawn.S9ryne.0/Illustration.jpg,assets/aa/Android/8ca18230647ba3b86d4f2b17c6845acb.bundle,covered,01a00092-d425-75b0-9dee-717b4b1862f3,high,01a00092-d425-75b0-9dee-717b4b1862f3,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
AfterZABANIYAMUGEdit.Daily天利.0,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/Illustration.jpg,AfterZABANIYAMUGEdit,Daily天利,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/Illustration.jpg,assets/aa/Android/96b69a9ba9178b6aba8c1a69368703cb.bundle,multiple-catalog-matches,01a00092-d514-7c55-b50b-e7e3ceb018df;01a00093-d66f-7392-81e4-88112ff5b43d,confirmed;confirmed,01a00092-d514-7c55-b50b-e7e3ceb018df,current APK primary Illustration slot; candidate Catalog rows=2; strong=2
Ajourneytothemoonlight.Yesod.0,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/Illustration.jpg,Ajourneytothemoonlight,Yesod,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/Illustration.jpg,assets/aa/Android/a063a1ed43d53682af0d3c0adfc7b22a.bundle,covered,01a00092-cfd7-7564-bd17-ff0c30a6444b,high,01a00092-cfd7-7564-bd17-ff0c30a6444b,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Alb.Avans.0,Assets/Tracks/Alb.Avans.0/,Assets/Tracks/Alb.Avans.0/Illustration.jpg,Alb,Avans,Assets/Tracks/Alb.Avans.0/Illustration.jpg,assets/aa/Android/9e8d4066fe96632571ee93d181d75410.bundle,covered,01a00092-d5c2-7819-8d06-d3a4fdc99ecf,confirmed,01a00092-d5c2-7819-8d06-d3a4fdc99ecf,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Aleph0.LeaF.0,Assets/Tracks/Aleph0.LeaF.0/,Assets/Tracks/Aleph0.LeaF.0/Illustration.jpg,Aleph0,LeaF,Assets/Tracks/Aleph0.LeaF.0/Illustration.jpg,assets/aa/Android/8cdad85dedda49abb0c3a1a28762836a.bundle,covered,01a00092-d665-7670-902d-a6d8439da073,high,01a00092-d665-7670-902d-a6d8439da073,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Aliceinaxxxxxxxx.Nagiha.0,Assets/Tracks/Aliceinaxxxxxxxx.Nagiha.0/,Assets/Tracks/Aliceinaxxxxxxxx.Nagiha.0/Illustration.jpg,Aliceinaxxxxxxxx,Nagiha,Assets/Tracks/Aliceinaxxxxxxxx.Nagiha.0/Illustration.jpg,assets/aa/Android/5e3440b767a50ae5e1dda9a2a7db01f9.bundle,covered,01a00092-d766-7893-a791-0559453dfa2d,high,01a00092-d766-7893-a791-0559453dfa2d,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
AnotherMe.DAAN.0,Assets/Tracks/AnotherMe.DAAN.0/,Assets/Tracks/AnotherMe.DAAN.0/Illustration.jpg,AnotherMe,DAAN,Assets/Tracks/AnotherMe.DAAN.0/Illustration.jpg,assets/aa/Android/ace97ec40fc9d210372fe1ede3d8a3b4.bundle,covered,01a00092-d96d-7dfa-8035-9022dcf2aacf,high,01a00092-d96d-7dfa-8035-9022dcf2aacf,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
AnotherMe.NeutralMoon.0,Assets/Tracks/AnotherMe.NeutralMoon.0/,Assets/Tracks/AnotherMe.NeutralMoon.0/Illustration.jpg,AnotherMe,NeutralMoon,Assets/Tracks/AnotherMe.NeutralMoon.0/Illustration.jpg,assets/aa/Android/b4a87dac05de2761ce419c4889c319dc.bundle,covered,01a00092-da30-789c-b84d-f3c01170dfd3,high,01a00092-da30-789c-b84d-f3c01170dfd3,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
AnotherRound.JustinDai.0,Assets/Tracks/AnotherRound.JustinDai.0/,Assets/Tracks/AnotherRound.JustinDai.0/Illustration.jpg,AnotherRound,JustinDai,Assets/Tracks/AnotherRound.JustinDai.0/Illustration.jpg,assets/aa/Android/e49b9bb337811d114264f4e1551d1ec2.bundle,covered,01a00092-dafc-79e5-b05c-3b094e4868ee,high,01a00092-dafc-79e5-b05c-3b094e4868ee,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Antithese.Blacklolita.0,Assets/Tracks/Antithese.Blacklolita.0/,Assets/Tracks/Antithese.Blacklolita.0/Illustration.jpg,Antithese,Blacklolita,Assets/Tracks/Antithese.Blacklolita.0/Illustration.jpg,assets/aa/Android/4d4f90a379bbf8f70dfdd4e012aabd0c.bundle,covered,01a00092-dbca-7021-aef6-32e9af38ee5c,high,01a00092-dbca-7021-aef6-32e9af38ee5c,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Aphasia.闫东炜.0,Assets/Tracks/Aphasia.闫东炜.0/,Assets/Tracks/Aphasia.闫东炜.0/Illustration.jpg,Aphasia,闫东炜,Assets/Tracks/Aphasia.闫东炜.0/Illustration.jpg,assets/aa/Android/ca7072c5aaa364e583ae99f4ccd7e716.bundle,covered,01a00092-dc9c-747d-a7da-43aeeef61915,high,01a00092-dc9c-747d-a7da-43aeeef61915,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
AphroditesChildshortver.RUQOA.0,Assets/Tracks/AphroditesChildshortver.RUQOA.0/,Assets/Tracks/AphroditesChildshortver.RUQOA.0/Illustration.jpg,AphroditesChildshortver,RUQOA,Assets/Tracks/AphroditesChildshortver.RUQOA.0/Illustration.jpg,assets/aa/Android/7f411e36908d51d37de6084ee148c6b1.bundle,covered,01a00092-de5c-7434-9ef1-60a2e987c434,confirmed,01a00092-de5c-7434-9ef1-60a2e987c434,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Apocalypse.アリスシャッハと魔法の楽団.0,Assets/Tracks/Apocalypse.アリスシャッハと魔法の楽団.0/,Assets/Tracks/Apocalypse.アリスシャッハと魔法の楽団.0/Illustration.jpg,Apocalypse,アリスシャッハと魔法の楽団,Assets/Tracks/Apocalypse.アリスシャッハと魔法の楽団.0/Illustration.jpg,assets/aa/Android/13e7993578280bcfa75468ef9ebf4841.bundle,covered,01a00092-df0d-72ed-9380-7569f711326e,high,01a00092-df0d-72ed-9380-7569f711326e,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Apocalyptic.ZClaxxSumaiLight.0,Assets/Tracks/Apocalyptic.ZClaxxSumaiLight.0/,Assets/Tracks/Apocalyptic.ZClaxxSumaiLight.0/Illustration.jpg,Apocalyptic,ZClaxxSumaiLight,Assets/Tracks/Apocalyptic.ZClaxxSumaiLight.0/Illustration.jpg,assets/aa/Android/c8c93dd0f5670cbdacd7cf344c651a1d.bundle,covered,01a00092-dffc-77c5-bff2-f75bdcffaf02,high,01a00092-dffc-77c5-bff2-f75bdcffaf02,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Archidoxen.Se_IRA.0,Assets/Tracks/Archidoxen.Se_IRA.0/,Assets/Tracks/Archidoxen.Se_IRA.0/Illustration.jpg,Archidoxen,Se_IRA,Assets/Tracks/Archidoxen.Se_IRA.0/Illustration.jpg,assets/aa/Android/a47a3b2b58673dd993f1f8708df27d30.bundle,covered,01a00092-e0d5-70d3-9155-5e309e786e52,high,01a00092-e0d5-70d3-9155-5e309e786e52,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
