resourceId,resourceType,category,displayTitle,sourceFilename,sourceRelativePath,sourceSha256,sourceFileExists,sourceFileSha256Verified,variantId,variantSemanticStatus,originalRenditionId,originalObjectId,originalSha256,originalMime,originalWidth,originalHeight,matchStatus,matchMethod,confidence,confidenceReason,matchedTrackFolder,matchedTrackPath,matchedTrackKey,sourceTitle,sourceArtist,matchedArtworkPath,matchedSourceBundlePath,pixelMAE,smallPixelMAE,pixelThreshold,decodedPixelEqual,normalizedRGBHashEqual,candidateCount,secondBestMAE,candidateEvidence,semanticStatus,specialType,canonicalCandidate,canonicalReason,evidence
01a00092-9bc3-751e-9684-b4ec35d6d86e,jacket,jacket,-Arkhei-,-Arkhei-.png,Phigros/曲绘/-Arkhei-.png,42d77d4f47a36bb791fa4a1da34d061bede38b250c95cef5e246ecdadbe4202a,true,true,01a00092-9bc3-7315-a4d8-9b9eb682930e,confirmed,01a00092-9bc3-74ab-bdec-115580c74515,sha256:42d77d4f47a36bb791fa4a1da34d061bede38b250c95cef5e246ecdadbe4202a,42d77d4f47a36bb791fa4a1da34d061bede38b250c95cef5e246ecdadbe4202a,image/png,2048,1080,high,decoded-pixel-normalized-mae,high,Unique near-identical decoded image; normalized 128x68 RGB MAE=0.045113 <= 2.0,Arkhei.SeraAmagi.0,Assets/Tracks/Arkhei.SeraAmagi.0/,Assets/Tracks/Arkhei.SeraAmagi.0/Illustration.jpg,Arkhei,SeraAmagi,Assets/Tracks/Arkhei.SeraAmagi.0/Illustration.jpg,assets/aa/Android/386e862c46d0631774d1db062ae7ce28.bundle,0.045113,0.021412,2.0,false,false,313,58.127644,"[{""trackFolder"":""Arkhei.SeraAmagi.0"",""sourceTitle"":""Arkhei"",""sourceArtist"":""SeraAmagi"",""smallMAE"":0.021412,""mediumMAE"":0.045113},{""trackFolder"":""FlutterEcho.Cansol.0"",""sourceTitle"":""FlutterEcho"",""sourceArtist"":""Cansol"",""smallMAE"":54.773727,""mediumMAE"":58.127644},{""trackFolder"":""YouaretheMiserable.tpazolite.0"",""sourceTitle"":""YouaretheMiserable"",""sourceArtist"":""tpazolite"",""smallMAE"":58.725117,""mediumMAE"":63.240349}]",current-track-artwork,,true,preferred jacket/current image mapping with strongest available evidence,"Catalog source=Phigros/曲绘/-Arkhei-.png; sourceSha256=42d77d4f47a36bb791fa4a1da34d061bede38b250c95cef5e246ecdadbe4202a; APK source=assets/aa/Android/386e862c46d0631774d1db062ae7ce28.bundle; trackPath=Assets/Tracks/Arkhei.SeraAmagi.0/; decoded pixel MAE=0.045113; thresholds high<=2.0, medium<=8.0"
01a00092-9c95-7509-a581-b8e93ffe53ef,jacket,jacket,-SURREALISM-,-SURREALISM-.png,Phigros/曲绘/-SURREALISM-.png,2cff6554b949b6fa9ecf08661b42718fa252b2f8af67de7b4e649ee667919458,true,true,01a00092-9c96-76a7-9f16-a35432ab9049,confirmed,01a00092-9c96-7a14-bb43-14c9ca4d21a3,sha256:2cff6554b949b6fa9ecf08661b42718fa252b2f8af67de7b4e649ee667919458,2cff6554b949b6fa9ecf08661b42718fa252b2f8af67de7b4e649ee667919458,image/png,2048,1080,high,decoded-pixel-normalized-mae,high,Unique near-identical decoded image; normalized 128x68 RGB MAE=0.026195 <= 2.0,SURREALISM.Itsuki.0,Assets/Tracks/SURREALISM.Itsuki.0/,Assets/Tracks/SURREALISM.Itsuki.0/Illustration.jpg,SURREALISM,Itsuki,Assets/Tracks/SURREALISM.Itsuki.0/Illustration.jpg,assets/aa/Android/333b3f63fc16504d7969fc05b25f7c5c.bundle,0.026195,0.003472,2.0,false,false,313,77.257355,"[{""trackFolder"":""SURREALISM.Itsuki.0"",""sourceTitle"":""SURREALISM"",""sourceArtist"":""Itsuki"",""smallMAE"":0.003472,""mediumMAE"":0.026195},{""trackFolder"":""InfinityHeaven.HyuN.0"",""sourceTitle"":""InfinityHeaven"",""sourceArtist"":""HyuN"",""smallMAE"":59.002316,""mediumMAE"":77.257355},{""trackFolder"":""青芽.茶鸣拾贰律.0"",""sourceTitle"":""青芽"",""sourceArtist"":""茶鸣拾贰律"",""smallMAE"":59.065971,""mediumMAE"":78.287758}]",current-track-artwork,,true,preferred jacket/current image mapping with strongest available evidence,"Catalog source=Phigros/曲绘/-SURREALISM-.png; sourceSha256=2cff6554b949b6fa9ecf08661b42718fa252b2f8af67de7b4e649ee667919458; APK source=assets/aa/Android/333b3f63fc16504d7969fc05b25f7c5c.bundle; trackPath=Assets/Tracks/SURREALISM.Itsuki.0/; decoded pixel MAE=0.026195; thresholds high<=2.0, medium<=8.0"
01a00092-9d5d-76f9-b6c9-4a80ebf4a936,jacket,jacket,[PRAW],[PRAW].png,Phigros/曲绘/[PRAW].png,055e7b583acd9a4c3a5a933c736fed67c678a197cd82aec94105c8d4f5c664f2,true,true,01a00092-9d5d-7b0d-bda7-b4481573f082,confirmed,01a00092-9d5d-7501-ac62-cd6088364a21,sha256:055e7b583acd9a4c3a5a933c736fed67c678a197cd82aec94105c8d4f5c664f2,055e7b583acd9a4c3a5a933c736fed67c678a197cd82aec94105c8d4f5c664f2,image/png,2048,1080,high,decoded-pixel-normalized-mae,high,Unique near-identical decoded image; normalized 128x68 RGB MAE=0.056487 <= 2.0,PRAW.Bluewind.0,Assets/Tracks/PRAW.Bluewind.0/,Assets/Tracks/PRAW.Bluewind.0/Illustration.jpg,PRAW,Bluewind,Assets/Tracks/PRAW.Bluewind.0/Illustration.jpg,assets/aa/Android/67fff5b738266502b169fa6264874fee.bundle,0.056487,0.026620,2.0,false,false,313,45.640701,"[{""trackFolder"":""PRAW.Bluewind.0"",""sourceTitle"":""PRAW"",""sourceArtist"":""Bluewind"",""smallMAE"":0.02662,""mediumMAE"":0.056487},{""trackFolder"":""彩.MisoilePunch.0"",""sourceTitle"":""彩"",""sourceArtist"":""MisoilePunch"",""smallMAE"":39.814236,""mediumMAE"":45.640701},{""trackFolder"":""AfterDawn.S9ryne.0"",""sourceTitle"":""AfterDawn"",""sourceArtist"":""S9ryne"",""smallMAE"":41.206596,""mediumMAE"":46.934666}]",current-track-artwork,,true,preferred jacket/current image mapping with strongest available evidence,"Catalog source=Phigros/曲绘/[PRAW].png; sourceSha256=055e7b583acd9a4c3a5a933c736fed67c678a197cd82aec94105c8d4f5c664f2; APK source=assets/aa/Android/67fff5b738266502b169fa6264874fee.bundle; trackPath=Assets/Tracks/PRAW.Bluewind.0/; decoded pixel MAE=0.056487; thresholds high<=2.0, medium<=8.0"
01a00092-9e66-70c7-bce0-b4c0a47854b2,jacket,jacket,+ERABY+E CONNEC+10N,+ERABY+E CONNEC+10N.png,Phigros/曲绘/+ERABY+E CONNEC+10N.png,3689739cbc47296240f8ef78832ad44b1211db53aca44097e2fff8727f150d82,true,true,01a00092-9e67-7ec7-9cb3-51c445498155,confirmed,01a00092-9e67-74fc-89ac-84b4624259cd,sha256:3689739cbc47296240f8ef78832ad44b1211db53aca44097e2fff8727f150d82,3689739cbc47296240f8ef78832ad44b1211db53aca44097e2fff8727f150d82,image/png,2048,1080,high,decoded-pixel-normalized-mae,high,Unique near-identical decoded image; normalized 128x68 RGB MAE=0.062730 <= 2.0,ERABYECONNEC10N.かめりあ.0,Assets/Tracks/ERABYECONNEC10N.かめりあ.0/,Assets/Tracks/ERABYECONNEC10N.かめりあ.0/Illustration.jpg,ERABYECONNEC10N,かめりあ,Assets/Tracks/ERABYECONNEC10N.かめりあ.0/Illustration.jpg,assets/aa/Android/154ebc4a3c8a82c27956e6ad693eb2b4.bundle,0.062730,0.027778,2.0,false,false,313,60.610256,"[{""trackFolder"":""ERABYECONNEC10N.かめりあ.0"",""sourceTitle"":""ERABYECONNEC10N"",""sourceArtist"":""かめりあ"",""smallMAE"":0.027778,""mediumMAE"":0.06273},{""trackFolder"":""Bloom.targ麻团qwq.0"",""sourceTitle"":""Bloom"",""sourceArtist"":""targ麻团qwq"",""smallMAE"":52.054977,""mediumMAE"":60.610256},{""trackFolder"":""ATHAZA.LeaF.0"",""sourceTitle"":""ATHAZA"",""sourceArtist"":""LeaF"",""smallMAE"":53.848381,""mediumMAE"":61.712353}]",current-track-artwork,,true,preferred jacket/current image mapping with strongest available evidence,"Catalog source=Phigros/曲绘/+ERABY+E CONNEC+10N.png; sourceSha256=3689739cbc47296240f8ef78832ad44b1211db53aca44097e2fff8727f150d82; APK source=assets/aa/Android/154ebc4a3c8a82c27956e6ad693eb2b4.bundle; trackPath=Assets/Tracks/ERABYECONNEC10N.かめりあ.0/; decoded pixel MAE=0.062730; thresholds high<=2.0, medium<=8.0"
01a00092-9f84-734e-bc57-b2275711f21d,jacket,jacket,000 -Ain Soph Aur-,000 -Ain Soph Aur-.png,Phigros/曲绘/000 -Ain Soph Aur-.png,b6af2a26d880063fbf68e878f821f9ef6063b9569f85cf11ed006bd52977eb7e,true,true,01a00092-9f84-79d2-8eac-80c12bb3aafc,confirmed,01a00092-9f84-7afa-843d-6d5874332f42,sha256:b6af2a26d880063fbf68e878f821f9ef6063b9569f85cf11ed006bd52977eb7e,b6af2a26d880063fbf68e878f821f9ef6063b9569f85cf11ed006bd52977eb7e,image/png,2048,1080,high,decoded-pixel-normalized-mae,high,Unique near-identical decoded image; normalized 128x68 RGB MAE=0.076746 <= 2.0,000AinSophAur.Yumeji.0,Assets/Tracks/000AinSophAur.Yumeji.0/,Assets/Tracks/000AinSophAur.Yumeji.0/Illustration.jpg,000AinSophAur,Yumeji,Assets/Tracks/000AinSophAur.Yumeji.0/Illustration.jpg,assets/aa/Android/102662f35eb0cf69a35cae34bdeb4689.bundle,0.076746,0.039352,2.0,false,false,313,53.711281,"[{""trackFolder"":""000AinSophAur.Yumeji.0"",""sourceTitle"":""000AinSophAur"",""sourceArtist"":""Yumeji"",""smallMAE"":0.039352,""mediumMAE"":0.076746},{""trackFolder"":""ClockParadox.WyvernP.0"",""sourceTitle"":""ClockParadox"",""sourceArtist"":""WyvernP"",""smallMAE"":47.976852,""mediumMAE"":53.800514},{""trackFolder"":""Hydra.JamesLandinoXAkiraComplex.0"",""sourceTitle"":""Hydra"",""sourceArtist"":""JamesLandinoXAkiraComplex"",""smallMAE"":48.292244,""mediumMAE"":53.711281}]",current-track-artwork,,true,preferred jacket/current image mapping with strongest available evidence,"Catalog source=Phigros/曲绘/000 -Ain Soph Aur-.png; sourceSha256=b6af2a26d880063fbf68e878f821f9ef6063b9569f85cf11ed006bd52977eb7e; APK source=assets/aa/Android/102662f35eb0cf69a35cae34bdeb4689.bundle; trackPath=Assets/Tracks/000AinSophAur.Yumeji.0/; decoded pixel MAE=0.076746; thresholds high<=2.0, medium<=8.0"
01a00092-a089-7b0c-8782-48a06bde5202,jacket,jacket,70 Minutes Fighters,70 Minutes Fighters - かたぎり.png,Phigros/曲绘/70 Minutes Fighters - かたぎり.png,8fdb5887710851c3e58245851480272ca54f2016158cf3946f656256ba5d2319,true,true,01a00092-a089-7908-b7f5-067a8f76368f,confirmed,01a00092-a089-7b12-9bc3-bae09b155efc,sha256:8fdb5887710851c3e58245851480272ca54f2016158cf3946f656256ba5d2319,8fdb5887710851c3e58245851480272ca54f2016158cf3946f656256ba5d2319,image/png,2048,1080,confirmed,decoded-pixel-sha256,confirmed,Full decoded RGB pixel SHA-256 equality,70MinutesFighters.かたぎり.0,Assets/Tracks/70MinutesFighters.かたぎり.0/,Assets/Tracks/70MinutesFighters.かたぎり.0/Illustration.jpg,70MinutesFighters,かたぎり,Assets/Tracks/70MinutesFighters.かたぎり.0/Illustration.jpg,assets/aa/Android/2e50d842d91feb0bc86fe8351099af84.bundle,0.000000,0.000000,2.0,true,true,313,48.446537,"[{""trackFolder"":""70MinutesFighters.かたぎり.0"",""sourceTitle"":""70MinutesFighters"",""sourceArtist"":""かたぎり"",""smallMAE"":0.0,""mediumMAE"":0.0},{""trackFolder"":""GOODTEK.EBIMAYO.0"",""sourceTitle"":""GOODTEK"",""sourceArtist"":""EBIMAYO"",""smallMAE"":41.083912,""mediumMAE"":48.446537},{""trackFolder"":""PixelRebelz.Normal1zer.0"",""sourceTitle"":""PixelRebelz"",""sourceArtist"":""Normal1zer"",""smallMAE"":43.635418,""mediumMAE"":49.750767}]",current-track-artwork,,true,preferred jacket/current image mapping with strongest available evidence,"Catalog source=Phigros/曲绘/70 Minutes Fighters - かたぎり.png; sourceSha256=8fdb5887710851c3e58245851480272ca54f2016158cf3946f656256ba5d2319; APK source=assets/aa/Android/2e50d842d91feb0bc86fe8351099af84.bundle; trackPath=Assets/Tracks/70MinutesFighters.かたぎり.0/; decoded pixel MAE=0.000000; thresholds high<=2.0, medium<=8.0"
01a00092-a155-7398-9b44-ff29c3e5d1c2,jacket,jacket,996,996.png,Phigros/曲绘/996.png,d242371154e9cd9df2b7e135b5d53ea89851b28a2cc9221df4edbde692136fa1,true,true,01a00092-a155-7669-872e-3e7e43e40c89,confirmed,01a00092-a155-7d0c-a58e-9a928a5a6946,sha256:d242371154e9cd9df2b7e135b5d53ea89851b28a2cc9221df4edbde692136fa1,d242371154e9cd9df2b7e135b5d53ea89851b28a2cc9221df4edbde692136fa1,image/png,2048,1080,high,decoded-pixel-normalized-mae,high,Unique near-identical decoded image; normalized 128x68 RGB MAE=0.052734 <= 2.0,996.李化禹.0,Assets/Tracks/996.李化禹.0/,Assets/Tracks/996.李化禹.0/Illustration.jpg,996,李化禹,Assets/Tracks/996.李化禹.0/Illustration.jpg,assets/aa/Android/d253958b1c2168161944b89dfa393cc3.bundle,0.052734,0.025463,2.0,false,false,313,60.335438,"[{""trackFolder"":""996.李化禹.0"",""sourceTitle"":""996"",""sourceArtist"":""李化禹"",""smallMAE"":0.025463,""mediumMAE"":0.052734},{""trackFolder"":""GOODTEK.EBIMAYO.0"",""sourceTitle"":""GOODTEK"",""sourceArtist"":""EBIMAYO"",""smallMAE"":52.953705,""mediumMAE"":60.335438},{""trackFolder"":""RetributionCycleofRedemption.ArdolfvsDaily天利.0"",""sourceTitle"":""RetributionCycleofRedemption"",""sourceArtist"":""ArdolfvsDaily天利"",""smallMAE"":54.48727,""mediumMAE"":61.875957}]",current-track-artwork,,true,preferred jacket/current image mapping with strongest available evidence,"Catalog source=Phigros/曲绘/996.png; sourceSha256=d242371154e9cd9df2b7e135b5d53ea89851b28a2cc9221df4edbde692136fa1; APK source=assets/aa/Android/d253958b1c2168161944b89dfa393cc3.bundle; trackPath=Assets/Tracks/996.李化禹.0/; decoded pixel MAE=0.052734; thresholds high<=2.0, medium<=8.0"
01a00092-a248-70a8-a539-df2080545a22,jacket,jacket,暗夜苏醒 (REANIMATE),暗夜苏醒 (REANIMATE).png,Phigros/曲绘/暗夜苏醒 (REANIMATE).png,f98568b41918a1ab113e40df7c8614ff4a630a5ae41ff8a4eaeb89ddda4d4768,true,true,01a00092-a248-7951-9744-ea1a03a24f27,confirmed,01a00092-a248-7b90-8447-82a764ddb9ca,sha256:f98568b41918a1ab113e40df7c8614ff4a630a5ae41ff8a4eaeb89ddda4d4768,f98568b41918a1ab113e40df7c8614ff4a630a5ae41ff8a4eaeb89ddda4d4768,image/png,2048,1080,high,decoded-pixel-normalized-mae,high,Unique near-identical decoded image; normalized 128x68 RGB MAE=0.057636 <= 2.0,暗夜苏醒REANIMATE.Warak.0,Assets/Tracks/暗夜苏醒REANIMATE.Warak.0/,Assets/Tracks/暗夜苏醒REANIMATE.Warak.0/Illustration.jpg,暗夜苏醒REANIMATE,Warak,Assets/Tracks/暗夜苏醒REANIMATE.Warak.0/Illustration.jpg,assets/aa/Android/f87238955b23aadf16ae84b92a8020de.bundle,0.057636,0.023148,2.0,false,false,313,46.309628,"[{""trackFolder"":""暗夜苏醒REANIMATE.Warak.0"",""sourceTitle"":""暗夜苏醒REANIMATE"",""sourceArtist"":""Warak"",""smallMAE"":0.023148,""mediumMAE"":0.057636},{""trackFolder"":""atruthseekerCommunicationwithUtopiawillbelost.kuro.0"",""sourceTitle"":""atruthseekerCommunicationwithUtopiawillbelost"",""sourceArtist"":""kuro"",""smallMAE"":40.945023,""mediumMAE"":46.688648},{""trackFolder"":""重生.姜米條.0"",""sourceTitle"":""重生"",""sourceArtist"":""姜米條"",""smallMAE"":41.539932,""mediumMAE"":46.309628}]",current-track-artwork,,true,preferred jacket/current image mapping with strongest available evidence,"Catalog source=Phigros/曲绘/暗夜苏醒 (REANIMATE).png; sourceSha256=f98568b41918a1ab113e40df7c8614ff4a630a5ae41ff8a4eaeb89ddda4d4768; APK source=assets/aa/Android/f87238955b23aadf16ae84b92a8020de.bundle; trackPath=Assets/Tracks/暗夜苏醒REANIMATE.Warak.0/; decoded pixel MAE=0.057636; thresholds high<=2.0, medium<=8.0"
01a00092-a351-7b98-8d52-4daf6f21b104,jacket,jacket,白と黒のバケモノ,白と黒のバケモノ.png,Phigros/曲绘/白と黒のバケモノ.png,0cfba72bdd0582aad391b62c71a071d191633be3696b3ca692549d71593a5cbe,true,true,01a00092-a351-7586-acde-ffe041664777,confirmed,01a00092-a351-7105-bec4-c2e2722576cb,sha256:0cfba72bdd0582aad391b62c71a071d191633be3696b3ca692549d71593a5cbe,0cfba72bdd0582aad391b62c71a071d191633be3696b3ca692549d71593a5cbe,image/png,2048,1080,high,decoded-pixel-normalized-mae,high,Unique near-identical decoded image; normalized 128x68 RGB MAE=0.049632 <= 2.0,白と黒のバケモノ.テヅカ.0,Assets/Tracks/白と黒のバケモノ.テヅカ.0/,Assets/Tracks/白と黒のバケモノ.テヅカ.0/Illustration.jpg,白と黒のバケモノ,テヅカ,Assets/Tracks/白と黒のバケモノ.テヅカ.0/Illustration.jpg,assets/aa/Android/f0ff19b3c88a22569683774eddcc5fac.bundle,0.049632,0.020833,2.0,false,false,313,51.520451,"[{""trackFolder"":""白と黒のバケモノ.テヅカ.0"",""sourceTitle"":""白と黒のバケモノ"",""sourceArtist"":""テヅカ"",""smallMAE"":0.020833,""mediumMAE"":0.049632},{""trackFolder"":""RetributionCycleofRedemption.ArdolfvsDaily天利.0"",""sourceTitle"":""RetributionCycleofRedemption"",""sourceArtist"":""ArdolfvsDaily天利"",""smallMAE"":43.967594,""mediumMAE"":51.520451},{""trackFolder"":""HAZARD.Limpid.0"",""sourceTitle"":""HAZARD"",""sourceArtist"":""Limpid"",""smallMAE"":47.475117,""mediumMAE"":53.629787}]",current-track-artwork,,true,preferred jacket/current image mapping with strongest available evidence,"Catalog source=Phigros/曲绘/白と黒のバケモノ.png; sourceSha256=0cfba72bdd0582aad391b62c71a071d191633be3696b3ca692549d71593a5cbe; APK source=assets/aa/Android/f0ff19b3c88a22569683774eddcc5fac.bundle; trackPath=Assets/Tracks/白と黒のバケモノ.テヅカ.0/; decoded pixel MAE=0.049632; thresholds high<=2.0, medium<=8.0"
01a00092-a447-75ae-a284-eb9f21207e21,jacket,jacket,百鬼֎夜行,百鬼֎夜行 - Salad Savior.png,Phigros/曲绘/百鬼֎夜行 - Salad Savior.png,99bb0d671533dac4dd9f7fc8abd5e03bb4c95939fc20e9fea90bd2b0e06d614c,true,true,01a00092-a447-7cdf-ae2e-1dff4a7a85aa,confirmed,01a00092-a447-72d7-840d-ae4ee663d125,sha256:99bb0d671533dac4dd9f7fc8abd5e03bb4c95939fc20e9fea90bd2b0e06d614c,99bb0d671533dac4dd9f7fc8abd5e03bb4c95939fc20e9fea90bd2b0e06d614c,image/png,2048,1080,high,decoded-pixel-normalized-mae,high,Unique near-identical decoded image; normalized 128x68 RGB MAE=0.082299 <= 2.0,百鬼夜行.SaladSavior.0,Assets/Tracks/百鬼夜行.SaladSavior.0/,Assets/Tracks/百鬼夜行.SaladSavior.0/Illustration.jpg,百鬼夜行,SaladSavior,Assets/Tracks/百鬼夜行.SaladSavior.0/Illustration.jpg,assets/aa/Android/05f65ae17c69fc8feaf64b97a1373656.bundle,0.082299,0.038194,2.0,false,false,313,45.936314,"[{""trackFolder"":""百鬼夜行.SaladSavior.0"",""sourceTitle"":""百鬼夜行"",""sourceArtist"":""SaladSavior"",""smallMAE"":0.038194,""mediumMAE"":0.082299},{""trackFolder"":""彩.MisoilePunch.0"",""sourceTitle"":""彩"",""sourceArtist"":""MisoilePunch"",""smallMAE"":40.853588,""mediumMAE"":45.936314},{""trackFolder"":""HAZARD.Limpid.0"",""sourceTitle"":""HAZARD"",""sourceArtist"":""Limpid"",""smallMAE"":43.141781,""mediumMAE"":47.677391}]",current-track-artwork,,true,preferred jacket/current image mapping with strongest available evidence,"Catalog source=Phigros/曲绘/百鬼֎夜行 - Salad Savior.png; sourceSha256=99bb0d671533dac4dd9f7fc8abd5e03bb4c95939fc20e9fea90bd2b0e06d614c; APK source=assets/aa/Android/05f65ae17c69fc8feaf64b97a1373656.bundle; trackPath=Assets/Tracks/百鬼夜行.SaladSavior.0/; decoded pixel MAE=0.082299; thresholds high<=2.0, medium<=8.0"
