resourceId,game,resourceType,category,displayTitle,aliases,metadata,externalIdentities,relations,lifecycle,variantId,variantKey,variantKind,variantSemanticStatus,variantMarkers,renditionIds,renditionCount,originalRenditionId,originalObjectId,originalSha256,originalMime,originalSizeBytes,originalWidth,originalHeight,originalObjectKey,originalDownloadFilename,thumbnailRenditionIds,sourceType,sourceRelativePath,sourceFilename,sourceSha256,sourceFilePath,sourceFileExists,sourceFileSha256Verified,provenance,catalogSha256
01a00092-8a0c-7189-a969-e59ebf5dda9d,phigros,pack-cover,pack-cover,闫东炜,"[{""value"":""闫东炜.png"",""kind"":""filename""}]",{},[],[],"{""status"":""published"",""createdAt"":""2026-08-14T13:57:23.100Z"",""updatedAt"":""2026-08-14T13:57:23.100Z"",""publishedAt"":""2026-08-14T13:57:23.100Z""}",01a00092-8a0c-7ae0-8161-dfda007431f1,default,default,confirmed,"{""unresolved"":[]}",01a00092-8a0c-75fc-939c-ad1e7dc46da1;01a00092-8a72-7cf1-b116-851d725de096;01a00092-8a73-79c3-8432-06ace5c4db0a;01a00092-8a74-7776-a689-3631f5e2aa39,4,01a00092-8a0c-75fc-939c-ad1e7dc46da1,sha256:005f796445e21ded285c779d173ca52161eecb075ac6509b32707e5cd2c98165,005f796445e21ded285c779d173ca52161eecb075ac6509b32707e5cd2c98165,image/png,558842,1024,540,objects/005f796445e21ded285c779d173ca52161eecb075ac6509b32707e5cd2c98165/png,闫东炜.png,01a00092-8a72-7cf1-b116-851d725de096;01a00092-8a73-79c3-8432-06ace5c4db0a;01a00092-8a74-7776-a689-3631f5e2aa39,legacy,Phigros/曲包封面/闫东炜.png,闫东炜.png,005f796445e21ded285c779d173ca52161eecb075ac6509b32707e5cd2c98165,E:\曲绘\Phigros\曲包封面\闫东炜.png,true,true,"[{""sourceType"":""legacy"",""sourceSnapshot"":""legacy:ca7d82be31cc02eac817e27b54c81765ffe476d651503ae39d8054d95fc920f9"",""sourceRelativePath"":""Phigros/曲包封面/闫东炜.png"",""sourceFilename"":""闫东炜.png"",""sourceSha256"":""005f796445e21ded285c779d173ca52161eecb075ac6509b32707e5cd2c98165"",""evidence"":[{""kind"":""source-path"",""detail"":""Legacy migration source: Phigros/曲包封面/闫东炜.png"",""confidence"":""high""},{""kind"":""sha256"",""detail"":""SHA-256 calculated locally"",""confidence"":""high""}]}]",a5733ec270d4871fb1de5102e6576a91785594fc721c90d0238ea9a6e2301dc4
01a00092-8a76-7e1f-b8d4-cbe0f3025cb6,phigros,pack-cover,pack-cover,AllSong,"[{""value"":""AllSong.png"",""kind"":""filename""}]",{},[],[],"{""status"":""published"",""createdAt"":""2026-08-14T13:57:23.100Z"",""updatedAt"":""2026-08-14T13:57:23.100Z"",""publishedAt"":""2026-08-14T13:57:23.100Z""}",01a00092-8a76-7f05-8e54-efdc5c3832e1,default,default,confirmed,"{""unresolved"":[]}",01a00092-8a76-77fd-918a-d0da86c85ae1;01a00092-8ada-7c53-867a-5be72c5e1ea4;01a00092-8adb-74a2-89d1-5e8a1a2d6a4f;01a00092-8adc-7bf3-aba1-28b6a04dcaff,4,01a00092-8a76-77fd-918a-d0da86c85ae1,sha256:df0caa611251ba0b0d2cbcb3d67e172209054087884af9749e1ff67eb9230bb4,df0caa611251ba0b0d2cbcb3d67e172209054087884af9749e1ff67eb9230bb4,image/png,670468,1024,540,objects/df0caa611251ba0b0d2cbcb3d67e172209054087884af9749e1ff67eb9230bb4/png,AllSong.png,01a00092-8ada-7c53-867a-5be72c5e1ea4;01a00092-8adb-74a2-89d1-5e8a1a2d6a4f;01a00092-8adc-7bf3-aba1-28b6a04dcaff,legacy,Phigros/曲包封面/AllSong.png,AllSong.png,df0caa611251ba0b0d2cbcb3d67e172209054087884af9749e1ff67eb9230bb4,E:\曲绘\Phigros\曲包封面\AllSong.png,true,true,"[{""sourceType"":""legacy"",""sourceSnapshot"":""legacy:ca7d82be31cc02eac817e27b54c81765ffe476d651503ae39d8054d95fc920f9"",""sourceRelativePath"":""Phigros/曲包封面/AllSong.png"",""sourceFilename"":""AllSong.png"",""sourceSha256"":""df0caa611251ba0b0d2cbcb3d67e172209054087884af9749e1ff67eb9230bb4"",""evidence"":[{""kind"":""source-path"",""detail"":""Legacy migration source: Phigros/曲包封面/AllSong.png"",""confidence"":""high""},{""kind"":""sha256"",""detail"":""SHA-256 calculated locally"",""confidence"":""high""}]}]",a5733ec270d4871fb1de5102e6576a91785594fc721c90d0238ea9a6e2301dc4
01a00092-8ade-7144-8359-757bf8523201,phigros,pack-cover,pack-cover,Camellia,"[{""value"":""Camellia.png"",""kind"":""filename""}]",{},[],[],"{""status"":""published"",""createdAt"":""2026-08-14T13:57:23.100Z"",""updatedAt"":""2026-08-14T13:57:23.100Z"",""publishedAt"":""2026-08-14T13:57:23.100Z""}",01a00092-8ade-77e2-bbc4-a352e48070cc,default,default,confirmed,"{""unresolved"":[]}",01a00092-8ade-7e16-958d-df6fa8944401;01a00092-8b49-766e-9ad1-8e2afe7f8165;01a00092-8b49-7ca3-9f7d-f3f6b067b816;01a00092-8b4a-758c-8e70-15cc0ad0bafa,4,01a00092-8ade-7e16-958d-df6fa8944401,sha256:a68745923c829f11dd2e84fcc48772d17573c2163d8733ed60a6340adf047742,a68745923c829f11dd2e84fcc48772d17573c2163d8733ed60a6340adf047742,image/png,844093,1024,540,objects/a68745923c829f11dd2e84fcc48772d17573c2163d8733ed60a6340adf047742/png,Camellia.png,01a00092-8b49-766e-9ad1-8e2afe7f8165;01a00092-8b49-7ca3-9f7d-f3f6b067b816;01a00092-8b4a-758c-8e70-15cc0ad0bafa,legacy,Phigros/曲包封面/Camellia.png,Camellia.png,a68745923c829f11dd2e84fcc48772d17573c2163d8733ed60a6340adf047742,E:\曲绘\Phigros\曲包封面\Camellia.png,true,true,"[{""sourceType"":""legacy"",""sourceSnapshot"":""legacy:ca7d82be31cc02eac817e27b54c81765ffe476d651503ae39d8054d95fc920f9"",""sourceRelativePath"":""Phigros/曲包封面/Camellia.png"",""sourceFilename"":""Camellia.png"",""sourceSha256"":""a68745923c829f11dd2e84fcc48772d17573c2163d8733ed60a6340adf047742"",""evidence"":[{""kind"":""source-path"",""detail"":""Legacy migration source: Phigros/曲包封面/Camellia.png"",""confidence"":""high""},{""kind"":""sha256"",""detail"":""SHA-256 calculated locally"",""confidence"":""high""}]}]",a5733ec270d4871fb1de5102e6576a91785594fc721c90d0238ea9a6e2301dc4
01a00092-8b50-794b-ae1c-525771cc0897,phigros,pack-cover,pack-cover,Chronostasis,"[{""value"":""Chronostasis.png"",""kind"":""filename""}]",{},[],[],"{""status"":""published"",""createdAt"":""2026-08-14T13:57:23.100Z"",""updatedAt"":""2026-08-14T13:57:23.100Z"",""publishedAt"":""2026-08-14T13:57:23.100Z""}",01a00092-8b50-7e88-9189-828ea01e302d,default,default,confirmed,"{""unresolved"":[]}",01a00092-8b50-7ca8-9249-15d8a9f54e59;01a00092-8c2a-7064-b2de-6da681de58b9;01a00092-8c2b-716f-8ab7-7c40bf07be48;01a00092-8c2c-72f9-9495-d16514fa2893,4,01a00092-8b50-7ca8-9249-15d8a9f54e59,sha256:a1acb6a5f139911d960c86903f3ff00c5668f6f08e389c13288e0b9062881d4e,a1acb6a5f139911d960c86903f3ff00c5668f6f08e389c13288e0b9062881d4e,image/png,2316199,2048,1080,objects/a1acb6a5f139911d960c86903f3ff00c5668f6f08e389c13288e0b9062881d4e/png,Chronostasis.png,01a00092-8c2a-7064-b2de-6da681de58b9;01a00092-8c2b-716f-8ab7-7c40bf07be48;01a00092-8c2c-72f9-9495-d16514fa2893,legacy,Phigros/曲包封面/Chronostasis.png,Chronostasis.png,a1acb6a5f139911d960c86903f3ff00c5668f6f08e389c13288e0b9062881d4e,E:\曲绘\Phigros\曲包封面\Chronostasis.png,true,true,"[{""sourceType"":""legacy"",""sourceSnapshot"":""legacy:ca7d82be31cc02eac817e27b54c81765ffe476d651503ae39d8054d95fc920f9"",""sourceRelativePath"":""Phigros/曲包封面/Chronostasis.png"",""sourceFilename"":""Chronostasis.png"",""sourceSha256"":""a1acb6a5f139911d960c86903f3ff00c5668f6f08e389c13288e0b9062881d4e"",""evidence"":[{""kind"":""source-path"",""detail"":""Legacy migration source: Phigros/曲包封面/Chronostasis.png"",""confidence"":""high""},{""kind"":""sha256"",""detail"":""SHA-256 calculated locally"",""confidence"":""high""}]}]",a5733ec270d4871fb1de5102e6576a91785594fc721c90d0238ea9a6e2301dc4
01a00092-8c2d-76c5-9e6a-c8f8cb78849c,phigros,pack-cover,pack-cover,CHUNITHM,"[{""value"":""CHUNITHM.png"",""kind"":""filename""}]",{},[],[],"{""status"":""published"",""createdAt"":""2026-08-14T13:57:23.100Z"",""updatedAt"":""2026-08-14T13:57:23.100Z"",""publishedAt"":""2026-08-14T13:57:23.100Z""}",01a00092-8c2d-7c12-9e11-da1a55e3b6ea,default,default,confirmed,"{""unresolved"":[]}",01a00092-8c2d-7659-9eec-51cb087eb0d3;01a00092-8c94-79cf-8c81-a1f4a6afdcbb;01a00092-8c96-7a3d-95fd-25b10fc4741e;01a00092-8c96-7d42-adf0-a56e9ecaf4a1,4,01a00092-8c2d-7659-9eec-51cb087eb0d3,sha256:5d229ad7a918dc61a063d7eff2cd9e59631358f46fbed24db2da55b95962fd0e,5d229ad7a918dc61a063d7eff2cd9e59631358f46fbed24db2da55b95962fd0e,image/png,527245,1024,540,objects/5d229ad7a918dc61a063d7eff2cd9e59631358f46fbed24db2da55b95962fd0e/png,CHUNITHM.png,01a00092-8c94-79cf-8c81-a1f4a6afdcbb;01a00092-8c96-7a3d-95fd-25b10fc4741e;01a00092-8c96-7d42-adf0-a56e9ecaf4a1,legacy,Phigros/曲包封面/CHUNITHM.png,CHUNITHM.png,5d229ad7a918dc61a063d7eff2cd9e59631358f46fbed24db2da55b95962fd0e,E:\曲绘\Phigros\曲包封面\CHUNITHM.png,true,true,"[{""sourceType"":""legacy"",""sourceSnapshot"":""legacy:ca7d82be31cc02eac817e27b54c81765ffe476d651503ae39d8054d95fc920f9"",""sourceRelativePath"":""Phigros/曲包封面/CHUNITHM.png"",""sourceFilename"":""CHUNITHM.png"",""sourceSha256"":""5d229ad7a918dc61a063d7eff2cd9e59631358f46fbed24db2da55b95962fd0e"",""evidence"":[{""kind"":""source-path"",""detail"":""Legacy migration source: Phigros/曲包封面/CHUNITHM.png"",""confidence"":""high""},{""kind"":""sha256"",""detail"":""SHA-256 calculated locally"",""confidence"":""high""}]}]",a5733ec270d4871fb1de5102e6576a91785594fc721c90d0238ea9a6e2301dc4
01a00092-8c99-76f7-a8e6-22b0e9045bcd,phigros,pack-cover,pack-cover,Cytus2,"[{""value"":""Cytus2.png"",""kind"":""filename""}]",{},[],[],"{""status"":""published"",""createdAt"":""2026-08-14T13:57:23.100Z"",""updatedAt"":""2026-08-14T13:57:23.100Z"",""publishedAt"":""2026-08-14T13:57:23.100Z""}",01a00092-8c99-7ed4-95a9-128d6ecf6ddb,default,default,confirmed,"{""unresolved"":[]}",01a00092-8c99-7f3b-a354-f237915595ba;01a00092-8cf5-7fd7-9ee2-2c7aa8a23f46;01a00092-8cf6-704b-8248-a323c448ecfd;01a00092-8cf7-7c10-a897-5a72c444eef3,4,01a00092-8c99-7f3b-a354-f237915595ba,sha256:e2b578e43bb92636407d084195d6114be60a821dd8e2e0e2b738714a8538998d,e2b578e43bb92636407d084195d6114be60a821dd8e2e0e2b738714a8538998d,image/png,934402,1024,540,objects/e2b578e43bb92636407d084195d6114be60a821dd8e2e0e2b738714a8538998d/png,Cytus2.png,01a00092-8cf5-7fd7-9ee2-2c7aa8a23f46;01a00092-8cf6-704b-8248-a323c448ecfd;01a00092-8cf7-7c10-a897-5a72c444eef3,legacy,Phigros/曲包封面/Cytus2.png,Cytus2.png,e2b578e43bb92636407d084195d6114be60a821dd8e2e0e2b738714a8538998d,E:\曲绘\Phigros\曲包封面\Cytus2.png,true,true,"[{""sourceType"":""legacy"",""sourceSnapshot"":""legacy:ca7d82be31cc02eac817e27b54c81765ffe476d651503ae39d8054d95fc920f9"",""sourceRelativePath"":""Phigros/曲包封面/Cytus2.png"",""sourceFilename"":""Cytus2.png"",""sourceSha256"":""e2b578e43bb92636407d084195d6114be60a821dd8e2e0e2b738714a8538998d"",""evidence"":[{""kind"":""source-path"",""detail"":""Legacy migration source: Phigros/曲包封面/Cytus2.png"",""confidence"":""high""},{""kind"":""sha256"",""detail"":""SHA-256 calculated locally"",""confidence"":""high""}]}]",a5733ec270d4871fb1de5102e6576a91785594fc721c90d0238ea9a6e2301dc4
01a00092-8cf9-744a-8470-32742c4cef07,phigros,pack-cover,pack-cover,EGTS,"[{""value"":""EGTS.png"",""kind"":""filename""}]",{},[],[],"{""status"":""published"",""createdAt"":""2026-08-14T13:57:23.100Z"",""updatedAt"":""2026-08-14T13:57:23.100Z"",""publishedAt"":""2026-08-14T13:57:23.100Z""}",01a00092-8cf9-7435-bb6f-9cb71a1db0f3,default,default,confirmed,"{""unresolved"":[]}",01a00092-8cf9-79f4-9ddb-35c8e9536591;01a00092-8d66-72a0-890a-c2d9ca954e66;01a00092-8d67-7091-bb16-76f2a4c98c8c;01a00092-8d68-7566-ac73-23e6b88f2cc3,4,01a00092-8cf9-79f4-9ddb-35c8e9536591,sha256:c0e3927514778439d67caf9e0b3b91e721b74ff7a6f1c409a145f9f7321190f5,c0e3927514778439d67caf9e0b3b91e721b74ff7a6f1c409a145f9f7321190f5,image/png,774619,1024,540,objects/c0e3927514778439d67caf9e0b3b91e721b74ff7a6f1c409a145f9f7321190f5/png,EGTS.png,01a00092-8d66-72a0-890a-c2d9ca954e66;01a00092-8d67-7091-bb16-76f2a4c98c8c;01a00092-8d68-7566-ac73-23e6b88f2cc3,legacy,Phigros/曲包封面/EGTS.png,EGTS.png,c0e3927514778439d67caf9e0b3b91e721b74ff7a6f1c409a145f9f7321190f5,E:\曲绘\Phigros\曲包封面\EGTS.png,true,true,"[{""sourceType"":""legacy"",""sourceSnapshot"":""legacy:ca7d82be31cc02eac817e27b54c81765ffe476d651503ae39d8054d95fc920f9"",""sourceRelativePath"":""Phigros/曲包封面/EGTS.png"",""sourceFilename"":""EGTS.png"",""sourceSha256"":""c0e3927514778439d67caf9e0b3b91e721b74ff7a6f1c409a145f9f7321190f5"",""evidence"":[{""kind"":""source-path"",""detail"":""Legacy migration source: Phigros/曲包封面/EGTS.png"",""confidence"":""high""},{""kind"":""sha256"",""detail"":""SHA-256 calculated locally"",""confidence"":""high""}]}]",a5733ec270d4871fb1de5102e6576a91785594fc721c90d0238ea9a6e2301dc4
01a00092-8d68-7129-aaa3-3fede3b33127,phigros,pack-cover,pack-cover,Good,"[{""value"":""Good.png"",""kind"":""filename""}]",{},[],[],"{""status"":""published"",""createdAt"":""2026-08-14T13:57:23.100Z"",""updatedAt"":""2026-08-14T13:57:23.100Z"",""publishedAt"":""2026-08-14T13:57:23.100Z""}",01a00092-8d68-75c5-ad34-a0f5ad4c5aaf,default,default,confirmed,"{""unresolved"":[]}",01a00092-8d69-7f7f-8064-eda465094a5f;01a00092-8db5-759f-9d6b-5535035aae8a;01a00092-8db6-7c96-ab26-031641e4a097;01a00092-8db7-791f-b179-368b833a8aa6,4,01a00092-8d69-7f7f-8064-eda465094a5f,sha256:b367bef68a532fe02c60cde190f8c0b2239c386a0f8e8c7229f383e020c92fe0,b367bef68a532fe02c60cde190f8c0b2239c386a0f8e8c7229f383e020c92fe0,image/png,192940,1024,540,objects/b367bef68a532fe02c60cde190f8c0b2239c386a0f8e8c7229f383e020c92fe0/png,Good.png,01a00092-8db5-759f-9d6b-5535035aae8a;01a00092-8db6-7c96-ab26-031641e4a097;01a00092-8db7-791f-b179-368b833a8aa6,legacy,Phigros/曲包封面/Good.png,Good.png,b367bef68a532fe02c60cde190f8c0b2239c386a0f8e8c7229f383e020c92fe0,E:\曲绘\Phigros\曲包封面\Good.png,true,true,"[{""sourceType"":""legacy"",""sourceSnapshot"":""legacy:ca7d82be31cc02eac817e27b54c81765ffe476d651503ae39d8054d95fc920f9"",""sourceRelativePath"":""Phigros/曲包封面/Good.png"",""sourceFilename"":""Good.png"",""sourceSha256"":""b367bef68a532fe02c60cde190f8c0b2239c386a0f8e8c7229f383e020c92fe0"",""evidence"":[{""kind"":""source-path"",""detail"":""Legacy migration source: Phigros/曲包封面/Good.png"",""confidence"":""high""},{""kind"":""sha256"",""detail"":""SHA-256 calculated locally"",""confidence"":""high""}]}]",a5733ec270d4871fb1de5102e6576a91785594fc721c90d0238ea9a6e2301dc4
01a00092-8db9-7a77-8a5a-6d6059a4da43,phigros,pack-cover,pack-cover,HyuN,"[{""value"":""HyuN.png"",""kind"":""filename""}]",{},[],[],"{""status"":""published"",""createdAt"":""2026-08-14T13:57:23.100Z"",""updatedAt"":""2026-08-14T13:57:23.100Z"",""publishedAt"":""2026-08-14T13:57:23.100Z""}",01a00092-8dba-79a7-9628-57eaaa9c339d,default,default,confirmed,"{""unresolved"":[]}",01a00092-8dba-7ac2-84ab-786607d12d82;01a00092-8e2b-7258-b886-9b5f74579397;01a00092-8e2c-7e3e-9c3d-bb7434e81592;01a00092-8e2d-7a61-9344-40c4d535c0ed,4,01a00092-8dba-7ac2-84ab-786607d12d82,sha256:1201682eefda2b487dfb74630138c5efc0a31c621eab5b5d191507e0d26b2de2,1201682eefda2b487dfb74630138c5efc0a31c621eab5b5d191507e0d26b2de2,image/png,856326,1024,540,objects/1201682eefda2b487dfb74630138c5efc0a31c621eab5b5d191507e0d26b2de2/png,HyuN.png,01a00092-8e2b-7258-b886-9b5f74579397;01a00092-8e2c-7e3e-9c3d-bb7434e81592;01a00092-8e2d-7a61-9344-40c4d535c0ed,legacy,Phigros/曲包封面/HyuN.png,HyuN.png,1201682eefda2b487dfb74630138c5efc0a31c621eab5b5d191507e0d26b2de2,E:\曲绘\Phigros\曲包封面\HyuN.png,true,true,"[{""sourceType"":""legacy"",""sourceSnapshot"":""legacy:ca7d82be31cc02eac817e27b54c81765ffe476d651503ae39d8054d95fc920f9"",""sourceRelativePath"":""Phigros/曲包封面/HyuN.png"",""sourceFilename"":""HyuN.png"",""sourceSha256"":""1201682eefda2b487dfb74630138c5efc0a31c621eab5b5d191507e0d26b2de2"",""evidence"":[{""kind"":""source-path"",""detail"":""Legacy migration source: Phigros/曲包封面/HyuN.png"",""confidence"":""high""},{""kind"":""sha256"",""detail"":""SHA-256 calculated locally"",""confidence"":""high""}]}]",a5733ec270d4871fb1de5102e6576a91785594fc721c90d0238ea9a6e2301dc4
01a00092-8e30-77be-9191-e02e005b632e,phigros,pack-cover,pack-cover,ImmaculeeSekai,"[{""value"":""ImmaculeeSekai.png"",""kind"":""filename""}]",{},[],[],"{""status"":""published"",""createdAt"":""2026-08-14T13:57:23.100Z"",""updatedAt"":""2026-08-14T13:57:23.100Z"",""publishedAt"":""2026-08-14T13:57:23.100Z""}",01a00092-8e30-7ef8-9db1-b270a3550755,default,default,confirmed,"{""unresolved"":[]}",01a00092-8e30-7b56-92ff-481dfeb04f2d;01a00092-8ea4-741b-a738-9f688fd5074a;01a00092-8ea5-77bd-b0a2-32ffa886a1fb;01a00092-8ea5-77a8-9d34-17a3f7b1fd53,4,01a00092-8e30-7b56-92ff-481dfeb04f2d,sha256:4ffd997357c4da6c8e9719464cb5c40b71507fd73a5497741e80834c6a237169,4ffd997357c4da6c8e9719464cb5c40b71507fd73a5497741e80834c6a237169,image/png,1119288,1024,540,objects/4ffd997357c4da6c8e9719464cb5c40b71507fd73a5497741e80834c6a237169/png,ImmaculeeSekai.png,01a00092-8ea4-741b-a738-9f688fd5074a;01a00092-8ea5-77bd-b0a2-32ffa886a1fb;01a00092-8ea5-77a8-9d34-17a3f7b1fd53,legacy,Phigros/曲包封面/ImmaculeeSekai.png,ImmaculeeSekai.png,4ffd997357c4da6c8e9719464cb5c40b71507fd73a5497741e80834c6a237169,E:\曲绘\Phigros\曲包封面\ImmaculeeSekai.png,true,true,"[{""sourceType"":""legacy"",""sourceSnapshot"":""legacy:ca7d82be31cc02eac817e27b54c81765ffe476d651503ae39d8054d95fc920f9"",""sourceRelativePath"":""Phigros/曲包封面/ImmaculeeSekai.png"",""sourceFilename"":""ImmaculeeSekai.png"",""sourceSha256"":""4ffd997357c4da6c8e9719464cb5c40b71507fd73a5497741e80834c6a237169"",""evidence"":[{""kind"":""source-path"",""detail"":""Legacy migration source: Phigros/曲包封面/ImmaculeeSekai.png"",""confidence"":""high""},{""kind"":""sha256"",""detail"":""SHA-256 calculated locally"",""confidence"":""high""}]}]",a5733ec270d4871fb1de5102e6576a91785594fc721c90d0238ea9a6e2301dc4
