coverName,key,bundle,assetTypes,sourceFile,objectName,width,height,format
AllSong,Assets/Tracks/#ChapterCover/AllSong.jpg,a299beba8ff1cf98ebf199f528006db4.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,a299beba8ff1cf98ebf199f528006db4.bundle,AllSong,1024,540,3
AllSongBlur,Assets/Tracks/#ChapterCover/AllSongBlur.jpg,f54e782756c7c27c8d022bcd3ef81176.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,f54e782756c7c27c8d022bcd3ef81176.bundle,AllSongBlur,1024,540,3
CHUNITHM,Assets/Tracks/#ChapterCover/CHUNITHM.jpg,5a553f2a6de048d50aded5cb2402ca4b.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,5a553f2a6de048d50aded5cb2402ca4b.bundle,CHUNITHM,1024,540,3
CHUNITHMBlur,Assets/Tracks/#ChapterCover/CHUNITHMBlur.jpg,f4ffc2ee45741f4733644dbda011facf.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,f4ffc2ee45741f4733644dbda011facf.bundle,CHUNITHMBlur,1024,540,3
Camellia,Assets/Tracks/#ChapterCover/Camellia.jpg,74dcdfd88fb742f779074c1160721c09.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,74dcdfd88fb742f779074c1160721c09.bundle,Camellia,1024,540,3
CamelliaBlur,Assets/Tracks/#ChapterCover/CamelliaBlur.jpg,5712f1468679577a6cec5b59002bec94.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,5712f1468679577a6cec5b59002bec94.bundle,CamelliaBlur,1024,540,3
Cytus2,Assets/Tracks/#ChapterCover/Cytus2.jpg,1d937b855df775cbc200f94940383128.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,1d937b855df775cbc200f94940383128.bundle,Cytus2,1024,540,3
Cytus2Blur,Assets/Tracks/#ChapterCover/Cytus2Blur.jpg,7c81f8531a3c1b7a52d93a468aa1b551.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,7c81f8531a3c1b7a52d93a468aa1b551.bundle,Cytus2Blur,1024,540,3
EGTS,Assets/Tracks/#ChapterCover/EGTS.jpg,6c4550d34816055dc310f17412972fe2.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,6c4550d34816055dc310f17412972fe2.bundle,EGTS,1024,540,3
EGTSBlur,Assets/Tracks/#ChapterCover/EGTSBlur.jpg,20b9379fd84db07557fd253e93fc827c.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,20b9379fd84db07557fd253e93fc827c.bundle,EGTSBlur,1024,540,3
Good,Assets/Tracks/#ChapterCover/Good.jpg,84abdab82eae642a3dc7043811315506.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,84abdab82eae642a3dc7043811315506.bundle,Good,1024,540,3
GoodBlur,Assets/Tracks/#ChapterCover/GoodBlur.jpg,08e80fb254d8904d223530cada82ec65.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,08e80fb254d8904d223530cada82ec65.bundle,GoodBlur,1024,540,3
HyuN,Assets/Tracks/#ChapterCover/HyuN.jpg,2d988cef16115db5bfd0c7ddc3373a28.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,2d988cef16115db5bfd0c7ddc3373a28.bundle,HyuN,1024,540,3
HyuNBlur,Assets/Tracks/#ChapterCover/HyuNBlur.jpg,20809b1804411c1970db8769fd026908.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,20809b1804411c1970db8769fd026908.bundle,HyuNBlur,1024,540,3
IllustrationsCover,Assets/Tracks/#ChapterCover/IllustrationsCover.jpg,c3f447d20fb427dc7779a907324f868b.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,c3f447d20fb427dc7779a907324f868b.bundle,IllustrationsCover,279,144,3
ImmaculeeSekai,Assets/Tracks/#ChapterCover/ImmaculeeSekai.jpg,20cc16bc75ddcf36c6fb2c93cd503482.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,20cc16bc75ddcf36c6fb2c93cd503482.bundle,ImmaculeeSekai,1024,540,3
