scope,field,count,distinctValues,sampleValues
nested-key,bpm,13911,1008,100.0;101.0;104.0;110.0;111.0;112.0;120.0;123.0;125.0;126.0;127.0;128.0;130.0;131.0;132.0;134.0;135.0;136.0;138.0;140.0
nested-key,end,27178494,0,
nested-key,end2,13267045,0,
nested-key,endTime,27327812,0,
nested-key,floorPosition,633540,0,
nested-key,formatVersion,1008,1008,1;3
nested-key,holdTime,633388,0,
nested-key,judgeLineDisappearEvents,13911,0,
nested-key,judgeLineList,1008,0,
nested-key,judgeLineMoveEvents,13911,0,
nested-key,judgeLineRotateEvents,13911,0,
nested-key,notesAbove,13911,0,
nested-key,notesBelow,13911,0,
nested-key,numOfNotes,125,0,
nested-key,numOfNotesAbove,120,0,
nested-key,numOfNotesBelow,120,0,
nested-key,offset,1008,1008,0.0;0.00354522;0.05;0.06;0.07;0.1;0.16;0.245518;0.468;0.528409;1.0
nested-key,positionX,633388,0,
nested-key,speed,633388,0,
nested-key,speedEvents,13911,0,
nested-key,start,27178494,0,
nested-key,start2,13267045,0,
nested-key,startTime,27327812,0,
nested-key,time,633388,0,
nested-key,type,633388,0,
nested-key,value,149318,0,
