sourcePath,sourceFile,unityVersion,pathId,name,difficulty,errorVariant,catalogKeys,formatVersion,offset,judgeLineCount,noteCount,bpms,textBytes,readError
assets/aa/Android/0001488b03e729136338f081478beb81.bundle,0001488b03e729136338f081478beb81.bundle,2022.3.62f2,5563821421291955251,Chart_AT,AT,,Assets/Tracks/Shadow.SumaiLightvs姜米條.0/Chart_AT.json;d6c1e81fbc5c7e64686eeb9abf01b397,3,0.0,12,1089,172.0,1855248,
assets/aa/Android/0082b94e09acadbd32ce9dd7b2e61763.bundle,0082b94e09acadbd32ce9dd7b2e61763.bundle,2022.3.62f2,-979299250861673395,Chart_EZ,EZ,,6596204447edcc245974f947f88a71e7;Assets/Tracks/GOODTEK.EBIMAYO.0/Chart_EZ.json,3,0.0,3,295,190.0,184297,
assets/aa/Android/00b114ad0788ad7402248544ab30f481.bundle,00b114ad0788ad7402248544ab30f481.bundle,2022.3.62f2,8204108737575967690,Chart_EZ,EZ,,Assets/Tracks/EternalSnow.AbyssIdols.0/Chart_EZ.json;d9b9080f46d390240a94fb61a31b7ff2,3,0.0,5,288,140.0,771900,
assets/aa/Android/00c058bcc713038c1a45a9c72737d56a.bundle,00c058bcc713038c1a45a9c72737d56a.bundle,2022.3.62f2,2970907554611076345,Chart_EZ,EZ,,Assets/Tracks/青芽.茶鸣拾贰律.0/Chart_EZ.json;f52178a4741775649a89e5e0fcfa4352,3,0.0,9,366,216.0,1911026,
assets/aa/Android/00c1925eb091b2b3bc55100d15a762c2.bundle,00c1925eb091b2b3bc55100d15a762c2.bundle,2022.3.62f2,1364743199457391037,Chart_HD,HD,,2d8d731f4a96855439aab1729822078b;Assets/Tracks/Verruckt.Raimukun.0/Chart_HD.json,3,0.0,24,621,238.0,3765531,
assets/aa/Android/00e9f0703994eecb92339ac5dfc222a4.bundle,00e9f0703994eecb92339ac5dfc222a4.bundle,2022.3.62f2,-8554319340971485898,Chart_HD,HD,,Assets/Tracks/ComputeItWithSomeDevilishAlcoholicSteampunkEngines.かめりあ.0/Chart_HD.json;cf4395889af2c974e91e229bda6842e6,3,0.0,4,723,165.0,958770,
assets/aa/Android/00f325a7d0c42ede9a8fb39a3642e1f0.bundle,00f325a7d0c42ede9a8fb39a3642e1f0.bundle,2022.3.62f2,4404819055725304927,Chart_IN,IN,,Assets/Tracks/DistortedFate.Sakuzyo.0/Chart_IN.json;eeda408ef5e17c742b70087595efd00d,3,0.0,24,1449,150.0,8548104,
assets/aa/Android/00ff3c028eac5f12408d9db2a3490f7b.bundle,00ff3c028eac5f12408d9db2a3490f7b.bundle,2022.3.62f2,-6060997784349040923,Chart_EZ,EZ,,0e8ba6fc3f7af4db3b850b295317b0c2;Assets/Tracks/SultanRage.MonstDeath.0/Chart_EZ.json,3,0.0,10,159,155.0,65613,
assets/aa/Android/01367117acdca28729565fb4043c0887.bundle,01367117acdca28729565fb4043c0887.bundle,2022.3.62f2,3141604499247673582,Chart_EZ,EZ,,56aebae93c4a2484599bf11eba559cd6;Assets/Tracks/DerSchneid.Ωμεγα.0/Chart_EZ.json,3,0.0,11,457,222.0,2057648,
assets/aa/Android/0144ae9c2af0e9052f2d7321bde0fecf.bundle,0144ae9c2af0e9052f2d7321bde0fecf.bundle,2022.3.62f2,-3786178457727710316,Chart_IN,IN,,0a716f6481f9b4b10a0a12c105c7e9a0;Assets/Tracks/Disorder.HyuNfeatYURI.0/Chart_IN.json,3,0.0,7,918,193.0,534503,
