sourcePath,sourceFile,pathId,objectName,catalogKey,trackFolder,difficulty,errorVariant,formatVersion,rootKeys,judgeLineCount,textBytes
assets/aa/Android/0001488b03e729136338f081478beb81.bundle,0001488b03e729136338f081478beb81.bundle,5563821421291955251,Chart_AT,Assets/Tracks/Shadow.SumaiLightvs姜米條.0/Chart_AT.json,Shadow.SumaiLightvs姜米條.0,AT,,3,formatVersion;judgeLineList;offset,12,1855248
assets/aa/Android/0082b94e09acadbd32ce9dd7b2e61763.bundle,0082b94e09acadbd32ce9dd7b2e61763.bundle,-979299250861673395,Chart_EZ,Assets/Tracks/GOODTEK.EBIMAYO.0/Chart_EZ.json,GOODTEK.EBIMAYO.0,EZ,,3,formatVersion;judgeLineList;offset,3,184297
assets/aa/Android/00b114ad0788ad7402248544ab30f481.bundle,00b114ad0788ad7402248544ab30f481.bundle,8204108737575967690,Chart_EZ,Assets/Tracks/EternalSnow.AbyssIdols.0/Chart_EZ.json,EternalSnow.AbyssIdols.0,EZ,,3,formatVersion;judgeLineList;offset,5,771900
assets/aa/Android/00c058bcc713038c1a45a9c72737d56a.bundle,00c058bcc713038c1a45a9c72737d56a.bundle,2970907554611076345,Chart_EZ,Assets/Tracks/青芽.茶鸣拾贰律.0/Chart_EZ.json,青芽.茶鸣拾贰律.0,EZ,,3,formatVersion;judgeLineList;offset,9,1911026
assets/aa/Android/00c1925eb091b2b3bc55100d15a762c2.bundle,00c1925eb091b2b3bc55100d15a762c2.bundle,1364743199457391037,Chart_HD,Assets/Tracks/Verruckt.Raimukun.0/Chart_HD.json,Verruckt.Raimukun.0,HD,,3,formatVersion;judgeLineList;offset,24,3765531
assets/aa/Android/00e9f0703994eecb92339ac5dfc222a4.bundle,00e9f0703994eecb92339ac5dfc222a4.bundle,-8554319340971485898,Chart_HD,Assets/Tracks/ComputeItWithSomeDevilishAlcoholicSteampunkEngines.かめりあ.0/Chart_HD.json,ComputeItWithSomeDevilishAlcoholicSteampunkEngines.かめりあ.0,HD,,3,formatVersion;judgeLineList;offset,4,958770
assets/aa/Android/00f325a7d0c42ede9a8fb39a3642e1f0.bundle,00f325a7d0c42ede9a8fb39a3642e1f0.bundle,4404819055725304927,Chart_IN,Assets/Tracks/DistortedFate.Sakuzyo.0/Chart_IN.json,DistortedFate.Sakuzyo.0,IN,,3,formatVersion;judgeLineList;offset,24,8548104
assets/aa/Android/00ff3c028eac5f12408d9db2a3490f7b.bundle,00ff3c028eac5f12408d9db2a3490f7b.bundle,-6060997784349040923,Chart_EZ,Assets/Tracks/SultanRage.MonstDeath.0/Chart_EZ.json,SultanRage.MonstDeath.0,EZ,,3,formatVersion;judgeLineList;offset,10,65613
assets/aa/Android/01367117acdca28729565fb4043c0887.bundle,01367117acdca28729565fb4043c0887.bundle,3141604499247673582,Chart_EZ,Assets/Tracks/DerSchneid.Ωμεγα.0/Chart_EZ.json,DerSchneid.Ωμεγα.0,EZ,,3,formatVersion;judgeLineList;offset,11,2057648
assets/aa/Android/0144ae9c2af0e9052f2d7321bde0fecf.bundle,0144ae9c2af0e9052f2d7321bde0fecf.bundle,-3786178457727710316,Chart_IN,Assets/Tracks/Disorder.HyuNfeatYURI.0/Chart_IN.json,Disorder.HyuNfeatYURI.0,IN,,3,formatVersion;judgeLineList;offset,7,534503
