path,fileCount,totalSizeBytes,totalCompressedSizeBytes
.,3163,2960988415,2651846427
META-INF,28,280,276
assets,2958,2791569558,2596011574
lib,10,162975428,52855290
res,158,397639,397639
META-INF/com,1,56,52
assets/aa,2517,2461583649,2461583649
assets/bin,441,329985909,134427925
lib/arm64-v8a,5,89753760,26876082
lib/armeabi-v7a,5,73221668,25979208
res/color,3,1888,1888
META-INF/com/android,1,56,52
assets/aa/AddressablesLink,1,6063,6063
assets/aa/Android,2514,2457840077,2457840077
assets/bin/Data,441,329985909,134427925
META-INF/com/android/build,1,56,52
assets/bin/Data/Managed,4,10767362,3094566
assets/bin/Data/Resources,1,416548,107825
META-INF/com/android/build/gradle,1,56,52
assets/bin/Data/Managed/Metadata,1,10310628,2950817
assets/bin/Data/Managed/Resources,3,456734,143749
