resourceId,displayTitle,sourceTitle,sourceArtist,matchedTrackFolder,matchStatus,comparison,displayTitleNormalized,sourceTitleNormalized,evidence,confidence
01a00092-9bc3-751e-9684-b4ec35d6d86e,-Arkhei-,Arkhei,SeraAmagi,Arkhei.SeraAmagi.0,high,normalized-equivalent,arkhei,arkhei,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-9c95-7509-a581-b8e93ffe53ef,-SURREALISM-,SURREALISM,Itsuki,SURREALISM.Itsuki.0,high,normalized-equivalent,surrealism,surrealism,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-9d5d-76f9-b6c9-4a80ebf4a936,[PRAW],PRAW,Bluewind,PRAW.Bluewind.0,high,normalized-equivalent,praw,praw,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-9e66-70c7-bce0-b4c0a47854b2,+ERABY+E CONNEC+10N,ERABYECONNEC10N,かめりあ,ERABYECONNEC10N.かめりあ.0,high,normalized-equivalent,erabyeconnec10n,erabyeconnec10n,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-9f84-734e-bc57-b2275711f21d,000 -Ain Soph Aur-,000AinSophAur,Yumeji,000AinSophAur.Yumeji.0,high,normalized-equivalent,000ainsophaur,000ainsophaur,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-a089-7b0c-8782-48a06bde5202,70 Minutes Fighters,70MinutesFighters,かたぎり,70MinutesFighters.かたぎり.0,confirmed,normalized-equivalent,70minutesfighters,70minutesfighters,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,confirmed
01a00092-a155-7398-9b44-ff29c3e5d1c2,996,996,李化禹,996.李化禹.0,high,exact,996,996,Display title and Addressables source title are byte-for-byte equal,high
01a00092-a248-70a8-a539-df2080545a22,暗夜苏醒 (REANIMATE),暗夜苏醒REANIMATE,Warak,暗夜苏醒REANIMATE.Warak.0,high,normalized-equivalent,暗夜苏醒reanimate,暗夜苏醒reanimate,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-a351-7b98-8d52-4daf6f21b104,白と黒のバケモノ,白と黒のバケモノ,テヅカ,白と黒のバケモノ.テヅカ.0,high,exact,白と黒のバケモノ,白と黒のバケモノ,Display title and Addressables source title are byte-for-byte equal,high
01a00092-a447-75ae-a284-eb9f21207e21,百鬼֎夜行,百鬼夜行,SaladSavior,百鬼夜行.SaladSavior.0,high,normalized-equivalent,百鬼夜行,百鬼夜行,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-a53e-711a-b56f-d26a3fb7e858,贝多芬祝福 (Beethoven Blessing),贝多芬祝福BeethovenBlessing,Nauts,贝多芬祝福BeethovenBlessing.Nauts.0,high,normalized-equivalent,贝多芬祝福beethovenblessing,贝多芬祝福beethovenblessing,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-a65b-7b48-85e0-c158f25be634,彼方へ、名もなき海辺より,彼方へ名もなき海辺より,打打だいず&月乃,彼方へ名もなき海辺より.打打だいず&月乃.0,confirmed,normalized-equivalent,彼方へ名もなき海辺より,彼方へ名もなき海辺より,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,confirmed
01a00092-a716-77f9-9537-58bae3abb80d,彩,彩,MisoilePunch,彩.MisoilePunch.0,confirmed,exact,彩,彩,Display title and Addressables source title are byte-for-byte equal,confirmed
01a00092-a7c5-77f8-a768-e9c194ab4170,瓷岁,瓷岁,茶鸣拾贰律,瓷岁.茶鸣拾贰律.0,high,exact,瓷岁,瓷岁,Display title and Addressables source title are byte-for-byte equal,high
01a00092-a8c1-7d0b-92b2-312b4b0f7811,大和撫子 -Wild Dances-,大和撫子WildDances,adapatorvsDRIVE,大和撫子WildDances.adapatorvsDRIVE.0,high,normalized-equivalent,大和撫子wilddances,大和撫子wilddances,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-a9bc-7f83-b32a-a58b30dae4dc,风屿,风屿,闫东炜,风屿.闫东炜.0,high,exact,风屿,风屿,Display title and Addressables source title are byte-for-byte equal,high
01a00092-aa91-7ef6-b52b-1ac7dec0a301,光,光,姜米條,光.姜米條.0,high,exact,光,光,Display title and Addressables source title are byte-for-byte equal,high
01a00092-ab62-7187-9db3-c4c42bb3bb9e,華灯爱,華灯爱,闫东炜,華灯爱.闫东炜.0,high,exact,華灯爱,華灯爱,Display title and Addressables source title are byte-for-byte equal,high
01a00092-ac33-7037-b2eb-a77c278e5517,幻影鬼魅 (PLEASE),幻影鬼魅PLEASE,R300K,幻影鬼魅PLEASE.R300K.0,high,normalized-equivalent,幻影鬼魅please,幻影鬼魅please,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-ad2a-7be3-84c3-8f2c5c1c897e,黄金之城 (GOLD TOWN),黄金之城GOLDTOWN,Memme,黄金之城GOLDTOWN.Memme.0,high,normalized-equivalent,黄金之城goldtown,黄金之城goldtown,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-ae24-7cbe-bfe2-b9b7f2fef44b,混乱-Confusion,混乱Confusion,OnlyMyBlackScore,混乱Confusion.OnlyMyBlackScore.0,high,normalized-equivalent,混乱confusion,混乱confusion,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-af30-72bc-8e8d-fd79086d2677,今天不是明天,今天不是明天,PIKASONICfeat兰音Reine,今天不是明天.PIKASONICfeat兰音Reine.0,high,exact,今天不是明天,今天不是明天,Display title and Addressables source title are byte-for-byte equal,high
01a00092-b01b-70e7-832e-606b1f744b3e,君往何处 (Quo Vadis),君往何处QuoVadis,M2U,君往何处QuoVadis.M2U.0,high,normalized-equivalent,君往何处quovadis,君往何处quovadis,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-b106-71a8-930a-fe72656b04a7,开心病,开心病,闫东炜,开心病.闫东炜.0,high,exact,开心病,开心病,Display title and Addressables source title are byte-for-byte equal,high
01a00092-b1d9-7c9f-b0c8-651b08fc9e48,狂喜蘭舞,狂喜蘭舞,LeaF,狂喜蘭舞.LeaF.0,high,exact,狂喜蘭舞,狂喜蘭舞,Display title and Addressables source title are byte-for-byte equal,high
01a00092-b2d5-72da-a23e-a4fda6068acd,零號車輛,零號車輛,seatrus,零號車輛.seatrus.0,high,exact,零號車輛,零號車輛,Display title and Addressables source title are byte-for-byte equal,high
01a00092-b3c7-7154-9f0f-5a815bb69e6f,亂★舞,亂舞,NekockLK,亂舞.NekockLK.0,confirmed,normalized-equivalent,亂舞,亂舞,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,confirmed
01a00092-b474-7a4b-9dcb-0a83cba9f36a,夢の降る日に,夢の降る日に,seatrus,夢の降る日に.seatrus.0,confirmed,exact,夢の降る日に,夢の降る日に,Display title and Addressables source title are byte-for-byte equal,confirmed
01a00092-b526-7d5f-94c7-b5593323b35a,明鏡烈火,明鏡烈火,MUEvsRekuMochizuki,明鏡烈火.MUEvsRekuMochizuki.0,high,exact,明鏡烈火,明鏡烈火,Display title and Addressables source title are byte-for-byte equal,high
01a00092-b63c-79bd-87df-d7785fa0f493,祈 -我ら神祖と共に歩む者なり-,祈-我ら神祖と共に歩む者なり-,光吉猛修VS穴山大輔VSKaiVS水野健治VS大国奏音,祈-我ら神祖と共に歩む者なり-.光吉猛修VS穴山大輔VSKaiVS水野健治VS大国奏音.0,high,normalized-equivalent,祈我ら神祖と共に歩む者なり,祈我ら神祖と共に歩む者なり,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-b714-7237-8068-51fb184898eb,千紫万紅,千紫万紅,r0yvsWABI,千紫万紅.r0yvsWABI.0,high,exact,千紫万紅,千紫万紅,Display title and Addressables source title are byte-for-byte equal,high
01a00092-b828-7a4a-be17-bbcd919a7ee3,青丘,青丘,BLACK0,青丘.BLACK0.0,high,exact,青丘,青丘,Display title and Addressables source title are byte-for-byte equal,high
01a00092-b8fd-7b78-8e3f-7773d1455405,青芽,青芽,茶鸣拾贰律,青芽.茶鸣拾贰律.0,high,exact,青芽,青芽,Display title and Addressables source title are byte-for-byte equal,high
01a00092-ba01-70a2-8fb0-5142736a2e67,神話,神話,PicaM2U,神話.PicaM2U.0,high,exact,神話,神話,Display title and Addressables source title are byte-for-byte equal,high
01a00092-bacb-7425-8a90-8f8554970763,聖夜讃歌,聖夜讃歌,A39沙包P,聖夜讃歌.A39沙包P.0,high,exact,聖夜讃歌,聖夜讃歌,Display title and Addressables source title are byte-for-byte equal,high
01a00092-bbc1-77e0-978b-e2c4b30e6e81,双重间谍 (Double Agent),双重间谍DoubleAgent,WAVAV,双重间谍DoubleAgent.WAVAV.0,high,normalized-equivalent,双重间谍doubleagent,双重间谍doubleagent,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-bcae-7a9e-b19d-ecab011e62a0,玩具狂奏曲 -終焉-,玩具狂奏曲終焉,きくお,玩具狂奏曲終焉.きくお.0,confirmed,normalized-equivalent,玩具狂奏曲終焉,玩具狂奏曲終焉,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,confirmed
01a00092-bd52-7d81-8273-efaca60fc918,万吨匿名信,万吨匿名信,闫东炜,万吨匿名信.闫东炜.0,high,exact,万吨匿名信,万吨匿名信,Display title and Addressables source title are byte-for-byte equal,high
01a00092-be38-7584-86d1-83bbd68a809c,望影の方舟Six,望影の方舟Six,SeURa,望影の方舟Six.SeURa.0,high,exact,望影の方舟six,望影の方舟six,Display title and Addressables source title are byte-for-byte equal,high
01a00092-bf3a-7850-977b-731f2fd2c391,下一秒,下一秒,BobHouSherlock卓智媛feat兰音Reine,下一秒.BobHouSherlock卓智媛feat兰音Reine.0,confirmed,exact,下一秒,下一秒,Display title and Addressables source title are byte-for-byte equal,confirmed
01a00092-bff1-79cf-a5ac-790148791b3c,蝎虎天体 -Lacertid-,蝎虎天体Lacertid,CreamvsDaily天利,蝎虎天体Lacertid.CreamvsDaily天利.0,high,normalized-equivalent,蝎虎天体lacertid,蝎虎天体lacertid,Titles differ only after Unicode/punctuation/spacing normalization; image relation is accepted,high
01a00092-c0be-753d-b466-2178a37397cd,心之所向,心之所向,姜米條,心之所向.姜米條.0,high,exact,心之所向,心之所向,Display title and Addressables source title are byte-for-byte equal,high
