path,filename,extension,sizeBytes,sha256,detectedType,compressedSize,archiveCompressionMethod,notes
META-INF/com/android/build/gradle/app-metadata.properties,app-metadata.properties,properties,56,a4a8597228839fcb30b7efe810e814dd6699fab9453d8354d7991eca0620f138,Text-like,52,deflate,
classes.dex,classes.dex,dex,5865396,a6816e80d13d2dad05734b7645225d7a1a7e62094eaaca1d792aa3ad0daf2352,DEX,2401688,deflate,
lib/arm64-v8a/libil2cpp.so,libil2cpp.so,so,66634792,ea6c7f99f195450f92058abe0d03a4b97d20fd375ee46ff137ba478ba27d5be5,ELF,17067257,deflate,
lib/arm64-v8a/libmain.so,libmain.so,so,6728,9348cd29bcdec5b677c7124b111a2ebb285bfd6550282619c8fd178f2982eb5d,ELF,2550,deflate,
lib/arm64-v8a/libnativeaudioe7.so,libnativeaudioe7.so,so,108544,994d86b483b7154f04befecedc6bb30e9de39709238aad45bbc242c4476530d9,ELF,59592,deflate,
lib/arm64-v8a/libtapsdkcore.so,libtapsdkcore.so,so,4212056,7bad98791fc3e216429c4b8f976aae664c1cd392695dba8ea2cb60f40eae0a21,ELF,1562425,deflate,
lib/arm64-v8a/libunity.so,libunity.so,so,18791640,d60d2967ce4893082b5e94c647b3b8f799429fb1129b7ac427125199415f2cf3,ELF,8184258,deflate,
lib/armeabi-v7a/libil2cpp.so,libil2cpp.so,so,56224808,be34a021dea84604ddbf9b963ce1b2edd502972586e3e8dd449d011760a1d048,ELF,16967220,deflate,
lib/armeabi-v7a/libmain.so,libmain.so,so,8588,5e292b62989a3aad842aa63b1f1f3dac667c8f3df56e3d21c83bddda26a368f2,ELF,4835,deflate,
lib/armeabi-v7a/libnativeaudioe7.so,libnativeaudioe7.so,so,75452,05648f8c3902d65a8d69fd9ca59debc2885a9419d3eda1ea3c3cf8df175744c5,ELF,47925,deflate,
lib/armeabi-v7a/libtapsdkcore.so,libtapsdkcore.so,so,2788652,4d723cb43aa4e027343a05fc338907d01d832b53417a7afd3823cbcb02438384,ELF,1364913,deflate,
lib/armeabi-v7a/libunity.so,libunity.so,so,14124168,ebac95894b76e7ae2e00f766e1387d7e832eded9cb1c648dc9e8001c0766fb2a,ELF,7594315,deflate,
assets/aa/AddressablesLink/link.xml,link.xml,xml,6063,def0f03c8b29f1a09b30001f0abc1b892aecf419cc5fba45ad331847d6da0d3f,Text/xml,6063,stored,
assets/aa/Android/0001488b03e729136338f081478beb81.bundle,0001488b03e729136338f081478beb81.bundle,bundle,308204,e2cc86f9b78a32cd36eb3360e050059cc83425066066737d0acb5e19b4a68bc8,UnityFS,308204,stored,
assets/aa/Android/001cfe6533943ba17aa0ec4482bef34e.bundle,001cfe6533943ba17aa0ec4482bef34e.bundle,bundle,4162854,a87b6f178c710bd3d4784883aeda4df8b7c86bde3c79bfe5ae7962e11038950a,UnityFS,4162854,stored,
assets/aa/Android/0042bbe663524a2d2f5e9da923eef441.bundle,0042bbe663524a2d2f5e9da923eef441.bundle,bundle,7569,c2445f57b1e21561521ccd2f2deff4f5b1e8e74de2fbd95b3156c72bce16eb39,UnityFS,7569,stored,
assets/aa/Android/0082b94e09acadbd32ce9dd7b2e61763.bundle,0082b94e09acadbd32ce9dd7b2e61763.bundle,bundle,39585,dc8a3597e7ad975cf74f63bd49effba41ea792dce494542d0bb934e9b36385a5,UnityFS,39585,stored,
assets/aa/Android/00b114ad0788ad7402248544ab30f481.bundle,00b114ad0788ad7402248544ab30f481.bundle,bundle,131657,f46889864f353de2e346726ff030e28924c8ff5252f749dcea3a64a21239218d,UnityFS,131657,stored,
