extension,detectedType,fileCount,totalSizeBytes,totalCompressedSizeBytes
bundle,UnityFS,2514,2457840077,2457840077
so,ELF,10,162975428,52855290
resource,SerializedFile/Binary,11,94605389,94605389
,Binary,210,26438660,4543178
split0,Binary,14,14680064,1722673
split1,Binary,11,10486096,697617
dat,IL2CPP-Metadata,1,10310628,2950817
split6,Binary,8,8388608,810880
split2,Binary,8,7466308,1238675
split7,Binary,7,7340032,692504
split8,Binary,7,7340032,868127
split9,Binary,7,6319228,326878
split4,Binary,7,6312992,920040
split3,Binary,6,6291456,1311961
split5,Binary,6,6291456,307748
dex,DEX,1,5865396,2401688
split10,Binary,5,5242880,813147
split16,Binary,5,5242880,568997
split17,Binary,5,5242880,894381
split18,Binary,5,5242880,933093
split21,Binary,5,4699216,812342
split11,Binary,4,4194304,384265
split12,Binary,4,4194304,382375
split13,Binary,4,4194304,176494
split14,Binary,4,4194304,210743
split15,Binary,4,4194304,225135
split20,Binary,4,4194304,1006147
split2,MP3,4,3979052,171821
json,JSON-like,4,3742197,3738685
split22,Binary,4,3666028,780320
assets,SerializedFile/Binary,16,3252819,353838
split1,MP3,3,3145728,378634
split19,Binary,3,3145728,999226
split3,MP3,3,3145728,95298
split23,Binary,3,2139504,656459
split19,MP3,2,2097152,82543
split24,Binary,2,2097152,493877
split25,Binary,2,2097152,643787
split26,Binary,2,2097152,689264
split27,Binary,2,2097152,716924
split28,Binary,2,2097152,740910
split29,Binary,2,2097152,707747
split30,Binary,2,2097152,693549
split31,Binary,2,2097152,722775
split32,Binary,2,2097152,1243794
split4,MP3,2,2097152,137887
split5,MP3,2,2097152,657483
split11,MP3,2,1657076,209462
split33,Binary,2,1134692,709107
split10,MP3,1,1048576,18587
split12,MP3,1,1048576,23385
split13,MP3,1,1048576,114645
split14,MP3,1,1048576,69376
split15,MP3,1,1048576,332801
split20,MP3,1,1048576,19014
split34,Binary,1,1048576,699877
split35,Binary,1,1048576,700678
split36,Binary,1,1048576,696857
split37,Binary,1,1048576,684205
split38,Binary,1,1048576,660093
split39,Binary,1,1048576,613690
split7,MP3,1,1048576,195810
split8,MP3,1,1048576,34712
split9,MP3,1,1048576,72224
dat,Binary,2,363016,135792
png,PNG,71,309919,309919
split40,Binary,1,249988,56519
arsc,AndroidResourcesTable,1,171784,171784
xml,AndroidBinaryXML,88,95588,95588
dat,Text-like,1,93718,7957
xml,Text/xml,1,6063,6063
,Text-like,3,6020,2090
properties,Text-like,7,518,360
version,Text-like,26,156,156
config,Text-like,1,151,126
build_fingerprint,Text-like,1,68,68
