chapterOrder,chapterCode,banner,songOrder,songsId,songsKey,songsName,composer,category,unlockType,secretType,levels,difficulty,illustrator,charter
1,Single,Single,1,星拂云锦featkoi.S9ryne.0,星拂云锦 feat. koi,星拂云锦 feat. koi,S9ryne,extraSongs,1,0,EZ|HD|IN|AT,4.0|9.0|15.5|0.0,青鸟,华星秋月|帷畔托星|灵琶弄月|
1,Single,Single,2,DerSchneid.Ωμεγα.0,Der Schneid,Der Schneid,Ωμεγα,extraSongs,1,0,EZ|HD|IN|AT,7.0|12.0|16.1|17.5,群青kurara feat. 祈莲 & 夏宇Detristy,Der Mut und der Richter|Der Mut und der Richter|Der Mut und der Richter|Gegenmacht der Lords
1,Single,Single,3,夢の降る日に.seatrus.0,夢の降る日に,夢の降る日に,seatrus,extraSongs,1,0,EZ|HD|IN|AT,2.5|9.8|16.6|0.0,翠冷兮,初の赤る澪に|初の赤る澪に|浪の降る日に|
1,Single,Single,4,GungnirFracture.Kryexe.0,Gungnir Fracture,Gungnir Fracture,Kry.exe,extraSongs,1,0,EZ|HD|IN|AT,6.0|11.5|16.6|0.0,PEZZ,Salt|Akko|「Barbarianerman AKA. Alloces」Revive|
1,Single,Single,5,70MinutesFighters.かたぎり.0,70 Minutes Fighters,70 Minutes Fighters,かたぎり,extraSongs,1,0,EZ|HD|IN|AT,7.5|12.5|16.5|0.0,青鸟,ADKY|ADKY|XMT小咩兔 >w<|
1,Single,Single,6,Cleyera.Riya.0,Cleyera,Cleyera,Riya,extraSongs,1,0,EZ|HD|IN|AT,5.0|11.0|15.4|0.0,神居冰绘,--The Last of Barbarianerman--|Su2023fuR|Salt|
1,Single,Single,7,亂舞.NekockLK.0,亂★舞,亂★舞,Nekock·LK,extraSongs,1,0,EZ|HD|IN|AT,2.0|7.5|13.2|0.0,鲸弑,Magazet|Magazet|StR☆1|
1,Single,Single,8,SnowDance.悠叶いのり.0,Snow Dance,Snow Dance,悠叶いのり,extraSongs,1,0,EZ|HD|IN|AT,4.0|8.3|12.4|0.0,群青kurara,Akko|爬爬|The Waltz of Snow|
1,Single,Single,9,下一秒.BobHouSherlock卓智媛feat兰音Reine.0,下一秒,下一秒,Bob Hou & Sherlock卓智媛 feat. 兰音Reine,extraSongs,1,0,EZ|HD|IN|AT,4.0|8.5|13.6|0.0,虚拟九点,Magazet|Magazet|Salt|
1,Single,Single,10,AfterZABANIYAMUGEdit.Daily天利.0,After ZABANIYA (MUG Edit),After ZABANIYA (MUG Edit),Daily天利,extraSongs,1,0,EZ|HD|IN|AT,5.0|10.6|15.8|0.0,Nakaiankow feat. Daily天利,After CHARTER|After CHARTER|After CHARTERS|
1,Single,Single,11,Verruckt.Raimukun.0,Verrückt,Verrückt,Raimukun,extraSongs,1,0,EZ|HD|IN|AT,7.0|12.7|16.5|0.0,AiLANE,Magazet|Magazet|Salt|
1,Single,Single,12,Xenophobia.XinG.0,Xenophobia,Xenophobia,XinG,extraSongs,1,0,EZ|HD|IN|AT,6.5|12.6|14.9|0.0,Ots-15,Skuwo|Skuwo|Skuwo|
1,Single,Single,13,ABYSSMOTION192333.ariiolTSAR奏Sou.0,ABYSS MOTION 192.333,ABYSS MOTION 192.333,ariiol & 奏Sou,extraSongs,1,0,EZ|HD|IN|AT,4.0|9.7|14.7|0.0,kkmfd,ABYSS 543.320|ABYSS 543.320|MOTION 464.237|
1,Single,Single,14,彼方へ名もなき海辺より.打打だいず&月乃.0,彼方へ、名もなき海辺より,彼方へ、名もなき海辺より,打打だいず&月乃,extraSongs,1,0,EZ|HD|IN|AT,3.5|8.1|14.5|0.0,月乃,打打だいずファンクラブ会長 -- Likey！！！|打打だいずファンクラブ会長 -- Likey！！！|打打だいずファンクラブ会長 -- Likey！！！|
1,Single,Single,15,Locomotive.K.0,Locomotive,Locomotive,♠K,extraSongs,1,0,EZ|HD|IN|AT,4.0|9.7|13.5|0.0,Otaku_宅,Minibus|Motorcoach|Monorail|
1,Single,Single,16,最高傑作.PYKAMIA.0,最高傑作,最高傑作,PYKAMIA,extraSongs,1,0,EZ|HD|IN|AT,4.5|9.3|13.9|0.0,Nai Guozi,StR-1|StR-1|_鉄咩兔|
1,Single,Single,17,BANGINGSTRIKE.DewPleiades.0,BANGING STRIKE,BANGING STRIKE,Dew Pleiades,extraSongs,1,0,EZ|HD|IN|AT,5.0|10.2|15.9|16.8,Rutumn feat. 汉堡,adky|adky|Salt & Uvernight|魔王、大咩兔の兄 『大咩免』!!
1,Single,Single,18,000AinSophAur.Yumeji.0,000 -Ain Soph Aur-,000 -Ain Soph Aur-,Yumeji,extraSongs,1,0,EZ|HD|IN|AT,2.5|8.4|14.4|0.0,NerSAN,Magazet|Magazet|啊0哒0咔0哟 & Dilated|
1,Single,Single,19,SolaggyfeatUzumaki.ShrimpCatsはぁち後藤涼輔.0,So laggy! (feat. Uzumaki),So laggy! (feat. Uzumaki),ShrimpCats. (はぁち×後藤涼輔),extraSongs,1,0,EZ|HD|IN|AT,5.0|9.5|14.6|0.0,塩焼とまと,Salt|Salt|Salt|
1,Single,Single,20,RetributionCycleofRedemption.ArdolfvsDaily天利.0,Retribution ~ Cycle of Redemption ~ ,Retribution ~ Cycle of Redemption ~ ,Ardolf vs. Daily天利,extraSongs,1,0,EZ|HD|IN|AT,6.0|11.3|16.2|0.0,死と花の大祭司(ʌᴉoƨმᴉϝ);;,"StR-1 & 右果_Ary|StR-1 & 右果_Ary|Simon_Axis vs. Likey [Respect Ner as ""SP∆DE""]|"
1,Single,Single,21,雪降り雪が降っている.AiSSw夜輪ft結月ゆかり.0,雪降り ~雪が降っている~,雪降り ~雪が降っている~,AiSS w/ 夜輪 ft. 結月ゆかり,extraSongs,1,0,EZ|HD|IN|AT,1.5|7.5|12.0|14.0,Vios.NoFurry.git,Su1fuR|Su1fuR|XMT after BarbarNerSAN|小咩兔的多指课堂 vs. 上课睡大觉
1,Single,Single,22,Helios.NOABotaNya.0,Helios,Helios,NOA(Cortrix) & BotaNya,extraSongs,1,0,EZ|HD|IN|AT,5.5|9.1|14.2|0.0,Spectro,jeitie goes outside|jeitie touches grass|jeitie gets sent to the sun|
1,Single,Single,23,FrozenHeart.A39沙包P.0,Frozen Heart,Frozen Heart,A-39 / 沙包P,extraSongs,1,0,EZ|HD|IN|AT,5.0|10.6|14.6|0.0,山山奇,SantR|SantR|Likey & Gausbon|
1,Single,Single,24,Aliceinaxxxxxxxx.Nagiha.0,Alice in a xxxxxxxx,Alice in a xxxxxxxx,Nagiha,extraSongs,1,0,EZ|HD|IN|AT,5.0|9.5|15.8|0.0,神居冰绘 feat. 祈莲,XMT小咩兔|XMT小咩兔|□MT in a XXXXXXXX|
1,Single,Single,25,宇宙残骸少女CosmicDustyGirl.辻原一郎.0,宇宙残骸少女 (Cosmic Dusty Girl),宇宙残骸少女 (Cosmic Dusty Girl),辻原一郎,extraSongs,1,0,EZ|HD|IN|AT,6.0|10.2|13.7|0.0,TOTOTO ,不喜欢键的COC|不喜欢线的COC|～漂泊者～凹酱|
1,Single,Single,26,SwingSkipDrop.ミハイル.0,Swing Skip Drop,Swing Skip Drop,ミハイル,extraSongs,1,0,EZ|HD|IN|AT,4.5|9.1|15.5|0.0,ディン,Helabot|Helabot|Swing Salt ♪|
1,Single,Single,27,ニライカナイNiraicA_naiMix.roopfromSTR.0,ニライカナイ (NiraicA_nai Mix),ニライカナイ (NiraicA_nai Mix),roop from STR,extraSongs,1,0,EZ|HD|IN|AT,3.0|8.3|13.5|0.0,3z,Barbarianerman|Ctymax respect for STAR TRACK in 2008|Ctymax respect for STAR TRACK in 2008|
1,Single,Single,28,インマイマインド.レシオP.0,インマイマインド,インマイマインド,レシオP,extraSongs,1,0,EZ|HD|IN|AT,1.5|9.2|12.5|0.0,すずか爆弾,Salt|Salt|ネルサン (I make charts slowly)|
1,Single,Single,29,贝多芬祝福BeethovenBlessing.Nauts.0,贝多芬祝福 (Beethoven Blessing),贝多芬祝福 (Beethoven Blessing),Nauts,extraSongs,1,0,EZ|HD|IN|AT,4.5|10.3|15.0|0.0,RM Design Team (青鸟 modified),StupiGGy|Blessing beyond myself.|Salt feat. XMT小咩兔|
1,Single,Single,30,蝎虎天体Lacertid.CreamvsDaily天利.0,蝎虎天体 -Lacertid-,蝎虎天体 -Lacertid-,Cream vs. Daily天利,extraSongs,1,0,EZ|HD|IN|AT,4.5|10.8|15.5|0.0,白 & 小鹏xpeng,StR-1|StR-1|Ctymax vs. IUIsauce -村头烤鱼蘸凹酱-|
1,Single,Single,31,Shelter.MeatyRabbitNceS.0,Shelter,Shelter,MeatyRabbit & NceS,extraSongs,1,0,EZ|HD|IN|AT,3.5|8.8|13.2|0.0,诡异童话,Cluttler with ShelteR|Cluttler with ShelteR|人外侵略地球计划|
1,Single,Single,32,KirakiraNoelStory.RekuMochizuki.0,Kirakira Noel Story!!,Kirakira Noel Story!!,Reku Mochizuki,extraSongs,1,0,EZ|HD|IN|AT,4.0|10.2|14.2|0.0,ナナシ,村头村头 CTY Story!!|头鱼头鱼 MAX Story!!|N\erry Xmas 2024|
1,Single,Single,33,Devotion.Connexio.0,Devotion,Devotion,Connexio,extraSongs,1,0,EZ|HD|IN|AT,4.5|9.6|13.7|0.0,Shimoruchiko,StupiGGy|StupiGGy|Salt|
1,Single,Single,34,白と黒のバケモノ.テヅカ.0,白と黒のバケモノ,白と黒のバケモノ,テヅカ,extraSongs,1,0,EZ|HD|IN|AT,4.0|11.4|15.9|0.0,久世,白|monochrome ILLUSION|Simon_Axis|
1,Single,Single,35,CometFeat符白牙.CNHKSS.0,Comet,Comet,CNHKSS feat. 符白牙,extraSongs,1,0,EZ|HD|IN|AT,3.0|10.5|13.7|0.0,小黄鸡叽叽叽叽叽叽修复中,StaR-1|無彩色|Likey & Barbarianerman|
1,Single,Single,36,valorstarcross.LundyvsWyvren.0,valor/starcross,valor/starcross,Lundy vs. Wyvren,extraSongs,1,0,EZ|HD|IN|AT,6.5|12.7|15.8|0.0,AriaL & 57_dayo [edited by Stelli],vacant/stupiggy|vacant/stupiggy|vesper/straycat|
1,Single,Single,37,FixationsTowardtheStars.Foodbot.0,Fixations Toward the Stars,Fixations Toward the Stars,Foodbot,extraSongs,1,0,EZ|HD|IN|AT,3.5|10.9|14.5|0.0,AriaL [edited by Stelli],Salt|OPENING/Level R|Salt|
1,Single,Single,38,Letempsperdu.Daison.0,Le temps perdu,Le temps perdu,Daison,extraSongs,1,0,EZ|HD|IN|AT,4.0|9.0|12.3|0.0,子狼,Salt|Salt|Likey -For an old friend-|
1,Single,Single,39,Schadenfreude.ZxNX.0,Schadenfreude,Schadenfreude,ZxNX,extraSongs,1,0,EZ|HD|IN|AT,4.5|10.6|15.1|0.0,验光蒸鱼,StuRmwind|StuRmfeuer|''-1''|
1,Single,Single,40,Originally.SNKSMizku.0,Originally,Originally,SNKS & Mizku,extraSongs,1,0,EZ|HD|IN|AT,1.0|9.3|14.5|0.0,Keiby.comics,StR-1|StR-9|StrayCat|
1,Single,Single,41,Thrashforce.KAHvsE0ri4.0,Thrash force,Thrash force,KAH vs. E0ri4,extraSongs,1,0,EZ|HD|IN|AT,4.5|10.7|15.3|0.0,自動車 原付 vs. GAMEBAKA,thrAsh forSe|thrAsh forSe|Uvernight & Su1fuR|
1,Single,Single,42,Grimheart.Puru.0,Grimheart,Grimheart,Puru,extraSongs,1,0,EZ|HD|IN|AT,3.0|8.9|13.8|0.0,临时工 & 倪尔,SimonAxis|SimonAxis|WhiteCat.|
1,Single,Single,43,BoundedQuietude.FiniteLimitvsSiLiS.0,Bounded Quietude,Bounded Quietude,Finite Limit vs SiLiS,extraSongs,1,0,EZ|HD|IN|AT,7.0|7.5|16.2|0.0,Hiro vs Zeth,LonelyKnight|LonelyKnight|孤独な騎士 Against 魔王、大咩兔|
