category,categoryIndex,songsId,songsKey,songsName,composer,illustrator,levels,difficulty,chartUnlockTypes,isCnLimited,hasDifferentMusic,hasDifferentCover
mainSongs,0,Glaciaxion.SunsetRay.0,Glaciaxion,Glaciaxion,SunsetRay,艾若拉,EZ|HD|IN|AT,1.0|6.5|12.6|0.0,0|0|0|0|0,False,False,False
mainSongs,1,EradicationCatastrophe.NceS.0,Eradication Catastrophe,Eradication Catastrophe,NceS,海产,EZ|HD|IN|AT,3.5|7.5|12.7|0.0,0|0|0|0,False,False,False
mainSongs,2,Credits.Frums.0,Credits,Credits,Frums,Ctymax,EZ|HD|IN|AT,4.5|10.4|13.6|15.8,0|0|0|0,False,False,False
mainSongs,3,Dlyrotz.Likey.0,Dlyrotz,Dlyrotz,Likey,DoublePian,EZ|HD|IN|AT,4.0|9.1|13.7|0.0,0|0|0|0,False,False,False
mainSongs,4,EnginexStartmelodymix.CrossingSound.0,Engine x Start!! (melody mix),Engine x Start!! (melody mix),CrossingSound,赤芽,EZ|HD|IN|AT,2.5|8.3|13.2|0.0,0|0|0|0,False,False,False
mainSongs,5,光.姜米條.0,光,光,姜米條,winder,EZ|HD|IN|AT,2.0|7.5|12.4|0.0,0|0|0|0,False,False,False
mainSongs,6,Wintercube.CtymaxfeatNceS.0,Winter ↑cube↓,Winter ↑cube↓,Ctymax feat. NceS,翠冷兮,EZ|HD|IN|AT,3.5|8.2|13.3|0.0,0|0|0|0,False,False,False
mainSongs,7,Cipher20.TetrajectoryfeatCtymax.0,Cipher : /2&//<|0,Cipher : /2&//<|0,Tetrajectory feat. Ctymax,IvyTowers,EZ|HD|IN|AT,5.0|10.3|14.4|0.0,0|0|0|0,False,False,False
mainSongs,8,混乱Confusion.OnlyMyBlackScore.0,混乱-Confusion,混乱-Confusion,Only My Black Score,L-sp4,EZ|HD|IN|AT,4.0|10.0|14.8|0.0,0|0|0|0,False,False,False
mainSongs,9,FULiAUTOSHOOTER.MYUKKE.0,FULi AUTO SHOOTER,FULi AUTO SHOOTER,MYUKKE.,ViscerA & Psycholine,EZ|HD|IN|AT,3.0|9.0|14.9|0.0,0|0|0|0,False,False,False
mainSongs,10,HumaN.SOTUI.0,HumaN,HumaN,SOTUI,CH,EZ|HD|IN|AT,3.0|8.0|12.9|0.0,0|0|0|0,False,False,False
mainSongs,11,PRAW.Bluewind.0,[PRAW],[PRAW],Bluewind,老张,EZ|HD|IN|AT,6.0|10.6|15.1|0.0,0|0|0|0,False,False,False
mainSongs,12,PixelRebelz.Normal1zer.0,Pixel Rebelz,Pixel Rebelz,Normal1zer,艾是Abby,EZ|HD|IN|AT,4.5|9.7|15.3|0.0,0|0|0|0,False,False,False
mainSongs,13,Cereris.SunsetRayNceS.0,Cereris,Cereris,SunsetRay/NceS,IvyTowers,EZ|HD|IN|AT,5.5|10.9|14.7|0.0,0|0|0|0,False,False,False
mainSongs,14,NonMelodicRagezMUGEdit.Normal1zer.0,Non-Melodic Ragez (MUG Edit),Non-Melodic Ragez (MUG Edit),Normal1zer,cycats,EZ|HD|IN|AT,5.5|11.6|16.1|0.0,0|0|0|0,False,False,False
mainSongs,15,SultanRage.MonstDeath.0,Sultan Rage,Sultan Rage,MonstDeath,笔记RE,EZ|HD|IN|AT,4.0|7.0|12.2|0.0,0|0|0|0,False,False,False
mainSongs,16,ClassMemories.AntistarfeatCtymax.0,Class Memories,Class Memories,Antistar feat. Ctymax,xperz,EZ|HD|IN|AT,6.0|10.8|13.8|0.0,0|0|0|0,False,False,False
