typeIndex,namespace,typeName,fullName,fields,methods,metadataConfidence,evidence,auditInterpretation
5702,,Chapter,Chapter,chapterCode;songInfo;unlockInfo,.ctor,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,"Chapter/chapter song records expose chapterCode and songs/songsId fields, but no serialized instance values were recovered"
5703,,ChapterSongInfo,ChapterSongInfo,title;subTitle;banner;songs;<songsBypassLimited>k__BackingField,get_songsBypassLimited;set_songsBypassLimited;.ctor,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,"Chapter/chapter song records expose chapterCode and songs/songsId fields, but no serialized instance values were recovered"
5704,,ChapterSongItem,ChapterSongItem,songsId;unlockType;unlockInfo;secretType;secretInfo,.ctor,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,"Chapter/chapter song records expose chapterCode and songs/songsId fields, but no serialized instance values were recovered"
5869,,ChapterInfo,ChapterInfo,chapterCode;songInfo;unlockInfo;coverAssetCode;coverBlurAssetCode;openAnimation;cover;coverBlur;play;locked;unlockTip;moreInfo;banner;title;subTitle;allSongNum;clearSongNum;fullComboSongNum;phiSongNum;open,.ctor,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,"Chapter/chapter song records expose chapterCode and songs/songsId fields, but no serialized instance values were recovered"
5912,,CollectionSong,CollectionSong,index;chapterTitle;allNum;collectedNum;progressBar;chapterTitleText;pregressText;newCollectionsNum;collectionTexts,.ctor,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,Chart model or track asset-id helper; not a recovered song-level metadata table
5928,,SpecialSongNameReplacement,SpecialSongNameReplacement,songId;replacementObject,.ctor,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,Chart model or track asset-id helper; not a recovered song-level metadata table
5937,,Chart,Chart,formatVersion;offset;judgeLineList,Mirror;GetNoteCount;.ctor,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,Chart model or track asset-id helper; not a recovered song-level metadata table
5938,,LevelInformation,LevelInformation,speed;offset;noteScale;scale;numOfNotes;judgeLineList;chartNoteSortByTime;judgeLineOfCutIn;backgroundBlack;judgeLines;stopBeforeBegan;aPfCisOn;floorPositions;chartLoaded;levelBegan;levelOver;canLevelOver;canPause;hitFxIsOn;musicVol;_judgeLineColorSetOver,Start;Update;.ctor;.cctor,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,UI/model level and difficulty members are present; numeric per-track display values were not recovered
5951,,SpecialSongNameReplacement,SpecialSongNameReplacement,songId;replacementObject,.ctor,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,Chart model or track asset-id helper; not a recovered song-level metadata table
6042,,LevelInfo,LevelInfo,mainObject;level;difficulty,SetActive;UpdateInfo;HideInfo;UpdatePosition;.ctor,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,UI/model level and difficulty members are present; numeric per-track display values were not recovered
6048,,SpecialSongNameReplacement,SpecialSongNameReplacement,songId;replacementObject,.ctor,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,Chart model or track asset-id helper; not a recovered song-level metadata table
6050,,SongListItem,SongListItem,songName;difficulty;locked;ratingDisplayController;specialSongNameReplacements;_rectTransform,set_RectPos;SetRating;SetRatingWithScore;ReplaceSongNameWithImage;.ctor;<ReplaceSongNameWithImage>g__SetActiveStatus|10_3,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,UI/model level and difficulty members are present; numeric per-track display values were not recovered
6096,,IdBuilder,IdBuilder,,BuildCoverImageId;BuildBlurImageId;BuildLowResImageId;BuildBackgroundImageId;BuildBlurBackgroundImageId,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,Chart model or track asset-id helper; not a recovered song-level metadata table
6099,,SortBySongBase,SortBySongBase,songData,.ctor,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table,Chart model or track asset-id helper; not a recovered song-level metadata table
