candidateType,candidate,trackFolder,title,artist,indexRaw,uniqueWithinCurrentApk,crossVersionValidated,renameResistance,extractability,phase6Suitability,confidence,evidence
full-track-folder,Assets/Tracks/000AinSophAur.Yumeji.0/,000AinSophAur.Yumeji.0,000AinSophAur,Yumeji,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/000AinSophAur.Yumeji.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/70MinutesFighters.かたぎり.0/,70MinutesFighters.かたぎり.0,70MinutesFighters,かたぎり,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/70MinutesFighters.かたぎり.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/996.李化禹.0/,996.李化禹.0,996,李化禹,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/996.李化禹.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/,ABYSSMOTION192333.ariiolTSAR奏Sou.0,ABYSSMOTION192333,ariiolTSAR奏Sou,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/ATHAZA.LeaF.0/,ATHAZA.LeaF.0,ATHAZA,LeaF,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/ATHAZA.LeaF.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/,AbsoluTedisoRdeR.AcuteDisarray.0,AbsoluTedisoRdeR,AcuteDisarray,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Adastraperaspera.RabbitHouse.0/,Adastraperaspera.RabbitHouse.0,Adastraperaspera,RabbitHouse,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Adastraperaspera.RabbitHouse.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/AfterDawn.S9ryne.0/,AfterDawn.S9ryne.0,AfterDawn,S9ryne,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/AfterDawn.S9ryne.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/,AfterZABANIYAMUGEdit.Daily天利.0,AfterZABANIYAMUGEdit,Daily天利,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/,Ajourneytothemoonlight.Yesod.0,Ajourneytothemoonlight,Yesod,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Ajourneytothemoonlight.Yesod.0/; 2 catalog rows for Illustration key
full-track-folder,Assets/Tracks/Alb.Avans.0/,Alb.Avans.0,Alb,Avans,0,True,False,low-to-medium: title/artist tokens are embedded in key,high,best available candidate pending APK pair,medium,Addressables key prefix Assets/Tracks/Alb.Avans.0/; 2 catalog rows for Illustration key
