typeIndex,namespace,typeName,fullName,fieldStart,fieldCount,methodStart,methodCount,fields,methods,flags,bitfield,token,metadataConfidence,evidence
53,Mono.Globalization.Unicode,Level2Map,Mono.Globalization.Unicode.Level2Map,229,2,174,1,Source;Replace,.ctor,1048576,3072,33554486,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
424,,LowLevelStack,LowLevelStack,1820,2,4294,4,_arr;_count,.ctor;Pop;Push;Clear,1048835,3072,33554858,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
612,System.Threading.Tasks,CausalityTraceLevel,System.Threading.Tasks.CausalityTraceLevel,2857,4,4294967295,0,value__;Required;Important;Verbose,,256,3091,33555045,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
791,System.Security.Principal,TokenImpersonationLevel,System.Security.Principal.TokenImpersonationLevel,3460,6,4294967295,0,value__;None;Anonymous;Identification;Impersonation;Delegation,,257,3091,33555224,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
832,System.Runtime.Remoting.Services,ITrackingHandler,System.Runtime.Remoting.Services.ITrackingHandler,4294967295,0,7052,3,,DisconnectedObject;MarshaledObject;UnmarshaledObject,161,3072,33555265,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
833,System.Runtime.Remoting.Services,TrackingServices,System.Runtime.Remoting.Services.TrackingServices,3606,1,7055,4,_handlers,NotifyMarshaledObject;NotifyUnmarshaledObject;NotifyDisconnectedObject;.cctor,1048577,3080,33555266,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
848,System.Runtime.Remoting.Contexts,DynamicPropertyCollection,System.Runtime.Remoting.Contexts.DynamicPropertyCollection,3660,1,7171,6,_properties,get_HasProperties;RegisterDynamicProperty;UnregisterDynamicProperty;NotifyMessage;FindProperty;.ctor,1048576,3072,33555280,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
878,System.Runtime.Remoting.Activation,AppDomainLevelActivator,System.Runtime.Remoting.Activation.AppDomainLevelActivator,3686,2,7259,3,_activationUrl;_next,.ctor;get_NextActivator;Activate,1048576,3072,33555311,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
879,System.Runtime.Remoting.Activation,ConstructionLevelActivator,System.Runtime.Remoting.Activation.ConstructionLevelActivator,4294967295,0,7262,3,,get_NextActivator;Activate;.ctor,1056768,3072,33555312,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
880,System.Runtime.Remoting.Activation,ContextLevelActivator,System.Runtime.Remoting.Activation.ContextLevelActivator,3688,1,7265,3,m_NextActivator,.ctor;get_NextActivator;Activate,1056768,3072,33555313,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
987,System.Runtime.Serialization.Formatters,TypeFilterLevel,System.Runtime.Serialization.Formatters.TypeFilterLevel,3979,3,4294967295,0,value__;Low;Full,,257,3091,33555420,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1032,,TopLevelAssemblyTypeResolver,TopLevelAssemblyTypeResolver,4339,1,8150,2,m_topLevelAssembly,.ctor;ResolveType,1048837,3072,33555466,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1532,System.Diagnostics.Tracing,EventLevel,System.Diagnostics.Tracing.EventLevel,6620,7,4294967295,0,value__;LogAlways;Critical;Error;Warning;Informational;Verbose,,257,3091,33555965,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1541,System.Collections,Comparer,System.Collections.Comparer,6659,3,12223,5,_compareInfo;Default;DefaultInvariant,.ctor;.ctor;GetObjectData;Compare;.cctor,1057025,3080,33555974,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1542,System.Collections,DictionaryEntry,System.Collections.DictionaryEntry,6662,2,12228,3,_key;_value,.ctor;get_Key;get_Value,1057033,3073,33555975,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1543,System.Collections,HashHelpers,System.Collections.HashHelpers,6664,2,12231,5,primes;s_serializationInfoTable,IsPrime;GetPrime;ExpandPrime;get_SerializationInfoTable;.cctor,1048960,3080,33555976,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1544,System.Collections,ICollection,System.Collections.ICollection,4294967295,0,12236,4,,CopyTo;get_Count;get_SyncRoot;get_IsSynchronized,161,3072,33555977,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1545,System.Collections,IComparer,System.Collections.IComparer,4294967295,0,12240,1,,Compare,161,3072,33555978,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1546,System.Collections,IDictionary,System.Collections.IDictionary,4294967295,0,12241,11,,get_Item;set_Item;get_Keys;get_Values;Contains;Add;Clear;get_IsReadOnly;get_IsFixedSize;GetEnumerator;Remove,161,3072,33555979,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1547,System.Collections,IDictionaryEnumerator,System.Collections.IDictionaryEnumerator,4294967295,0,12252,3,,get_Key;get_Value;get_Entry,161,3072,33555980,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1548,System.Collections,IEnumerable,System.Collections.IEnumerable,4294967295,0,12255,1,,GetEnumerator,161,3072,33555981,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1549,System.Collections,IEnumerator,System.Collections.IEnumerator,4294967295,0,12256,3,,MoveNext;get_Current;Reset,161,3072,33555982,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1550,System.Collections,IEqualityComparer,System.Collections.IEqualityComparer,4294967295,0,12259,2,,Equals;GetHashCode,161,3072,33555983,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1551,System.Collections,IList,System.Collections.IList,4294967295,0,12261,11,,get_Item;set_Item;Add;Contains;Clear;get_IsReadOnly;get_IsFixedSize;IndexOf;Insert;Remove;RemoveAt,161,3072,33555984,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1552,System.Collections,IStructuralComparable,System.Collections.IStructuralComparable,4294967295,0,12272,1,,CompareTo,161,3072,33555985,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1553,System.Collections,IStructuralEquatable,System.Collections.IStructuralEquatable,4294967295,0,12273,2,,Equals;GetHashCode,161,3072,33555986,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1556,,NodeKeyValueCollection,NodeKeyValueCollection,6674,2,12299,6,list;isKeys,.ctor;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_Count;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.IEnumerable.GetEnumerator,1048579,3072,33555989,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1558,System.Collections,ListDictionaryInternal,System.Collections.ListDictionaryInternal,6666,4,12275,17,head;version;count;_syncRoot,.ctor;get_Item;set_Item;get_Count;get_Keys;get_IsReadOnly;get_IsFixedSize;get_IsSynchronized;get_SyncRoot;get_Values;Add;Clear;Contains;CopyTo;GetEnumerator;System.Collections.IEnumerable.GetEnumerator;Remove,1056768,3072,33555987,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1559,System.Collections,CompatibleComparer,System.Collections.CompatibleComparer,6684,2,12310,6,_hcp;_comparer,.ctor;get_HashCodeProvider;get_Comparer;Equals;Compare;GetHashCode,1057024,3072,33555992,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1560,System.Collections,CaseInsensitiveComparer,System.Collections.CaseInsensitiveComparer,6686,1,12316,3,_compareInfo,.ctor;.ctor;Compare,1056769,3072,33555993,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1561,System.Collections,CaseInsensitiveHashCodeProvider,System.Collections.CaseInsensitiveHashCodeProvider,6687,1,12319,3,_compareInfo,.ctor;.ctor;GetHashCode,1056769,3072,33555994,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1562,System.Collections,CollectionBase,System.Collections.CollectionBase,6688,1,12322,28,_list,.ctor;get_InnerList;get_List;get_Count;Clear;RemoveAt;System.Collections.IList.get_IsReadOnly;System.Collections.IList.get_IsFixedSize;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.ICollection.CopyTo;System.Collections.IList.get_Item;System.Collections.IList.set_Item;System.Collections.IList.Contains;System.Collections.IList.Add;System.Collections.IList.Remove;System.Collections.IList.IndexOf;System.Collections.IList.Insert;GetEnumerator;OnSet;OnInsert;OnClear;OnRemove;OnValidate;OnSetComplete;OnInsertComplete;OnClearComplete;OnRemoveComplete,1056897,3072,33555995,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1565,System.Collections,Queue,System.Collections.Queue,6689,7,12350,15,_array;_head;_tail;_size;_growFactor;_version;_syncRoot,.ctor;.ctor;.ctor;.ctor;get_Count;Clone;get_IsSynchronized;get_SyncRoot;CopyTo;Enqueue;GetEnumerator;Dequeue;Peek;GetElement;SetCapacity,1056769,3072,33555996,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1566,System.Collections,ReadOnlyCollectionBase,System.Collections.ReadOnlyCollectionBase,6700,1,12370,7,_list,get_InnerList;get_Count;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.ICollection.CopyTo;GetEnumerator;.ctor,1056897,3072,33555999,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1572,System.Collections,SortedList,System.Collections.SortedList,6701,8,12377,34,keys;values;_size;version;comparer;keyList;valueList;_syncRoot,.ctor;Init;.ctor;.ctor;Add;set_Capacity;get_Count;get_Keys;get_Values;get_IsReadOnly;get_IsFixedSize;get_IsSynchronized;get_SyncRoot;Clear;Clone;Contains;ContainsKey;ContainsValue;CopyTo;EnsureCapacity;GetByIndex;System.Collections.IEnumerable.GetEnumerator;GetEnumerator;GetKey;GetKeyList;GetValueList;get_Item;set_Item;IndexOfKey;IndexOfValue;Insert;RemoveAt;Remove;Synchronized,1056769,3072,33556000,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1575,System.Collections,Stack,System.Collections.Stack,6722,5,12477,12,_array;_size;_version;_syncRoot;_defaultCapacity,.ctor;.ctor;get_Count;get_IsSynchronized;get_SyncRoot;Clear;Clone;CopyTo;GetEnumerator;Peek;Pop;Push,1056769,3072,33556006,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1577,System.Collections,BitArray,System.Collections.BitArray,6731,4,12494,16,m_array;m_length;_version;_syncRoot,.ctor;.ctor;.ctor;get_Item;set_Item;Get;Set;get_Length;set_Length;CopyTo;get_Count;get_SyncRoot;get_IsSynchronized;Clone;GetEnumerator;GetArrayLength,1057025,3072,33556009,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1582,System.Collections,ArrayList,System.Collections.ArrayList,6739,6,12515,33,_items;_size;_version;_syncRoot;_defaultCapacity;MaxArrayLength,.ctor;.ctor;.ctor;set_Capacity;get_Count;get_IsFixedSize;get_IsReadOnly;get_IsSynchronized;get_SyncRoot;get_Item;set_Item;Adapter;Add;AddRange;Clear;Clone;Contains;CopyTo;CopyTo;CopyTo;EnsureCapacity;GetEnumerator;IndexOf;Insert;InsertRange;ReadOnly;Remove;RemoveAt;RemoveRange;Sort;Sort;ToArray;ToArray,1056769,3072,33556011,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1584,,KeyCollection,KeyCollection,6778,1,12648,6,_hashtable,.ctor;CopyTo;GetEnumerator;get_IsSynchronized;get_SyncRoot;get_Count,1056771,3072,33556018,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1585,,ValueCollection,ValueCollection,6779,1,12654,6,_hashtable,.ctor;CopyTo;GetEnumerator;get_IsSynchronized;get_SyncRoot;get_Count,1056771,3072,33556019,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1589,System.Collections,Hashtable,System.Collections.Hashtable,6753,22,12606,42,HashPrime;InitialSize;LoadFactorName;VersionName;ComparerName;HashCodeProviderName;HashSizeName;KeysName;ValuesName;KeyComparerName;_buckets;_count;_occupancy;_loadsize;_loadFactor;_version;_isWriterInProgress;_keys;_values;_keycomparer;_syncRoot;s_serializationInfoTable,get_SerializationInfoTable;.ctor;.ctor;.ctor;.ctor;.ctor;.ctor;.ctor;.ctor;InitHash;Add;Clear;Clone;Contains;ContainsKey;CopyKeys;CopyEntries;CopyTo;CopyValues;get_Item;set_Item;expand;rehash;UpdateVersion;rehash;System.Collections.IEnumerable.GetEnumerator;GetEnumerator;GetHash;get_IsReadOnly;get_IsFixedSize;get_IsSynchronized;KeyEquals;get_Keys;get_Values;Insert;putEntry;Remove;get_SyncRoot;get_Count;Synchronized;GetObjectData;OnDeserialization,1056769,3072,33556016,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1590,System.Collections,IHashCodeProvider,System.Collections.IHashCodeProvider,4294967295,0,12690,1,,GetHashCode,161,3072,33556023,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1594,System.Collections.Concurrent,ConcurrentQueue`1,System.Collections.Concurrent.ConcurrentQueue`1,6788,3,12691,18,_crossSegmentLock;_tail;_head,.ctor;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.IEnumerable.GetEnumerator;ToArray;get_Count;GetCount;GetCount;CopyTo;GetEnumerator;SnapForObservation;GetItemWhenAvailable;Enumerate;Enqueue;EnqueueSlow;TryDequeue;TryDequeueSlow,1056769,3072,33556024,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1595,System.Collections.Concurrent,PaddedHeadAndTail,System.Collections.Concurrent.PaddedHeadAndTail,6810,2,4294967295,0,Head;Tail,,1048848,17,33556028,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1596,System.Collections.Concurrent,CDSCollectionETWBCLProvider,System.Collections.Concurrent.CDSCollectionETWBCLProvider,6812,1,12721,3,Log,.ctor;ConcurrentDictionary_AcquiringAllLocks;.cctor,1048832,3084,33556029,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1601,System.Collections.Concurrent,ConcurrentDictionary`2,System.Collections.Concurrent.ConcurrentDictionary`2,6813,8,12724,64,_tables;_comparer;_growLockArray;_budget;_serializationArray;_serializationConcurrencyLevel;_serializationCapacity;s_isValueWriteAtomic,"IsValueWriteAtomic;.ctor;.ctor;InitializeFromCollection;.ctor;TryAdd;ContainsKey;TryRemove;TryRemoveInternal;TryGetValue;TryGetValueInternal;Clear;System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.CopyTo;ToArray;CopyToPairs;CopyToEntries;CopyToObjects;GetEnumerator;TryAddInternal;get_Item;set_Item;ThrowKeyNotFoundException;ThrowKeyNullException;get_Count;GetCountInternal;GetOrAdd;GetOrAdd;System.Collections.Generic.IDictionary<TKey,TValue>.Add;System.Collections.Generic.IDictionary<TKey,TValue>.Remove;get_Keys;System.Collections.Generic.IReadOnlyDictionary<TKey,TValue>.get_Keys;get_Values;System.Collections.Generic.IReadOnlyDictionary<TKey,TValue>.get_Values;System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.Add;System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.Contains;System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.get_IsReadOnly;System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.Remove;System.Collections.IEnumerable.GetEnumerator;System.Collections.IDictionary.Add;System.Collections.IDictionary.Contains;System.Collections.IDictionary.GetEnumerator;System.Collections.IDictionary.get_IsFixedSize;System.Collections.IDictionary.get_IsReadOnly;System.Collections.IDictionary.get_Keys;System.Collections.IDictionary.Remove;System.Collections.IDictionary.get_Values;System.Collections.IDictionary.get_Item;System.Collections.IDictionary.set_Item;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;GrowTable;GetBucket;GetBucketAndLockNo;get_DefaultConcurrencyLevel;AcquireAllLocks;AcquireLocks;ReleaseLocks;GetKeys;GetValues;OnSerializing;OnSerialized;OnDeserialized;.cctor",1056769,3080,33556030,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1602,System.Collections.Concurrent,IDictionaryDebugView`2,System.Collections.Concurrent.IDictionaryDebugView`2,4294967295,0,4294967295,0,,,1048832,3072,33556035,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
1603,System.Collections.Concurrent,IProducerConsumerCollectionDebugView`1,System.Collections.Concurrent.IProducerConsumerCollectionDebugView`1,4294967295,0,4294967295,0,,,1048832,3072,33556036,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
