path,type,semanticRole,confidence,evidence,relatedFiles,rhythmArchiveRelevance
META-INF/com/android/build/gradle/app-metadata.properties,Text-like,APK signing/provenance metadata,confirmed,META-INF path and ZIP role,AndroidManifest.xml,audit provenance only; never publish
classes.dex,DEX,Android/Dalvik bytecode,confirmed,DEX magic and classes*.dex path,AndroidManifest.xml;lib/*,Android shell only
lib/arm64-v8a/libil2cpp.so,ELF,Unity IL2CPP native player,confirmed,ELF magic plus ABI path; libil2cpp/libunity names and both ABIs enumerated,assets/bin/Data/Managed/Metadata/global-metadata.dat;AndroidManifest.xml,runtime/code evidence; no direct gallery ingestion
lib/arm64-v8a/libmain.so,ELF,Unity/Android native plugin,confirmed,ELF magic plus ABI path; libil2cpp/libunity names and both ABIs enumerated,assets/bin/Data/Managed/Metadata/global-metadata.dat;AndroidManifest.xml,runtime/code evidence; no direct gallery ingestion
lib/arm64-v8a/libnativeaudioe7.so,ELF,Unity/Android native plugin,confirmed,ELF magic plus ABI path; libil2cpp/libunity names and both ABIs enumerated,assets/bin/Data/Managed/Metadata/global-metadata.dat;AndroidManifest.xml,runtime/code evidence; no direct gallery ingestion
lib/arm64-v8a/libtapsdkcore.so,ELF,Unity/Android native plugin,confirmed,ELF magic plus ABI path; libil2cpp/libunity names and both ABIs enumerated,assets/bin/Data/Managed/Metadata/global-metadata.dat;AndroidManifest.xml,runtime/code evidence; no direct gallery ingestion
lib/arm64-v8a/libunity.so,ELF,Unity engine native library,confirmed,ELF magic plus ABI path; libil2cpp/libunity names and both ABIs enumerated,assets/bin/Data/Managed/Metadata/global-metadata.dat;AndroidManifest.xml,runtime/code evidence; no direct gallery ingestion
lib/armeabi-v7a/libil2cpp.so,ELF,Unity IL2CPP native player,confirmed,ELF magic plus ABI path; libil2cpp/libunity names and both ABIs enumerated,assets/bin/Data/Managed/Metadata/global-metadata.dat;AndroidManifest.xml,runtime/code evidence; no direct gallery ingestion
lib/armeabi-v7a/libmain.so,ELF,Unity/Android native plugin,confirmed,ELF magic plus ABI path; libil2cpp/libunity names and both ABIs enumerated,assets/bin/Data/Managed/Metadata/global-metadata.dat;AndroidManifest.xml,runtime/code evidence; no direct gallery ingestion
lib/armeabi-v7a/libnativeaudioe7.so,ELF,Unity/Android native plugin,confirmed,ELF magic plus ABI path; libil2cpp/libunity names and both ABIs enumerated,assets/bin/Data/Managed/Metadata/global-metadata.dat;AndroidManifest.xml,runtime/code evidence; no direct gallery ingestion
lib/armeabi-v7a/libtapsdkcore.so,ELF,Unity/Android native plugin,confirmed,ELF magic plus ABI path; libil2cpp/libunity names and both ABIs enumerated,assets/bin/Data/Managed/Metadata/global-metadata.dat;AndroidManifest.xml,runtime/code evidence; no direct gallery ingestion
lib/armeabi-v7a/libunity.so,ELF,Unity engine native library,confirmed,ELF magic plus ABI path; libil2cpp/libunity names and both ABIs enumerated,assets/bin/Data/Managed/Metadata/global-metadata.dat;AndroidManifest.xml,runtime/code evidence; no direct gallery ingestion
