sourcePath,sourceFile,unityVersion,pathId,name,width,height,textureFormat,catalogKeys,readError
assets/aa/Android/001cfe6533943ba17aa0ec4482bef34e.bundle,001cfe6533943ba17aa0ec4482bef34e.bundle,2022.3.62f2,3830308659511549586,Illustration,2048,1080,3,Assets/Tracks/最高傑作.PYKAMIA.0/Illustration.jpg;ea2ba0eee7c7c3842810297c6303d18d,
assets/aa/Android/0042bbe663524a2d2f5e9da923eef441.bundle,0042bbe663524a2d2f5e9da923eef441.bundle,2022.3.62f2,-4159639242706059892,Credits,128,128,34,263b331b4b0cf9d4992efd8905a115e1;avatar.Credits,
assets/aa/Android/00c7a7ed48e7444964562a038af4ba28.bundle,00c7a7ed48e7444964562a038af4ba28.bundle,2022.3.62f2,-3137156038874173059,IllustrationBlur,256,135,3,Assets/Tracks/Reimei.影虎.0/IllustrationBlur.jpg;bbcb335d64a62da419e7afe667c9176e,
assets/aa/Android/012377411e39f35c22e464a7bd504e71.bundle,012377411e39f35c22e464a7bd504e71.bundle,2022.3.62f2,-6920210146069183177,cycats_6,128,128,34,avatar.cycats_6;e5492129823ff194a8c7bb32a995632e,
assets/aa/Android/018f410dabe6f116f657afb1c1508e5f.bundle,018f410dabe6f116f657afb1c1508e5f.bundle,2022.3.62f2,-2365142857608775895,IllustrationBlur,256,135,3,Assets/Tracks/GOODRAGE.EBIMAYO.0/IllustrationBlur.jpg;c87734b27a613cb41952bcfb9390cc53,
assets/aa/Android/0199cf235e43a0fe2c37ca19fd54dc3e.bundle,0199cf235e43a0fe2c37ca19fd54dc3e.bundle,2022.3.62f2,-9029844883474758986,Illustration,2048,1080,3,Assets/Tracks/大和撫子WildDances.adapatorvsDRIVE.0/Illustration.jpg;abf3d3f172a71d4498ac3eb0f7d8bca8,
assets/aa/Android/01c332e88491f117becdb80a9db3d950.bundle,01c332e88491f117becdb80a9db3d950.bundle,2022.3.62f2,5155934348444830905,RotaenoBlur,1024,540,3,6c4c328fb74a44743a5ce98a77ecbe7c;Assets/Tracks/#ChapterCover/RotaenoBlur.jpg,
assets/aa/Android/01ddf689e7527cb73fd4db331125e48f.bundle,01ddf689e7527cb73fd4db331125e48f.bundle,2022.3.62f2,628195906802636929,IllustrationBlur,256,135,3,4ec72eb930fd41a4c8fcfef8c7d9373e;Assets/Tracks/ComputeItWithSomeDevilishAlcoholicSteampunkEngines.かめりあ.0/IllustrationBlur.jpg,
assets/aa/Android/01e175d63ee4437792d353ab819458a6.bundle,01e175d63ee4437792d353ab819458a6.bundle,2022.3.62f2,-5537813774941271326,MainStory8_0S,1024,540,3,Assets/Tracks/#ChapterCover/MainStory8_0S.jpg;b497c2f8e1224d74ba27d2eeaed8f6ac,
assets/aa/Android/02209f5545f3f72755ae2d9d7704a74b.bundle,02209f5545f3f72755ae2d9d7704a74b.bundle,2022.3.62f2,5900519027176287573,Illustration,2048,1080,3,0a3e25221eb44794eb5991c51c6f6504;Assets/Tracks/CraveWave.LandRoot.0/Illustration.jpg,
assets/aa/Android/02297ab7d0a02e397e157ac6bf53701a.bundle,02297ab7d0a02e397e157ac6bf53701a.bundle,2022.3.62f2,-3032310865375162641,IllustrationBlur,256,135,3,00050b1e8cfd15b4481435c618bf76ca;Assets/Tracks/AvataarReincarnationofKalpa.ScarletteakaCrYmson.0/IllustrationBlur.jpg,
assets/aa/Android/02b5ba0d3ca815410e2f54517987f657.bundle,02b5ba0d3ca815410e2f54517987f657.bundle,2022.3.62f2,-6820383809147522211,IllustrationBlur,256,135,3,75e1b4cd5f9998949993727d58600e6b;Assets/Tracks/青丘.BLACK0.0/IllustrationBlur.jpg,
assets/aa/Android/02c6b6406c32b0c961f2fb6b92154c9e.bundle,02c6b6406c32b0c961f2fb6b92154c9e.bundle,2022.3.62f2,7957456736346542432,Illustration,2048,1080,3,4dd216eb8f0cabc4ab53e3fde61351bf;Assets/Tracks/DeadSoul.SoundSouler.0/Illustration.jpg,
assets/aa/Android/02da8ef6b4b7303c0d4fd6050008e726.bundle,02da8ef6b4b7303c0d4fd6050008e726.bundle,2022.3.62f2,6668880792173256802,IllustrationBlur,256,135,3,Assets/Tracks/HardcoreKwaya.EnFr.0/IllustrationBlur.jpg;a7cd9274bb0c9944a87e7a278b36976e,
assets/aa/Android/030cf4c1cc3dcdfef5aa49c45e4bd263.bundle,030cf4c1cc3dcdfef5aa49c45e4bd263.bundle,2022.3.62f2,-1114005269098594777,IllustrationLowRes,512,270,3,9cfcfc9ee257ea143be3ab89dbf8ab98;Assets/Tracks/ClassMemories.AntistarfeatCtymax.0/IllustrationLowRes.jpg,
assets/aa/Android/031851ae60b58e28f77bcb80c2953b39.bundle,031851ae60b58e28f77bcb80c2953b39.bundle,2022.3.62f2,-2172984592776827548,Illustration,2048,1080,3,Assets/Tracks/FindMe.Kforest.0/Illustration.jpg;e93b2b4d4816bcf4ca24f48a8538febf,
assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,2022.3.62f2,-4176990027770557684,外环,2048,2048,47,,
assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,2022.3.62f2,5628524598228131519,内环,2048,2048,47,,
assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,2022.3.62f2,6102254870867016711,中环,2048,2048,47,,
assets/aa/Android/0346140741c62ef259fa0026be1c37d1.bundle,0346140741c62ef259fa0026be1c37d1.bundle,2022.3.62f2,-4090321140401234401,IllustrationBlur,256,135,3,441b615110a7ee64e877646105010486;Assets/Tracks/贝多芬祝福BeethovenBlessing.Nauts.0/IllustrationBlur.jpg,
assets/aa/Android/039d2de8024840751fbf00cb47bc8193.bundle,039d2de8024840751fbf00cb47bc8193.bundle,2022.3.62f2,-8369108146753940790,Illustration,2048,1080,3,077ac91fad5acfc4c8c2fdcd498690a0;Assets/Tracks/玩具狂奏曲終焉.きくお.0/Illustration.jpg,
assets/aa/Android/039d88335e36051d276d0cb5fe10db7f.bundle,039d88335e36051d276d0cb5fe10db7f.bundle,2022.3.62f2,6374714784889981867,TEA12Blur,1024,540,3,4972eed5f745fc045be38d9ff509e8ff;Assets/Tracks/#ChapterCover/TEA12Blur.jpg,
assets/aa/Android/0430cc7ba23c2714022a3048f5151aec.bundle,0430cc7ba23c2714022a3048f5151aec.bundle,2022.3.62f2,-4980267285436300687,IllustrationLowRes,512,270,3,Assets/Tracks/ENERGYSYNERGYMATRIX.Tanchiky.0/IllustrationLowRes.jpg;faecc28a0d7dd034aac5f537c75d56b6,
assets/aa/Android/04932a222c746fa7cc2e6fe127c5fd59.bundle,04932a222c746fa7cc2e6fe127c5fd59.bundle,2022.3.62f2,-11347217895960884,IllustrationLowRes,512,270,3,4b810a695362f5e4c9022f30783c4d4b;Assets/Tracks/Lyrith迷宮リリス.ユメミド.0/IllustrationLowRes.jpg,
assets/aa/Android/0519b5085b7cd884134daf76c8e064c5.bundle,0519b5085b7cd884134daf76c8e064c5.bundle,2022.3.62f2,5617538967967325094,Illustration,2048,1080,3,Assets/Tracks/星拂云锦featkoi.S9ryne.0/Illustration.jpg;e752199011c855e4d9054a0811ecbf0e,
assets/aa/Android/052748b967e6c150c339558ceb946405.bundle,052748b967e6c150c339558ceb946405.bundle,2022.3.62f2,-4461566636115411805,Illustration,2048,1080,3,Assets/Tracks/Verruckt.Raimukun.0/Illustration.jpg;b427cc2f219099b4f9e3252146935be1,
assets/aa/Android/054ef9f173b435078c3faa4c3d1c7f6c.bundle,054ef9f173b435078c3faa4c3d1c7f6c.bundle,2022.3.62f2,8199081433184471195,Feast9,128,128,34,avatar.Feast9;ec9abc64df8addf4a99a4b1007b66d4d,
assets/aa/Android/05a8f69931dd8e011656196b2b31bafc.bundle,05a8f69931dd8e011656196b2b31bafc.bundle,2022.3.62f2,-6978298322743924675,IllustrationLowRes,512,270,3,715c3fba70108814cab931b9c480df51;Assets/Tracks/Realms.HinkikAHimitsu.0/IllustrationLowRes.jpg,
assets/aa/Android/05ba0535594430230cf8c97ade33bbdb.bundle,05ba0535594430230cf8c97ade33bbdb.bundle,2022.3.62f2,-8867594280936215312,Feast7,128,128,34,avatar.Feast7;bccf7f0a2ea8c6844a67bc1320def5b7,
assets/aa/Android/05cee7da06678bfee624d453b9e7c3e7.bundle,05cee7da06678bfee624d453b9e7c3e7.bundle,2022.3.62f2,-7879955753424229132,IllustrationBlur,256,135,3,Assets/Tracks/energytrixxx.KAH.0/IllustrationBlur.jpg;e935c5ce9d61b924a80964199902cbcd,
assets/aa/Android/05f65ae17c69fc8feaf64b97a1373656.bundle,05f65ae17c69fc8feaf64b97a1373656.bundle,2022.3.62f2,7341330302375481744,Illustration,2048,1080,3,6b8629a11386c314c8cf521bd1541008;Assets/Tracks/百鬼夜行.SaladSavior.0/Illustration.jpg,
assets/aa/Android/060e612971adde818a786490fa19c992.bundle,060e612971adde818a786490fa19c992.bundle,2022.3.62f2,-4107460784413181595,IllustrationBlur,256,135,3,3a414dea5440ec44a8412899da0efc37;Assets/Tracks/cryout.JuE.0/IllustrationBlur.jpg,
assets/aa/Android/06b93cb45dba639983727bf4701e1b5c.bundle,06b93cb45dba639983727bf4701e1b5c.bundle,2022.3.62f2,5489598021143299559,IllustrationBlur,256,135,3,8547f254f25398348ac8aeab6b0237c3;Assets/Tracks/dBdoll.YUESTEVENuen.0/IllustrationBlur.jpg,
assets/aa/Android/06ba21e29e889de5276879dfeab60c94.bundle,06ba21e29e889de5276879dfeab60c94.bundle,2022.3.62f2,5681751037977844610,IllustrationLowRes,512,270,3,58c8d2fa1a0ed1e4e86356f210a65ccc;Assets/Tracks/Upshift.Iriss-Frantzz.0/IllustrationLowRes.jpg,
assets/aa/Android/07039e3fb4f80d12cfb26702aa3be559.bundle,07039e3fb4f80d12cfb26702aa3be559.bundle,2022.3.62f2,-4747774945004033815,Illustration,2048,1080,3,413cb5c763f2fac46a460274aa9544c2;Assets/Tracks/インフェルノシティ.Ponchifeatはぁち.0/Illustration.jpg,
