trackFolder,title,artist,folderIndex,trackKeyCount,IllustrationKey,IllustrationBundle,IllustrationAssetTypes,IllustrationSourceFile,IllustrationObjectName,IllustrationWidth,IllustrationHeight,IllustrationFormat,IllustrationBlurKey,IllustrationBlurBundle,IllustrationBlurAssetTypes,IllustrationBlurSourceFile,IllustrationBlurObjectName,IllustrationBlurWidth,IllustrationBlurHeight,IllustrationBlurFormat,IllustrationLowResKey,IllustrationLowResBundle,IllustrationLowResAssetTypes,IllustrationLowResSourceFile,IllustrationLowResObjectName,IllustrationLowResWidth,IllustrationLowResHeight,IllustrationLowResFormat,musicKey,musicBundle,musicAssetTypes,musicSourceFile,musicObjectName,musicWidth,musicHeight,musicFormat,musicLength,musicFrequency,musicChannels,chartEZKey,chartEZBundle,chartEZAssetTypes,chartEZSourceFile,chartEZFormatVersion,chartEZOffset,chartEZJudgeLineCount,chartEZNoteCount,chartEZBPMS,chartEZErrorVariant,chartHDKey,chartHDBundle,chartHDAssetTypes,chartHDSourceFile,chartHDFormatVersion,chartHDOffset,chartHDJudgeLineCount,chartHDNoteCount,chartHDBPMS,chartHDErrorVariant,chartINKey,chartINBundle,chartINAssetTypes,chartINSourceFile,chartINFormatVersion,chartINOffset,chartINJudgeLineCount,chartINNoteCount,chartINBPMS,chartINErrorVariant,chartATKey,chartATBundle,chartATAssetTypes,chartATSourceFile,chartATFormatVersion,chartATOffset,chartATJudgeLineCount,chartATNoteCount,chartATBPMS,chartATErrorVariant,chartLegacyKey,chartLegacyBundle,chartLegacyAssetTypes,chartLegacySourceFile,chartLegacyFormatVersion,chartLegacyOffset,chartLegacyJudgeLineCount,chartLegacyNoteCount,chartLegacyBPMS,chartLegacyErrorVariant
000AinSophAur.Yumeji.0,000AinSophAur,Yumeji,0,10,Assets/Tracks/000AinSophAur.Yumeji.0/Illustration.jpg,102662f35eb0cf69a35cae34bdeb4689.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,102662f35eb0cf69a35cae34bdeb4689.bundle,Illustration,2048,1080,3,Assets/Tracks/000AinSophAur.Yumeji.0/IllustrationBlur.jpg,d47ddc5d655b199cbff96d6222779fc1.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,d47ddc5d655b199cbff96d6222779fc1.bundle,IllustrationBlur,256,135,3,Assets/Tracks/000AinSophAur.Yumeji.0/IllustrationLowRes.jpg,41a28724ab6175afc9e16ee81555e9da.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,41a28724ab6175afc9e16ee81555e9da.bundle,IllustrationLowRes,512,270,3,Assets/Tracks/000AinSophAur.Yumeji.0/music.wav,dc170fe2fd302a65309c06c992b77f2e.bundle,UnityEngine.AudioClip,dc170fe2fd302a65309c06c992b77f2e.bundle,music,,,,154.1900177001953,44100,2,Assets/Tracks/000AinSophAur.Yumeji.0/Chart_EZ.json,5273c82fd937a618c334f8a50df4f9c2.bundle,UnityEngine.TextAsset,5273c82fd937a618c334f8a50df4f9c2.bundle,3,0.0,6,171,194.0,,Assets/Tracks/000AinSophAur.Yumeji.0/Chart_HD.json,69d359825fffc560e737b3ac64c65622.bundle,UnityEngine.TextAsset,69d359825fffc560e737b3ac64c65622.bundle,3,0.0,9,371,194.0,,Assets/Tracks/000AinSophAur.Yumeji.0/Chart_IN.json,c73482c56d4f85dcec8711c563e323f3.bundle,UnityEngine.TextAsset,c73482c56d4f85dcec8711c563e323f3.bundle,3,0.0,23,689,194.0,,,,,,,,,,,,,,,,,,,,,
70MinutesFighters.かたぎり.0,70MinutesFighters,かたぎり,0,10,Assets/Tracks/70MinutesFighters.かたぎり.0/Illustration.jpg,2e50d842d91feb0bc86fe8351099af84.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,2e50d842d91feb0bc86fe8351099af84.bundle,Illustration,2048,1080,3,Assets/Tracks/70MinutesFighters.かたぎり.0/IllustrationBlur.jpg,99bf1fc4061d3a331b98a6cae30f56ff.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,99bf1fc4061d3a331b98a6cae30f56ff.bundle,IllustrationBlur,256,135,3,Assets/Tracks/70MinutesFighters.かたぎり.0/IllustrationLowRes.jpg,381d29fcaeb3d80099b9cbbc1f93426a.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,381d29fcaeb3d80099b9cbbc1f93426a.bundle,IllustrationLowRes,512,270,3,Assets/Tracks/70MinutesFighters.かたぎり.0/music.wav,5a86307865386cab58dad8d7f2075619.bundle,UnityEngine.AudioClip,5a86307865386cab58dad8d7f2075619.bundle,music,,,,146.37498474121094,44100,2,Assets/Tracks/70MinutesFighters.かたぎり.0/Chart_EZ.json,ce220207fdcc9c7f7221a123e2aeea0c.bundle,UnityEngine.TextAsset,ce220207fdcc9c7f7221a123e2aeea0c.bundle,3,0.0,24,365,223.0,,Assets/Tracks/70MinutesFighters.かたぎり.0/Chart_HD.json,c82d49d3adc3faf28dd29e57b53dca56.bundle,UnityEngine.TextAsset,c82d49d3adc3faf28dd29e57b53dca56.bundle,3,0.0,24,725,223.0,,Assets/Tracks/70MinutesFighters.かたぎり.0/Chart_IN.json,df4ad59ec2e4e18c6a66bd5a2eac15e5.bundle,UnityEngine.TextAsset,df4ad59ec2e4e18c6a66bd5a2eac15e5.bundle,3,0.0,24,1557,223.0,,,,,,,,,,,,,,,,,,,,,
996.李化禹.0,996,李化禹,0,10,Assets/Tracks/996.李化禹.0/Illustration.jpg,d253958b1c2168161944b89dfa393cc3.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,d253958b1c2168161944b89dfa393cc3.bundle,Illustration,2048,1080,3,Assets/Tracks/996.李化禹.0/IllustrationBlur.jpg,8bedc5379a8358dc4c22777fd70c88ce.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,8bedc5379a8358dc4c22777fd70c88ce.bundle,IllustrationBlur,256,135,3,Assets/Tracks/996.李化禹.0/IllustrationLowRes.jpg,524d007fbdbcd4c038bb8b408c6bf34f.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,524d007fbdbcd4c038bb8b408c6bf34f.bundle,IllustrationLowRes,512,270,3,Assets/Tracks/996.李化禹.0/music.wav,5bbf852035c83000d6f7decdf431d41a.bundle,UnityEngine.AudioClip,5bbf852035c83000d6f7decdf431d41a.bundle,music,,,,154.2991180419922,44100,2,Assets/Tracks/996.李化禹.0/Chart_EZ.json,15df90cf8595fd315e70d01823866a36.bundle,UnityEngine.TextAsset,15df90cf8595fd315e70d01823866a36.bundle,3,0.0,21,392,140.0,,Assets/Tracks/996.李化禹.0/Chart_HD.json,dca260a27e22f6981b9aef5355d89603.bundle,UnityEngine.TextAsset,dca260a27e22f6981b9aef5355d89603.bundle,3,0.0,17,453,140.0,,Assets/Tracks/996.李化禹.0/Chart_IN.json,7827d3c60b900b611aa2482887c81598.bundle,UnityEngine.TextAsset,7827d3c60b900b611aa2482887c81598.bundle,3,0.0,24,996,140.0,,,,,,,,,,,,,,,,,,,,,
ABYSSMOTION192333.ariiolTSAR奏Sou.0,ABYSSMOTION192333,ariiolTSAR奏Sou,0,10,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/Illustration.jpg,789c302d8caa024619a148aa98dd6b2e.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,789c302d8caa024619a148aa98dd6b2e.bundle,Illustration,2048,1080,3,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/IllustrationBlur.jpg,b227a5c63755627b88b50d31480dcc49.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,b227a5c63755627b88b50d31480dcc49.bundle,IllustrationBlur,256,135,3,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/IllustrationLowRes.jpg,af5422e130a7ccd7c2229b8d9163bda4.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,af5422e130a7ccd7c2229b8d9163bda4.bundle,IllustrationLowRes,512,270,3,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/music.wav,c117dbe42f2009cdcff3283d8d880518.bundle,UnityEngine.AudioClip,c117dbe42f2009cdcff3283d8d880518.bundle,music,,,,126.09642028808594,48000,2,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/Chart_EZ.json,1b756c9c9847bfd5f3eb8859804faf99.bundle,UnityEngine.TextAsset,1b756c9c9847bfd5f3eb8859804faf99.bundle,3,0.0,8,320,192.333,,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/Chart_HD.json,02fc8f652f202d1902ef7df861356709.bundle,UnityEngine.TextAsset,02fc8f652f202d1902ef7df861356709.bundle,3,0.0,8,543,192.333,,Assets/Tracks/ABYSSMOTION192333.ariiolTSAR奏Sou.0/Chart_IN.json,24223642a50d3bfe022eaa7175eaa7b4.bundle,UnityEngine.TextAsset,24223642a50d3bfe022eaa7175eaa7b4.bundle,3,0.0,19,815,192.333,,,,,,,,,,,,,,,,,,,,,
ATHAZA.LeaF.0,ATHAZA,LeaF,0,11,Assets/Tracks/ATHAZA.LeaF.0/Illustration.jpg,ab63736657b48f816e254bffc8d7ffa2.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,ab63736657b48f816e254bffc8d7ffa2.bundle,Illustration,2048,1080,3,Assets/Tracks/ATHAZA.LeaF.0/IllustrationBlur.jpg,fb3058a69f53c7ffcb197498366a9220.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,fb3058a69f53c7ffcb197498366a9220.bundle,IllustrationBlur,256,135,3,Assets/Tracks/ATHAZA.LeaF.0/IllustrationLowRes.jpg,cc8955f368181b31025529718326d073.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,cc8955f368181b31025529718326d073.bundle,IllustrationLowRes,512,270,3,Assets/Tracks/ATHAZA.LeaF.0/music.wav,2e3312c6b205eb9f8b1603800ca4fdc1.bundle,UnityEngine.AudioClip,2e3312c6b205eb9f8b1603800ca4fdc1.bundle,music,,,,167.06385803222656,44100,2,Assets/Tracks/ATHAZA.LeaF.0/Chart_EZ.json,d4aa8b89e7c3fa43f021e594dcf83364.bundle,UnityEngine.TextAsset,d4aa8b89e7c3fa43f021e594dcf83364.bundle,3,0.0,6,479,280.0,,Assets/Tracks/ATHAZA.LeaF.0/Chart_HD.json,3d7cefedf292429c8fc2914e711ce713.bundle,UnityEngine.TextAsset,3d7cefedf292429c8fc2914e711ce713.bundle,3,0.0,20,662,280.0,,Assets/Tracks/ATHAZA.LeaF.0/Chart_IN.json,e26686bfd1994b964a1f14284b168d75.bundle,UnityEngine.TextAsset,e26686bfd1994b964a1f14284b168d75.bundle,3,0.0,24,1137,280.0,,Assets/Tracks/ATHAZA.LeaF.0/Chart_AT.json,8ec12aea43aff5ec146318d5a4c6c8dd.bundle,UnityEngine.TextAsset,8ec12aea43aff5ec146318d5a4c6c8dd.bundle,3,0.0,19,1344,280.0,,,,,,,,,,,
AbsoluTedisoRdeR.AcuteDisarray.0,AbsoluTedisoRdeR,AcuteDisarray,0,11,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Illustration.jpg,d660dd260e78f03e02c6558f2534108d.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,d660dd260e78f03e02c6558f2534108d.bundle,Illustration,2048,1080,3,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/IllustrationBlur.jpg,42fca7e42c3515e152589dec1ef4da6d.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,42fca7e42c3515e152589dec1ef4da6d.bundle,IllustrationBlur,256,135,3,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/IllustrationLowRes.jpg,aa4598448eae475ae6829e3411a14198.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,aa4598448eae475ae6829e3411a14198.bundle,IllustrationLowRes,512,270,3,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/music.wav,22fab5e232d38262d169aa214cd8b4e1.bundle,UnityEngine.AudioClip,22fab5e232d38262d169aa214cd8b4e1.bundle,music,,,,189.37501525878906,44100,2,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Chart_EZ.json,e4f6035e7247ba1cc2eeff41ad04f4b8.bundle,UnityEngine.TextAsset,e4f6035e7247ba1cc2eeff41ad04f4b8.bundle,3,0.0,5,766,256.0,,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Chart_HD.json,1758a19c5f811955c8e7d5c6d0ed7101.bundle,UnityEngine.TextAsset,1758a19c5f811955c8e7d5c6d0ed7101.bundle,3,0.0,12,1046,256.0,,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Chart_IN.json,d33990e306800616d9633e0ab610611e.bundle,UnityEngine.TextAsset,d33990e306800616d9633e0ab610611e.bundle,3,0.0,24,1600,256.0,,Assets/Tracks/AbsoluTedisoRdeR.AcuteDisarray.0/Chart_AT.json,64c7c3f09fc0dd9bbdfc48e5a48c6a0f.bundle,UnityEngine.TextAsset,64c7c3f09fc0dd9bbdfc48e5a48c6a0f.bundle,3,0.0,24,2025,256.0,,,,,,,,,,,
Adastraperaspera.RabbitHouse.0,Adastraperaspera,RabbitHouse,0,10,Assets/Tracks/Adastraperaspera.RabbitHouse.0/Illustration.jpg,a0943b7a57974d1cf711658bae62ca61.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,a0943b7a57974d1cf711658bae62ca61.bundle,Illustration,2048,1080,3,Assets/Tracks/Adastraperaspera.RabbitHouse.0/IllustrationBlur.jpg,84ad350738ce110d947da227ca665d8e.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,84ad350738ce110d947da227ca665d8e.bundle,IllustrationBlur,256,135,3,Assets/Tracks/Adastraperaspera.RabbitHouse.0/IllustrationLowRes.jpg,9f962c710c8a3a2c48dfec1e920dd0e3.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,9f962c710c8a3a2c48dfec1e920dd0e3.bundle,IllustrationLowRes,512,270,3,Assets/Tracks/Adastraperaspera.RabbitHouse.0/music.wav,51999e3f5d6c3e806ef7e06b98b92854.bundle,UnityEngine.AudioClip,51999e3f5d6c3e806ef7e06b98b92854.bundle,music,,,,144.530029296875,44100,2,Assets/Tracks/Adastraperaspera.RabbitHouse.0/Chart_EZ.json,049e111c05a291249768a06f376a4342.bundle,UnityEngine.TextAsset,049e111c05a291249768a06f376a4342.bundle,3,0.0,6,696,197.0,,Assets/Tracks/Adastraperaspera.RabbitHouse.0/Chart_HD.json,75153d51a7d967629d1eb626697bd52f.bundle,UnityEngine.TextAsset,75153d51a7d967629d1eb626697bd52f.bundle,3,0.0,13,924,197.0,,Assets/Tracks/Adastraperaspera.RabbitHouse.0/Chart_IN.json,b88eb718383ae06d2e369baee2601b8a.bundle,UnityEngine.TextAsset,b88eb718383ae06d2e369baee2601b8a.bundle,3,0.0,24,1454,197.0,,,,,,,,,,,,,,,,,,,,,
AfterDawn.S9ryne.0,AfterDawn,S9ryne,0,10,Assets/Tracks/AfterDawn.S9ryne.0/Illustration.jpg,8ca18230647ba3b86d4f2b17c6845acb.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,8ca18230647ba3b86d4f2b17c6845acb.bundle,Illustration,2048,1080,3,Assets/Tracks/AfterDawn.S9ryne.0/IllustrationBlur.jpg,2cd46fe78faa26042b68daab8d9f2fc3.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,2cd46fe78faa26042b68daab8d9f2fc3.bundle,IllustrationBlur,256,135,3,Assets/Tracks/AfterDawn.S9ryne.0/IllustrationLowRes.jpg,fd945a7214e086a2bdfe6f1fdaa7ea2b.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,fd945a7214e086a2bdfe6f1fdaa7ea2b.bundle,IllustrationLowRes,512,270,3,Assets/Tracks/AfterDawn.S9ryne.0/music.wav,bcc343cb2f66a26f356257b7e3e94852.bundle,UnityEngine.AudioClip,bcc343cb2f66a26f356257b7e3e94852.bundle,music,,,,142.9204559326172,44100,2,Assets/Tracks/AfterDawn.S9ryne.0/Chart_EZ.json,eb4e1f0fbf6a666eea0f4a02a089ae44.bundle,UnityEngine.TextAsset,eb4e1f0fbf6a666eea0f4a02a089ae44.bundle,3,0.0,19,194,110.0,,Assets/Tracks/AfterDawn.S9ryne.0/Chart_HD.json,c463b2401c4b0aefe7c427f5b7ecad2d.bundle,UnityEngine.TextAsset,c463b2401c4b0aefe7c427f5b7ecad2d.bundle,3,0.0,13,478,110.0,,Assets/Tracks/AfterDawn.S9ryne.0/Chart_IN.json,7b00528ab7f97f89a405aa05f9112b5b.bundle,UnityEngine.TextAsset,7b00528ab7f97f89a405aa05f9112b5b.bundle,3,0.0,22,975,110.0,,,,,,,,,,,,,,,,,,,,,
AfterZABANIYAMUGEdit.Daily天利.0,AfterZABANIYAMUGEdit,Daily天利,0,10,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/Illustration.jpg,96b69a9ba9178b6aba8c1a69368703cb.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,96b69a9ba9178b6aba8c1a69368703cb.bundle,Illustration,2048,1080,3,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/IllustrationBlur.jpg,0e8bcf7c745cb96f7d4bded261b7d812.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,0e8bcf7c745cb96f7d4bded261b7d812.bundle,IllustrationBlur,256,135,3,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/IllustrationLowRes.jpg,7c8f8947372953764defe7647236de1e.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,7c8f8947372953764defe7647236de1e.bundle,IllustrationLowRes,512,270,3,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/music.wav,56b765f3d951d63b4c35bdb97821435f.bundle,UnityEngine.AudioClip,56b765f3d951d63b4c35bdb97821435f.bundle,music,,,,147.29983520507812,44100,2,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/Chart_EZ.json,e94c83edc67b0cb00c43ae00a67f431e.bundle,UnityEngine.TextAsset,e94c83edc67b0cb00c43ae00a67f431e.bundle,3,0.0,8,364,222.0,,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/Chart_HD.json,570d7ebd44bd8776dd526ae0e5aaf41d.bundle,UnityEngine.TextAsset,570d7ebd44bd8776dd526ae0e5aaf41d.bundle,3,0.0,12,723,222.0,,Assets/Tracks/AfterZABANIYAMUGEdit.Daily天利.0/Chart_IN.json,664908c2dc70aed5ec6048873a6bf81d.bundle,UnityEngine.TextAsset,664908c2dc70aed5ec6048873a6bf81d.bundle,3,0.0,24,1130,222.0,,,,,,,,,,,,,,,,,,,,,
Ajourneytothemoonlight.Yesod.0,Ajourneytothemoonlight,Yesod,0,10,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/Illustration.jpg,a063a1ed43d53682af0d3c0adfc7b22a.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,a063a1ed43d53682af0d3c0adfc7b22a.bundle,Illustration,2048,1080,3,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/IllustrationBlur.jpg,7f25b1e333e85baf344c866358cc5f5f.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,7f25b1e333e85baf344c866358cc5f5f.bundle,IllustrationBlur,256,135,3,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/IllustrationLowRes.jpg,328232321b66ea747b9cd1f16816bca9.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,328232321b66ea747b9cd1f16816bca9.bundle,IllustrationLowRes,512,270,3,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/music.wav,780464449353c77818a245cf1221378e.bundle,UnityEngine.AudioClip,780464449353c77818a245cf1221378e.bundle,music,,,,150.54432678222656,44100,2,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/Chart_EZ.json,5b5f9416ffe10b5a52fdd5a8ecaf8ee5.bundle,UnityEngine.TextAsset,5b5f9416ffe10b5a52fdd5a8ecaf8ee5.bundle,3,0.0,15,242,174.0,,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/Chart_HD.json,b7eb9bc2baaa9385b5cd028bda4565fa.bundle,UnityEngine.TextAsset,b7eb9bc2baaa9385b5cd028bda4565fa.bundle,3,0.0,15,555,174.0,,Assets/Tracks/Ajourneytothemoonlight.Yesod.0/Chart_IN.json,c6d15b3c613c515710c6d196a5102471.bundle,UnityEngine.TextAsset,c6d15b3c613c515710c6d196a5102471.bundle,3,0.0,24,1199,174.0,,,,,,,,,,,,,,,,,,,,,
