scope,sourceKind,sourcePath,objectType,count
all,,,Animation,37
all,,,AnimationClip,87
all,,,Animator,103
all,,,AnimatorController,61
all,,,AssetBundle,2514
all,,,AudioClip,379
all,,,AudioListener,28
all,,,AudioLowPassFilter,1
all,,,AudioManager,1
all,,,AudioSource,30
all,,,BoxCollider2D,3
all,,,BuildSettings,1
all,,,Camera,33
all,,,Canvas,181
all,,,CanvasGroup,235
all,,,CanvasRenderer,2582
all,,,CircleCollider2D,3
all,,,DelayedCallManager,1
all,,,Font,9
all,,,GameObject,3416
all,,,GraphicsSettings,1
all,,,InputManager,1
all,,,LightingSettings,26
all,,,LightmapSettings,28
all,,,Material,96
all,,,Mesh,2
all,,,MeshCollider,79
all,,,MeshFilter,106
all,,,MeshRenderer,101
all,,,MonoBehaviour,4036
all,,,MonoManager,1
all,,,MonoScript,1388
all,,,NavMeshProjectSettings,1
all,,,NavMeshSettings,28
all,,,ParticleSystem,11
all,,,ParticleSystemRenderer,11
all,,,Physics2DSettings,1
all,,,PhysicsManager,1
all,,,PlayerSettings,1
all,,,PolygonCollider2D,5
all,,,PreloadData,29
all,,,QualitySettings,1
all,,,RectTransform,3056
all,,,RenderSettings,28
all,,,RenderTexture,1
all,,,ResourceManager,1
all,,,RuntimeInitializeOnLoadManager,1
all,,,ScriptMapper,1
all,,,Shader,37
all,,,ShaderVariantCollection,8
all,,,Sprite,1493
all,,,SpriteMask,3
all,,,SpriteRenderer,50
all,,,StreamingManager,1
all,,,TagManager,1
all,,,TextAsset,1008
all,,,Texture2D,1480
all,,,TimeManager,1
all,,,Transform,360
all,,,VFXManager,1
all,,,VideoClip,9
all,,,VideoPlayer,9
source,bundle,assets/aa/Android/0001488b03e729136338f081478beb81.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0001488b03e729136338f081478beb81.bundle,TextAsset,1
source,bundle,assets/aa/Android/001cfe6533943ba17aa0ec4482bef34e.bundle,AssetBundle,1
source,bundle,assets/aa/Android/001cfe6533943ba17aa0ec4482bef34e.bundle,Sprite,1
source,bundle,assets/aa/Android/001cfe6533943ba17aa0ec4482bef34e.bundle,Texture2D,1
source,bundle,assets/aa/Android/0042bbe663524a2d2f5e9da923eef441.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0042bbe663524a2d2f5e9da923eef441.bundle,Sprite,1
source,bundle,assets/aa/Android/0042bbe663524a2d2f5e9da923eef441.bundle,Texture2D,1
source,bundle,assets/aa/Android/0082b94e09acadbd32ce9dd7b2e61763.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0082b94e09acadbd32ce9dd7b2e61763.bundle,TextAsset,1
source,bundle,assets/aa/Android/00b114ad0788ad7402248544ab30f481.bundle,AssetBundle,1
source,bundle,assets/aa/Android/00b114ad0788ad7402248544ab30f481.bundle,TextAsset,1
source,bundle,assets/aa/Android/00c058bcc713038c1a45a9c72737d56a.bundle,AssetBundle,1
source,bundle,assets/aa/Android/00c058bcc713038c1a45a9c72737d56a.bundle,TextAsset,1
source,bundle,assets/aa/Android/00c1925eb091b2b3bc55100d15a762c2.bundle,AssetBundle,1
source,bundle,assets/aa/Android/00c1925eb091b2b3bc55100d15a762c2.bundle,TextAsset,1
source,bundle,assets/aa/Android/00c7a7ed48e7444964562a038af4ba28.bundle,AssetBundle,1
source,bundle,assets/aa/Android/00c7a7ed48e7444964562a038af4ba28.bundle,Sprite,1
source,bundle,assets/aa/Android/00c7a7ed48e7444964562a038af4ba28.bundle,Texture2D,1
source,bundle,assets/aa/Android/00e9f0703994eecb92339ac5dfc222a4.bundle,AssetBundle,1
source,bundle,assets/aa/Android/00e9f0703994eecb92339ac5dfc222a4.bundle,TextAsset,1
source,bundle,assets/aa/Android/00f325a7d0c42ede9a8fb39a3642e1f0.bundle,AssetBundle,1
source,bundle,assets/aa/Android/00f325a7d0c42ede9a8fb39a3642e1f0.bundle,TextAsset,1
source,bundle,assets/aa/Android/00ff3c028eac5f12408d9db2a3490f7b.bundle,AssetBundle,1
source,bundle,assets/aa/Android/00ff3c028eac5f12408d9db2a3490f7b.bundle,TextAsset,1
source,bundle,assets/aa/Android/012377411e39f35c22e464a7bd504e71.bundle,AssetBundle,1
source,bundle,assets/aa/Android/012377411e39f35c22e464a7bd504e71.bundle,Sprite,1
source,bundle,assets/aa/Android/012377411e39f35c22e464a7bd504e71.bundle,Texture2D,1
source,bundle,assets/aa/Android/01367117acdca28729565fb4043c0887.bundle,AssetBundle,1
source,bundle,assets/aa/Android/01367117acdca28729565fb4043c0887.bundle,TextAsset,1
source,bundle,assets/aa/Android/0144ae9c2af0e9052f2d7321bde0fecf.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0144ae9c2af0e9052f2d7321bde0fecf.bundle,TextAsset,1
source,bundle,assets/aa/Android/01728f62716ce15a451588f616fa55d4.bundle,AssetBundle,1
source,bundle,assets/aa/Android/01728f62716ce15a451588f616fa55d4.bundle,TextAsset,1
source,bundle,assets/aa/Android/018f410dabe6f116f657afb1c1508e5f.bundle,AssetBundle,1
source,bundle,assets/aa/Android/018f410dabe6f116f657afb1c1508e5f.bundle,Sprite,1
source,bundle,assets/aa/Android/018f410dabe6f116f657afb1c1508e5f.bundle,Texture2D,1
source,bundle,assets/aa/Android/0199cf235e43a0fe2c37ca19fd54dc3e.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0199cf235e43a0fe2c37ca19fd54dc3e.bundle,Sprite,1
source,bundle,assets/aa/Android/0199cf235e43a0fe2c37ca19fd54dc3e.bundle,Texture2D,1
source,bundle,assets/aa/Android/01c332e88491f117becdb80a9db3d950.bundle,AssetBundle,1
source,bundle,assets/aa/Android/01c332e88491f117becdb80a9db3d950.bundle,Sprite,1
source,bundle,assets/aa/Android/01c332e88491f117becdb80a9db3d950.bundle,Texture2D,1
source,bundle,assets/aa/Android/01cfd8129ea5d6c94419f5e1dc0f2ca4.bundle,AssetBundle,1
source,bundle,assets/aa/Android/01cfd8129ea5d6c94419f5e1dc0f2ca4.bundle,TextAsset,1
source,bundle,assets/aa/Android/01d56fe0886200058223c99f7431b1d4.bundle,AssetBundle,1
source,bundle,assets/aa/Android/01d56fe0886200058223c99f7431b1d4.bundle,AudioClip,1
source,bundle,assets/aa/Android/01db9728509bd8ff74bc5f0d6fb7d407.bundle,AssetBundle,1
source,bundle,assets/aa/Android/01db9728509bd8ff74bc5f0d6fb7d407.bundle,AudioClip,1
source,bundle,assets/aa/Android/01ddf689e7527cb73fd4db331125e48f.bundle,AssetBundle,1
source,bundle,assets/aa/Android/01ddf689e7527cb73fd4db331125e48f.bundle,Sprite,1
source,bundle,assets/aa/Android/01ddf689e7527cb73fd4db331125e48f.bundle,Texture2D,1
source,bundle,assets/aa/Android/01e175d63ee4437792d353ab819458a6.bundle,AssetBundle,1
source,bundle,assets/aa/Android/01e175d63ee4437792d353ab819458a6.bundle,Sprite,1
source,bundle,assets/aa/Android/01e175d63ee4437792d353ab819458a6.bundle,Texture2D,1
source,bundle,assets/aa/Android/020ca77f4a9c50c6ed04dc63402cfc48.bundle,AssetBundle,1
source,bundle,assets/aa/Android/020ca77f4a9c50c6ed04dc63402cfc48.bundle,AudioClip,1
source,bundle,assets/aa/Android/02209f5545f3f72755ae2d9d7704a74b.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02209f5545f3f72755ae2d9d7704a74b.bundle,Sprite,1
source,bundle,assets/aa/Android/02209f5545f3f72755ae2d9d7704a74b.bundle,Texture2D,1
source,bundle,assets/aa/Android/02297ab7d0a02e397e157ac6bf53701a.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02297ab7d0a02e397e157ac6bf53701a.bundle,Sprite,1
source,bundle,assets/aa/Android/02297ab7d0a02e397e157ac6bf53701a.bundle,Texture2D,1
source,bundle,assets/aa/Android/0292a0565d385ac9122ec6cebc00cc09.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0292a0565d385ac9122ec6cebc00cc09.bundle,AudioClip,1
source,bundle,assets/aa/Android/02b5ba0d3ca815410e2f54517987f657.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02b5ba0d3ca815410e2f54517987f657.bundle,Sprite,1
source,bundle,assets/aa/Android/02b5ba0d3ca815410e2f54517987f657.bundle,Texture2D,1
source,bundle,assets/aa/Android/02c6b3d53eb561a8fc882de0e5260490.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02c6b3d53eb561a8fc882de0e5260490.bundle,AudioClip,1
source,bundle,assets/aa/Android/02c6b6406c32b0c961f2fb6b92154c9e.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02c6b6406c32b0c961f2fb6b92154c9e.bundle,Sprite,1
source,bundle,assets/aa/Android/02c6b6406c32b0c961f2fb6b92154c9e.bundle,Texture2D,1
source,bundle,assets/aa/Android/02cf98dbe24339db17694686847231ca.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02cf98dbe24339db17694686847231ca.bundle,TextAsset,1
source,bundle,assets/aa/Android/02da8ef6b4b7303c0d4fd6050008e726.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02da8ef6b4b7303c0d4fd6050008e726.bundle,Sprite,1
source,bundle,assets/aa/Android/02da8ef6b4b7303c0d4fd6050008e726.bundle,Texture2D,1
source,bundle,assets/aa/Android/02e7e3473113390a0814cd65505fded5.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02e7e3473113390a0814cd65505fded5.bundle,TextAsset,1
source,bundle,assets/aa/Android/02fc8f652f202d1902ef7df861356709.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02fc8f652f202d1902ef7df861356709.bundle,TextAsset,1
source,bundle,assets/aa/Android/030cf4c1cc3dcdfef5aa49c45e4bd263.bundle,AssetBundle,1
source,bundle,assets/aa/Android/030cf4c1cc3dcdfef5aa49c45e4bd263.bundle,Sprite,1
source,bundle,assets/aa/Android/030cf4c1cc3dcdfef5aa49c45e4bd263.bundle,Texture2D,1
source,bundle,assets/aa/Android/031851ae60b58e28f77bcb80c2953b39.bundle,AssetBundle,1
source,bundle,assets/aa/Android/031851ae60b58e28f77bcb80c2953b39.bundle,Sprite,1
source,bundle,assets/aa/Android/031851ae60b58e28f77bcb80c2953b39.bundle,Texture2D,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,AnimationClip,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,Animator,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,AnimatorController,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,AssetBundle,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,GameObject,4
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,Material,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,MonoBehaviour,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,MonoScript,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,Sprite,3
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,SpriteRenderer,3
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,Texture2D,3
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,Transform,4
source,bundle,assets/aa/Android/0346140741c62ef259fa0026be1c37d1.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0346140741c62ef259fa0026be1c37d1.bundle,Sprite,1
source,bundle,assets/aa/Android/0346140741c62ef259fa0026be1c37d1.bundle,Texture2D,1
source,bundle,assets/aa/Android/0351e4b1b0de8d0ce1d09f00ec743769.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0351e4b1b0de8d0ce1d09f00ec743769.bundle,TextAsset,1
source,bundle,assets/aa/Android/036407b89ca165baa3f99d775ef8cebd.bundle,AssetBundle,1
