resourceId,resourceType,category,displayTitle,sourceFilename,sourceRelativePath,sourceSha256,sourceFileExists,sourceFileSha256Verified,variantId,variantSemanticStatus,originalRenditionId,originalObjectId,originalSha256,originalMime,originalWidth,originalHeight,matchStatus,matchMethod,confidence,confidenceReason,matchedTrackFolder,matchedTrackPath,matchedTrackKey,sourceTitle,sourceArtist,matchedArtworkPath,matchedSourceBundlePath,pixelMAE,smallPixelMAE,pixelThreshold,decodedPixelEqual,normalizedRGBHashEqual,candidateCount,secondBestMAE,candidateEvidence,semanticStatus,specialType,canonicalCandidate,canonicalReason,evidence
01a00092-d857-7fb0-9166-4805109e2afd,jacket,jacket,Anomaly,Anomaly.png,Phigros/曲绘/Anomaly.png,a11efce4f8f39c0fe7ded7bf55cf4b174cc7b66c3b3a542cdc2e5ea9875975fb,true,true,01a00092-d858-7e98-a3d9-3380c2e1c81e,confirmed,01a00092-d858-7f59-8de6-e6637641464b,sha256:a11efce4f8f39c0fe7ded7bf55cf4b174cc7b66c3b3a542cdc2e5ea9875975fb,a11efce4f8f39c0fe7ded7bf55cf4b174cc7b66c3b3a542cdc2e5ea9875975fb,image/png,2048,1080,unmatched,image-candidate-rejected,unresolved,Best decoded image candidate MAE=42.277534 exceeds 8.0,,,,,,,,42.277534,40.082756,2.0,false,false,313,50.773094,"[{""trackFolder"":""InvertedWorld.ARForest.0"",""sourceTitle"":""InvertedWorld"",""sourceArtist"":""ARForest"",""smallMAE"":40.082756,""mediumMAE"":42.277534},{""trackFolder"":""Starduster.Quree.0"",""sourceTitle"":""Starduster"",""sourceArtist"":""Quree"",""smallMAE"":48.100117,""mediumMAE"":50.773094},{""trackFolder"":""BonusTime.MegaloPaleWhite.0"",""sourceTitle"":""BonusTime"",""sourceArtist"":""MegaloPaleWhite"",""smallMAE"":48.960648,""mediumMAE"":54.230621}]",historical-artwork,,,,"Catalog source=Phigros/曲绘/Anomaly.png; sourceSha256=a11efce4f8f39c0fe7ded7bf55cf4b174cc7b66c3b3a542cdc2e5ea9875975fb; APK source=assets/aa/Android/82c68481baeb758cec3e327761da2880.bundle; trackPath=Assets/Tracks/InvertedWorld.ARForest.0/; decoded pixel MAE=42.277534; thresholds high<=2.0, medium<=8.0"
01a00092-dd86-7202-a360-e2b04e382fb7,jacket,jacket,Aphrodite's Child (short ver.),Aphrodite's Child (short ver.).png,Phigros/曲绘/Aphrodite's Child (short ver.).png,03ecc0723843f346a49150e07d3376f062e13bd002acc47931d64c3eda987a4c,true,true,01a00092-dd86-798c-a26f-22ea36d70e0d,confirmed,01a00092-dd87-7422-9cb8-1a6fa9714720,sha256:03ecc0723843f346a49150e07d3376f062e13bd002acc47931d64c3eda987a4c,03ecc0723843f346a49150e07d3376f062e13bd002acc47931d64c3eda987a4c,image/png,2048,1080,unmatched,image-candidate-rejected,unresolved,Best decoded image candidate MAE=34.183403 exceeds 8.0,,,,,,,,34.183403,25.939816,2.0,false,false,313,37.934856,"[{""trackFolder"":""SilenceisGoldenSpeechisGolden.NIWASHI.0"",""sourceTitle"":""SilenceisGoldenSpeechisGolden"",""sourceArtist"":""NIWASHI"",""smallMAE"":25.939816,""mediumMAE"":40.720051},{""trackFolder"":""AphroditesChildshortver.RUQOA.0"",""sourceTitle"":""AphroditesChildshortver"",""sourceArtist"":""RUQOA"",""smallMAE"":27.782986,""mediumMAE"":34.183403},{""trackFolder"":""FracturedAngel.DJRaisei.0"",""sourceTitle"":""FracturedAngel"",""sourceArtist"":""DJRaisei"",""smallMAE"":34.322338,""mediumMAE"":37.934856}]",historical-artwork,,,,"Catalog source=Phigros/曲绘/Aphrodite's Child (short ver.).png; sourceSha256=03ecc0723843f346a49150e07d3376f062e13bd002acc47931d64c3eda987a4c; APK source=assets/aa/Android/7f411e36908d51d37de6084ee148c6b1.bundle; trackPath=Assets/Tracks/AphroditesChildshortver.RUQOA.0/; decoded pixel MAE=34.183403; thresholds high<=2.0, medium<=8.0"
01a00092-e769-72ba-b55c-41b19b554298,jacket,jacket,BANGING STRIKE,BANGING STRIKE - Dew Pleiades.png,Phigros/曲绘/BANGING STRIKE - Dew Pleiades.png,875dbcec4d312fff3fa05999f9a501f93075b2f3512981c43c493ca8148d15d7,true,true,01a00092-e769-7262-852e-4b38fd85112a,confirmed,01a00092-e76a-750c-8da5-4ef0962e4dd8,sha256:875dbcec4d312fff3fa05999f9a501f93075b2f3512981c43c493ca8148d15d7,875dbcec4d312fff3fa05999f9a501f93075b2f3512981c43c493ca8148d15d7,image/png,2048,1080,unmatched,image-candidate-rejected,unresolved,Best decoded image candidate MAE=41.731579 exceeds 8.0,,,,,,,,41.731579,35.424191,2.0,false,false,313,62.256702,"[{""trackFolder"":""BANGINGSTRIKE.DewPleiades.0"",""sourceTitle"":""BANGINGSTRIKE"",""sourceArtist"":""DewPleiades"",""smallMAE"":35.424191,""mediumMAE"":41.731579},{""trackFolder"":""彩.MisoilePunch.0"",""sourceTitle"":""彩"",""sourceArtist"":""MisoilePunch"",""smallMAE"":54.09375,""mediumMAE"":62.256702},{""trackFolder"":""WithYou.Cashew.0"",""sourceTitle"":""WithYou"",""sourceArtist"":""Cashew"",""smallMAE"":57.071182,""mediumMAE"":64.225761}]",historical-artwork,,,,"Catalog source=Phigros/曲绘/BANGING STRIKE - Dew Pleiades.png; sourceSha256=875dbcec4d312fff3fa05999f9a501f93075b2f3512981c43c493ca8148d15d7; APK source=assets/aa/Android/8dd68a63e3f4d7565e015c62ff76659f.bundle; trackPath=Assets/Tracks/BANGINGSTRIKE.DewPleiades.0/; decoded pixel MAE=41.731579; thresholds high<=2.0, medium<=8.0"
01a00093-1196-7c78-83ec-3281c8990638,jacket,jacket,Destination,Destination.png,Phigros/曲绘/Destination.png,2ea56a150526d6e22a79c5688cdca4f075633ea4f7aebbf46a4b0ac933f23a04,true,true,01a00093-1196-7e43-b1e1-e5bee08a825f,confirmed,01a00093-1196-7d12-9a53-0dff72b57c13,sha256:2ea56a150526d6e22a79c5688cdca4f075633ea4f7aebbf46a4b0ac933f23a04,2ea56a150526d6e22a79c5688cdca4f075633ea4f7aebbf46a4b0ac933f23a04,image/png,2048,1080,unmatched,image-candidate-rejected,unresolved,Best decoded image candidate MAE=52.273628 exceeds 8.0,,,,,,,,52.273628,45.339699,2.0,false,false,313,55.646713,"[{""trackFolder"":""ClassMemories.AntistarfeatCtymax.0"",""sourceTitle"":""ClassMemories"",""sourceArtist"":""AntistarfeatCtymax"",""smallMAE"":45.339699,""mediumMAE"":52.273628},{""trackFolder"":""DancewithSilence.かめりあ.0"",""sourceTitle"":""DancewithSilence"",""sourceArtist"":""かめりあ"",""smallMAE"":47.493633,""mediumMAE"":55.646713},{""trackFolder"":""Hydra.JamesLandinoXAkiraComplex.0"",""sourceTitle"":""Hydra"",""sourceArtist"":""JamesLandinoXAkiraComplex"",""smallMAE"":48.579861,""mediumMAE"":57.874043}]",historical-artwork,,,,"Catalog source=Phigros/曲绘/Destination.png; sourceSha256=2ea56a150526d6e22a79c5688cdca4f075633ea4f7aebbf46a4b0ac933f23a04; APK source=assets/aa/Android/e0040c6035cee2f6cdf6e3102d2aa95f.bundle; trackPath=Assets/Tracks/ClassMemories.AntistarfeatCtymax.0/; decoded pixel MAE=52.273628; thresholds high<=2.0, medium<=8.0"
01a00093-18db-75e7-818d-e96cd320993e,jacket,jacket,Dlyrotz -SUPER ULTIMATE AMAZING AWESOME PRO MAX EXTRA REMIX-,Dlyrotz -SUPER ULTIMATE AMAZING AWESOME PRO MAX EXTRA REMIX-.png,Phigros/曲绘/Dlyrotz -SUPER ULTIMATE AMAZING AWESOME PRO MAX EXTRA REMIX-.png,60a0fb176ab66404ca317989c3fbcafced8464821f05b1d199d54384c67d8468,true,true,01a00093-18db-7f5b-a894-18cdd7a9e0b3,confirmed,01a00093-18db-770c-bd2a-cab95150796c,sha256:60a0fb176ab66404ca317989c3fbcafced8464821f05b1d199d54384c67d8468,60a0fb176ab66404ca317989c3fbcafced8464821f05b1d199d54384c67d8468,image/png,2048,1080,unmatched,image-candidate-rejected,unresolved,Best decoded image candidate MAE=54.237324 exceeds 8.0,,,,,,,,54.237324,47.734375,2.0,false,false,313,60.007469,"[{""trackFolder"":""Dlyrotz.Likey.0"",""sourceTitle"":""Dlyrotz"",""sourceArtist"":""Likey"",""smallMAE"":47.734375,""mediumMAE"":54.237324},{""trackFolder"":""Apocalypse.アリスシャッハと魔法の楽団.0"",""sourceTitle"":""Apocalypse"",""sourceArtist"":""アリスシャッハと魔法の楽団"",""smallMAE"":54.102432,""mediumMAE"":60.007469},{""trackFolder"":""JourneywithYou.Iris.0"",""sourceTitle"":""JourneywithYou"",""sourceArtist"":""Iris"",""smallMAE"":54.360531,""mediumMAE"":60.14587}]",historical-artwork,,,,"Catalog source=Phigros/曲绘/Dlyrotz -SUPER ULTIMATE AMAZING AWESOME PRO MAX EXTRA REMIX-.png; sourceSha256=60a0fb176ab66404ca317989c3fbcafced8464821f05b1d199d54384c67d8468; APK source=assets/aa/Android/ca45b9956f2d73124b29b4fc4dace929.bundle; trackPath=Assets/Tracks/Dlyrotz.Likey.0/; decoded pixel MAE=54.237324; thresholds high<=2.0, medium<=8.0"
01a00093-676b-7e47-b6ff-5d4f0a66bcc6,jacket,jacket,Oblivion： Phin,Oblivion： Phin.png,Phigros/曲绘/Oblivion： Phin.png,4a92b12483ce68036671cc14fc3954263257f612613c0d272a4ff92505a7ba41,true,true,01a00093-676b-71a4-955c-5972464e1d14,confirmed,01a00093-676b-78be-8568-9a8d98729d4f,sha256:4a92b12483ce68036671cc14fc3954263257f612613c0d272a4ff92505a7ba41,4a92b12483ce68036671cc14fc3954263257f612613c0d272a4ff92505a7ba41,image/png,2048,1080,unmatched,image-candidate-rejected,unresolved,Best decoded image candidate MAE=44.423714 exceeds 8.0,,,,,,,,44.423714,39.146992,2.0,false,false,313,44.838196,"[{""trackFolder"":""Aliceinaxxxxxxxx.Nagiha.0"",""sourceTitle"":""Aliceinaxxxxxxxx"",""sourceArtist"":""Nagiha"",""smallMAE"":39.146992,""mediumMAE"":44.423714},{""trackFolder"":""LuminousEntitiesLostHeart.NormalMfeatUsagiDenki.0"",""sourceTitle"":""LuminousEntitiesLostHeart"",""sourceArtist"":""NormalMfeatUsagiDenki"",""smallMAE"":40.409721,""mediumMAE"":44.838196},{""trackFolder"":""FracturedAngel.DJRaisei.0"",""sourceTitle"":""FracturedAngel"",""sourceArtist"":""DJRaisei"",""smallMAE"":41.572918,""mediumMAE"":46.429688}]",historical-artwork,,,,"Catalog source=Phigros/曲绘/Oblivion： Phin.png; sourceSha256=4a92b12483ce68036671cc14fc3954263257f612613c0d272a4ff92505a7ba41; APK source=assets/aa/Android/5e3440b767a50ae5e1dda9a2a7db01f9.bundle; trackPath=Assets/Tracks/Aliceinaxxxxxxxx.Nagiha.0/; decoded pixel MAE=44.423714; thresholds high<=2.0, medium<=8.0"
01a00093-b43a-73f9-9bd0-9d22827320ab,jacket,jacket,テリトリーバトル,テリトリーバトル.png,Phigros/曲绘/テリトリーバトル.png,6775b6893523f171f6c0a198b0090f0ad17765c511322366fbefa6f419605349,true,true,01a00093-b43a-7a0d-82c1-c1fd53a9596e,confirmed,01a00093-b43a-765c-b0e7-b7b40d75511d,sha256:6775b6893523f171f6c0a198b0090f0ad17765c511322366fbefa6f419605349,6775b6893523f171f6c0a198b0090f0ad17765c511322366fbefa6f419605349,image/png,2048,1080,unmatched,image-candidate-rejected,unresolved,Best decoded image candidate MAE=41.075443 exceeds 8.0,,,,,,,,41.075443,35.276043,2.0,false,false,313,42.105354,"[{""trackFolder"":""Shelter.MeatyRabbitNceS.0"",""sourceTitle"":""Shelter"",""sourceArtist"":""MeatyRabbitNceS"",""smallMAE"":35.276043,""mediumMAE"":41.075443},{""trackFolder"":""WATER.A39沙包P.0"",""sourceTitle"":""WATER"",""sourceArtist"":""A39沙包P"",""smallMAE"":35.645832,""mediumMAE"":42.105354},{""trackFolder"":""Aleph0.LeaF.0"",""sourceTitle"":""Aleph0"",""sourceArtist"":""LeaF"",""smallMAE"":37.505207,""mediumMAE"":44.070312}]",historical-artwork,,,,"Catalog source=Phigros/曲绘/テリトリーバトル.png; sourceSha256=6775b6893523f171f6c0a198b0090f0ad17765c511322366fbefa6f419605349; APK source=assets/aa/Android/118e23ecd7b5f9c6eea6ab2b06034d72.bundle; trackPath=Assets/Tracks/Shelter.MeatyRabbitNceS.0/; decoded pixel MAE=41.075443; thresholds high<=2.0, medium<=8.0"
01a00093-bf33-7131-a1d1-63b6d79b88dd,phigros-april-fools,phigros-april-fools,哎呀吉诺_0,哎呀吉诺_0.png,Phigros/April Fools/哎呀吉诺_0.png,59fa5ca17234b18ab44ca671c270354c65ee34aa57e87596d046c5db418d506d,true,true,01a00093-bf33-7a92-983a-6f075454165a,confirmed,01a00093-bf33-711b-9b25-accd14b3d126,sha256:59fa5ca17234b18ab44ca671c270354c65ee34aa57e87596d046c5db418d506d,59fa5ca17234b18ab44ca671c270354c65ee34aa57e87596d046c5db418d506d,image/png,2048,1080,unmatched,image-candidate-rejected,unresolved,Best decoded image candidate MAE=66.452011 exceeds 8.0,,,,,,,,66.452011,59.248264,2.0,false,false,313,66.469322,"[{""trackFolder"":""JourneywithYou.Iris.0"",""sourceTitle"":""JourneywithYou"",""sourceArtist"":""Iris"",""smallMAE"":59.248264,""mediumMAE"":66.512444},{""trackFolder"":""HAZARD.Limpid.0"",""sourceTitle"":""HAZARD"",""sourceArtist"":""Limpid"",""smallMAE"":60.615162,""mediumMAE"":66.469322},{""trackFolder"":""NYA.FLuoRiTe姜米條.0"",""sourceTitle"":""NYA"",""sourceArtist"":""FLuoRiTe姜米條"",""smallMAE"":61.089119,""mediumMAE"":66.452011}]",april-fools-artwork,april-fools,,,"Catalog source=Phigros/April Fools/哎呀吉诺_0.png; sourceSha256=59fa5ca17234b18ab44ca671c270354c65ee34aa57e87596d046c5db418d506d; APK source=assets/aa/Android/d43625a55345ff9a95d026b0db8d2643.bundle; trackPath=Assets/Tracks/NYA.FLuoRiTe姜米條.0/; decoded pixel MAE=66.452011; thresholds high<=2.0, medium<=8.0; April Fools source remains special even when pixels equal a current track"
01a00093-c047-74c0-8289-a3296c86a95c,phigros-april-fools,phigros-april-fools,哎呀吉诺,哎呀吉诺.png,Phigros/April Fools/哎呀吉诺.png,49acc09988ffda93891e42af4d5eadbb27b68312701a32deb1529ecda196f422,true,true,01a00093-c047-736a-9380-26f5a07ee2dd,confirmed,01a00093-c047-767d-a6ed-a199f702c12e,sha256:49acc09988ffda93891e42af4d5eadbb27b68312701a32deb1529ecda196f422,49acc09988ffda93891e42af4d5eadbb27b68312701a32deb1529ecda196f422,image/png,2048,1080,unmatched,image-candidate-rejected,unresolved,Best decoded image candidate MAE=66.863243 exceeds 8.0,,,,,,,,66.863243,59.395256,2.0,false,false,313,67.226219,"[{""trackFolder"":""JourneywithYou.Iris.0"",""sourceTitle"":""JourneywithYou"",""sourceArtist"":""Iris"",""smallMAE"":59.395256,""mediumMAE"":66.863243},{""trackFolder"":""NYA.FLuoRiTe姜米條.0"",""sourceTitle"":""NYA"",""sourceArtist"":""FLuoRiTe姜米條"",""smallMAE"":61.625,""mediumMAE"":67.226219},{""trackFolder"":""HAZARD.Limpid.0"",""sourceTitle"":""HAZARD"",""sourceArtist"":""Limpid"",""smallMAE"":62.103588,""mediumMAE"":67.908661}]",april-fools-artwork,april-fools,,,"Catalog source=Phigros/April Fools/哎呀吉诺.png; sourceSha256=49acc09988ffda93891e42af4d5eadbb27b68312701a32deb1529ecda196f422; APK source=assets/aa/Android/e02cde62ca6c91a1dcc2afb7d97ef193.bundle; trackPath=Assets/Tracks/JourneywithYou.Iris.0/; decoded pixel MAE=66.863243; thresholds high<=2.0, medium<=8.0; April Fools source remains special even when pixels equal a current track"
01a00093-c15c-78db-8360-63e19874c60f,phigros-april-fools,phigros-april-fools,笨笨鸠_0,笨笨鸠_0.png,Phigros/April Fools/笨笨鸠_0.png,35f5821f0c239ded467708d21e00ad2be759d1032f28c3db819fe37dcfff1793,true,true,01a00093-c15c-744f-ad41-00128aed24fc,confirmed,01a00093-c15c-7ce4-a89d-2319599c6ef8,sha256:35f5821f0c239ded467708d21e00ad2be759d1032f28c3db819fe37dcfff1793,35f5821f0c239ded467708d21e00ad2be759d1032f28c3db819fe37dcfff1793,image/png,2048,1080,unmatched,image-candidate-rejected,unresolved,Best decoded image candidate MAE=55.968979 exceeds 8.0,,,,,,,,55.968979,47.785881,2.0,false,false,313,64.857422,"[{""trackFolder"":""JourneywithYou.Iris.0"",""sourceTitle"":""JourneywithYou"",""sourceArtist"":""Iris"",""smallMAE"":47.785881,""mediumMAE"":55.968979},{""trackFolder"":""RetributionCycleofRedemption.ArdolfvsDaily天利.0"",""sourceTitle"":""RetributionCycleofRedemption"",""sourceArtist"":""ArdolfvsDaily天利"",""smallMAE"":57.019096,""mediumMAE"":64.857422},{""trackFolder"":""Realms.HinkikAHimitsu.0"",""sourceTitle"":""Realms"",""sourceArtist"":""HinkikAHimitsu"",""smallMAE"":59.982639,""mediumMAE"":71.000877}]",april-fools-artwork,april-fools,,,"Catalog source=Phigros/April Fools/笨笨鸠_0.png; sourceSha256=35f5821f0c239ded467708d21e00ad2be759d1032f28c3db819fe37dcfff1793; APK source=assets/aa/Android/e02cde62ca6c91a1dcc2afb7d97ef193.bundle; trackPath=Assets/Tracks/JourneywithYou.Iris.0/; decoded pixel MAE=55.968979; thresholds high<=2.0, medium<=8.0; April Fools source remains special even when pixels equal a current track"
